sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,South Carolina,Kentucky,Lanorris Sellers,QB,24,16,115.7,0,0,5,0,0.0,0,0,0,0.0,0
32,A,South Carolina,Kentucky,Lanorris Sellers,Rusher,0,0,0.0,0,0,0,10,31.0,0,0,0,0.0,0
32,A,South Carolina,Kentucky,Rahsul Faison,Rusher,0,0,0.0,0,0,0,7,27.3,0,0,0,0.0,0
32,A,South Carolina,Kentucky,Oscar Adaway III,Rusher,0,0,0.0,0,0,0,13,66.0,1,0,0,0.0,0
32,A,South Carolina,Kentucky,Isaiah Augustave,Rusher,0,0,0.0,0,0,0,3,13.5,0,0,0,0.0,0
32,A,South Carolina,Kentucky,Other RB,Rusher,0,0,0.0,0,0,0,7,33.7,0,0,0,0.0,0
32,A,South Carolina,Kentucky,Nyck Harbor,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.8,0
32,A,South Carolina,Kentucky,Luke Doty,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,44.3,0
32,A,South Carolina,Kentucky,Brian Rowe Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,46.3,0
32,A,South Carolina,Kentucky,Donovan Murph,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
32,A,South Carolina,Kentucky,Jordan Dingle,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.0,0
32,A,South Carolina,Kentucky,Vandrevious Jacobs,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
32,A,South Carolina,Kentucky,Mazeo Bennett,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.1,0
32,A,South Carolina,Kentucky,Brady Hunt,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.3,0
32,A,Kentucky,South Carolina,Zach Calzada,QB,36,24,252.7,0,0,4,0,0.0,0,0,0,0.0,0
32,A,Kentucky,South Carolina,Seth McGowan,Rusher,0,0,0.0,0,0,0,15,51.7,0,0,0,0.0,0
32,A,Kentucky,South Carolina,Dante Dowdell,Rusher,0,0,0.0,0,0,0,8,14.7,1,0,0,0.0,0
32,A,Kentucky,South Carolina,Zach Calzada,Rusher,0,0,0.0,0,0,0,2,15.6,0,0,0,0.0,0
32,A,Kentucky,South Carolina,Jason Patterson,Rusher,0,0,0.0,0,0,0,5,20.9,0,0,0,0.0,0
32,A,Kentucky,South Carolina,Josh Kattus,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,12,67.5,0
32,A,Kentucky,South Carolina,Fred Farrier II,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
32,A,Kentucky,South Carolina,Hardley Gilmore IV,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,23.1,0
32,A,Kentucky,South Carolina,Willie Rodriguez,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,27.7,0
32,A,Kentucky,South Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,77.0,0
32,A,Kentucky,South Carolina,Jay Maclin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,25.3,0
32,A,Kentucky,South Carolina,Kendrick Law,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,32.1,0
33,B,Kentucky,South Carolina,Zach Calzada,QB,37,24,198.7,1,0,4,0,0.0,0,0,0,0.0,0
33,B,Kentucky,South Carolina,Zach Calzada,Rusher,0,0,0.0,0,0,0,4,11.7,0,0,0,0.0,0
33,B,Kentucky,South Carolina,Dante Dowdell,Rusher,0,0,0.0,0,0,0,7,28.4,0,0,0,0.0,0
33,B,Kentucky,South Carolina,Seth McGowan,Rusher,0,0,0.0,0,0,0,11,9.6,0,0,0,0.0,0
33,B,Kentucky,South Carolina,Jason Patterson,Rusher,0,0,0.0,0,0,0,2,12.4,0,0,0,0.0,0
33,B,Kentucky,South Carolina,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,72.2,0
33,B,Kentucky,South Carolina,Josh Kattus,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,63.4,1
33,B,Kentucky,South Carolina,Hardley Gilmore IV,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,22.7,0
33,B,Kentucky,South Carolina,Fred Farrier II,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,15.3,0
33,B,Kentucky,South Carolina,Jay Maclin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,8.6,0
33,B,Kentucky,South Carolina,Kendrick Law,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,16.5,0
33,B,Kentucky,South Carolina,Willie Rodriguez,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
33,B,South Carolina,Kentucky,Lanorris Sellers,QB,26,18,183.5,0,0,5,0,0.0,0,0,0,0.0,0
33,B,South Carolina,Kentucky,Oscar Adaway III,Rusher,0,0,0.0,0,0,0,18,123.0,1,0,0,0.0,0
33,B,South Carolina,Kentucky,Lanorris Sellers,Rusher,0,0,0.0,0,0,0,8,32.7,1,0,0,0.0,0
33,B,South Carolina,Kentucky,Other RB,Rusher,0,0,0.0,0,0,0,4,-0.1,0,0,0,0.0,0
33,B,South Carolina,Kentucky,Rahsul Faison,Rusher,0,0,0.0,0,0,0,8,41.8,1,0,0,0.0,0
33,B,South Carolina,Kentucky,Isaiah Augustave,Rusher,0,0,0.0,0,0,0,3,5.6,0,0,0,0.0,0
33,B,South Carolina,Kentucky,Nyck Harbor,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,32.7,0
33,B,South Carolina,Kentucky,Donovan Murph,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,31.4,0
33,B,South Carolina,Kentucky,Vandrevious Jacobs,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,61.9,0
33,B,South Carolina,Kentucky,Brian Rowe Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,26.1,0
33,B,South Carolina,Kentucky,Brady Hunt,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.5,0
33,B,South Carolina,Kentucky,Luke Doty,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,11.8,0
33,B,South Carolina,Kentucky,Michael Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
33,B,South Carolina,Kentucky,Jordan Dingle,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.3,0
34,A,South Carolina,Kentucky,Lanorris Sellers,QB,22,13,97.5,0,0,8,0,0.0,0,0,0,0.0,0
34,A,South Carolina,Kentucky,Isaiah Augustave,Rusher,0,0,0.0,0,0,0,4,4.6,0,0,0,0.0,0
34,A,South Carolina,Kentucky,Other RB,Rusher,0,0,0.0,0,0,0,4,12.3,0,0,0,0.0,0
