sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Texas A&M,Auburn,Marcel Reed,QB,22,15,159.9,0,0,4,0,0.0,0,0,0,0.0,0
16,A,Texas A&M,Auburn,Rueben Owens,Rusher,0,0,0.0,0,0,0,13,40.7,1,0,0,0.0,0
16,A,Texas A&M,Auburn,Other RB,Rusher,0,0,0.0,0,0,0,2,13.1,0,0,0,0.0,0
16,A,Texas A&M,Auburn,Marcel Reed,Rusher,0,0,0.0,0,0,0,15,19.3,0,0,0,0.0,0
16,A,Texas A&M,Auburn,Amari Daniels,Rusher,0,0,0.0,0,0,0,2,10.3,0,0,0,0.0,0
16,A,Texas A&M,Auburn,Le'Veon Moss,Rusher,0,0,0.0,0,0,0,12,41.9,2,0,0,0.0,0
16,A,Texas A&M,Auburn,E.J. Smith,Rusher,0,0,0.0,0,0,0,2,11.2,0,0,0,0.0,0
16,A,Texas A&M,Auburn,Kevin Concepcion,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,25.0,0
16,A,Texas A&M,Auburn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,87.0,0
16,A,Texas A&M,Auburn,Mario Craver,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,0.0,0
16,A,Texas A&M,Auburn,Terry Bussey,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,15.5,0
16,A,Texas A&M,Auburn,Theo Melin Ohrstrom,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.9,0
16,A,Texas A&M,Auburn,Nate Boerkircher,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.2,0
16,A,Texas A&M,Auburn,Ashton Bethel-Roman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Texas A&M,Auburn,Amari Niblack,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.4,0
16,A,Auburn,Texas A&M,Jackson Arnold,QB,17,12,122.2,1,0,7,0,0.0,0,0,0,0.0,0
16,A,Auburn,Texas A&M,Jackson Arnold,Rusher,0,0,0.0,0,0,0,8,29.1,0,0,0,0.0,0
16,A,Auburn,Texas A&M,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,11,44.0,0,0,0,0.0,0
16,A,Auburn,Texas A&M,Damari Alston,Rusher,0,0,0.0,0,0,0,2,16.2,0,0,0,0.0,0
16,A,Auburn,Texas A&M,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,2,1.5,0,0,0,0.0,0
16,A,Auburn,Texas A&M,Perry Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Auburn,Texas A&M,Preston Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.9,0
16,A,Auburn,Texas A&M,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,17.7,0
16,A,Auburn,Texas A&M,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,30.3,1
16,A,Auburn,Texas A&M,Bryce Cain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,30.5,0
16,A,Auburn,Texas A&M,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,9.9,0
16,A,Auburn,Texas A&M,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.2,0
16,A,Auburn,Texas A&M,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.7,0
17,B,Auburn,Texas A&M,Jackson Arnold,QB,36,27,218.1,1,0,4,0,0.0,0,0,0,0.0,0
17,B,Auburn,Texas A&M,Jackson Arnold,Rusher,0,0,0.0,0,0,0,9,33.3,0,0,0,0.0,0
17,B,Auburn,Texas A&M,Damari Alston,Rusher,0,0,0.0,0,0,0,9,32.7,0,0,0,0.0,0
17,B,Auburn,Texas A&M,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,6,-2.6,0,0,0,0.0,0
17,B,Auburn,Texas A&M,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,1,1.8,0,0,0,0.0,0
17,B,Auburn,Texas A&M,Perry Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,27.0,0
17,B,Auburn,Texas A&M,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,18.9,0
17,B,Auburn,Texas A&M,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,15.1,0
17,B,Auburn,Texas A&M,Ryan Ghea,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,2.3,0
17,B,Auburn,Texas A&M,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,17.6,0
17,B,Auburn,Texas A&M,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,34.5,0
17,B,Auburn,Texas A&M,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,76.6,1
17,B,Auburn,Texas A&M,Bryce Cain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.1,0
17,B,Auburn,Texas A&M,Preston Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,14.0,0
17,B,Texas A&M,Auburn,Marcel Reed,QB,24,16,271.8,3,0,4,0,0.0,0,0,0,0.0,0
17,B,Texas A&M,Auburn,Amari Daniels,Rusher,0,0,0.0,0,0,0,4,13.4,0,0,0,0.0,0
17,B,Texas A&M,Auburn,Other RB,Rusher,0,0,0.0,0,0,0,2,5.7,0,0,0,0.0,0
17,B,Texas A&M,Auburn,Le'Veon Moss,Rusher,0,0,0.0,0,0,0,15,59.8,0,0,0,0.0,0
17,B,Texas A&M,Auburn,Rueben Owens,Rusher,0,0,0.0,0,0,0,4,18.3,0,0,0,0.0,0
