sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,UTEP,Louisiana Tech,Malachi Nelson,QB,37,26,351.0,1,0,12,0,0.0,0,0,0,0.0,0
16,A,UTEP,Louisiana Tech,Malachi Nelson,Rusher,0,0,0.0,0,0,0,4,10.1,0,0,0,0.0,0
16,A,UTEP,Louisiana Tech,Ashten Emory,Rusher,0,0,0.0,0,0,0,12,41.9,0,0,0,0.0,0
16,A,UTEP,Louisiana Tech,Other RB,Rusher,0,0,0.0,0,0,0,10,22.6,1,0,0,0.0,0
16,A,UTEP,Louisiana Tech,Marquez Taylor,Rusher,0,0,0.0,0,0,0,4,18.9,0,0,0,0.0,0
16,A,UTEP,Louisiana Tech,Hahsaun Wilson,Rusher,0,0,0.0,0,0,0,4,21.6,0,0,0,0.0,0
16,A,UTEP,Louisiana Tech,Kenny Odom,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,75.6,0
16,A,UTEP,Louisiana Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,93.1,0
16,A,UTEP,Louisiana Tech,Joshua Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,2.4,0
16,A,UTEP,Louisiana Tech,Eric Willis III,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,38.3,0
16,A,UTEP,Louisiana Tech,Toric Goins Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,12,107.1,0
16,A,UTEP,Louisiana Tech,Marcus Torres,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.2,1
16,A,UTEP,Louisiana Tech,Trevon Tate,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.3,0
16,A,Louisiana Tech,UTEP,Trey Kukuk,QB,23,20,213.9,2,0,2,0,0.0,0,0,0,0.0,0
16,A,Louisiana Tech,UTEP,Trey Kukuk,Rusher,0,0,0.0,0,0,0,4,28.8,0,0,0,0.0,0
16,A,Louisiana Tech,UTEP,Omiri Wiggins,Rusher,0,0,0.0,0,0,0,14,114.9,3,0,0,0.0,0
16,A,Louisiana Tech,UTEP,Andrew Burnette,Rusher,0,0,0.0,0,0,0,7,44.0,1,0,0,0.0,0
16,A,Louisiana Tech,UTEP,Clay Thevenin,Rusher,0,0,0.0,0,0,0,12,78.1,1,0,0,0.0,0
16,A,Louisiana Tech,UTEP,Amani Givens,Rusher,0,0,0.0,0,0,0,3,15.6,0,0,0,0.0,0
16,A,Louisiana Tech,UTEP,Other RB,Rusher,0,0,0.0,0,0,0,4,16.3,0,0,0,0.0,0
16,A,Louisiana Tech,UTEP,Marques Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,57.6,0
16,A,Louisiana Tech,UTEP,Marlion Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.9,0
16,A,Louisiana Tech,UTEP,Jalen Mickens,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,46.0,1
16,A,Louisiana Tech,UTEP,Luke Watkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,24.4,0
