team,opp,pts,opp_pts,plays,opp_plays
Illinois,USC,13,24,54,61
USC,Illinois,45,17,63,61
Illinois,USC,23,27,67,59
USC,Illinois,24,14,61,56
Illinois,USC,24,21,55,67
USC,Illinois,42,17,70,52
Illinois,USC,28,3,82,45
USC,Illinois,20,3,66,46
Illinois,USC,3,24,59,61
USC,Illinois,20,14,64,54
Illinois,USC,35,16,57,67
USC,Illinois,31,24,62,57
Illinois,USC,28,24,62,65
USC,Illinois,14,24,54,68
Illinois,USC,20,38,56,59
USC,Illinois,35,3,72,51
Illinois,USC,24,35,67,53
USC,Illinois,20,31,57,63
Illinois,USC,24,38,64,59
USC,Illinois,24,16,62,67
Illinois,USC,10,14,59,58
USC,Illinois,41,13,61,63
Illinois,USC,7,24,53,64
USC,Illinois,10,42,54,65
Illinois,USC,7,17,69,54
USC,Illinois,21,3,55,53
Illinois,USC,28,35,60,62
USC,Illinois,28,31,64,65
Illinois,USC,24,42,59,61
USC,Illinois,38,14,68,50
Illinois,USC,38,16,65,59
USC,Illinois,45,10,66,58
Illinois,USC,0,24,69,58
USC,Illinois,27,21,74,43
Illinois,USC,3,34,47,74
USC,Illinois,34,17,71,52
Illinois,USC,0,35,54,68
USC,Illinois,52,17,64,56
Illinois,USC,38,42,73,56
USC,Illinois,27,21,61,66
Illinois,USC,10,28,62,59
USC,Illinois,42,13,63,60
Illinois,USC,27,28,63,63
USC,Illinois,14,10,45,70
Illinois,USC,14,45,55,67
USC,Illinois,31,7,72,46
Illinois,USC,21,35,64,59
USC,Illinois,24,10,64,50
Illinois,USC,13,35,54,67
USC,Illinois,42,13,61,62
Illinois,USC,10,31,54,62
USC,Illinois,35,23,48,76
Illinois,USC,31,31,68,65
USC,Illinois,23,21,60,65
Illinois,USC,17,35,68,57
USC,Illinois,27,21,66,57
Illinois,USC,30,24,77,52
USC,Illinois,31,28,60,64
Illinois,USC,14,34,63,62
USC,Illinois,31,14,71,49
Illinois,USC,14,24,70,53
USC,Illinois,35,38,60,65
Illinois,USC,24,38,64,57
USC,Illinois,31,14,64,61
Illinois,USC,3,41,48,69
USC,Illinois,48,17,58,59
Illinois,USC,12,27,64,63
USC,Illinois,35,21,69,52
Illinois,USC,14,21,61,61
USC,Illinois,21,3,64,54
Illinois,USC,17,31,54,69
USC,Illinois,38,21,60,64
Illinois,USC,42,21,61,61
USC,Illinois,31,14,64,58
Illinois,USC,23,14,66,56
USC,Illinois,38,31,59,58
Illinois,USC,21,28,59,65
USC,Illinois,28,28,57,61
Illinois,USC,7,27,67,59
USC,Illinois,7,35,58,56
Illinois,USC,27,56,75,54
USC,Illinois,30,24,61,65
Illinois,USC,21,21,64,59
USC,Illinois,24,10,59,62
Illinois,USC,14,34,63,60
USC,Illinois,28,7,73,49
Illinois,USC,24,16,67,61
USC,Illinois,17,38,55,70
Illinois,USC,6,24,61,60
USC,Illinois,24,17,76,48
Illinois,USC,27,14,62,58
USC,Illinois,34,24,59,63
Illinois,USC,21,34,47,68
USC,Illinois,45,20,63,61
Illinois,USC,20,24,67,61
USC,Illinois,23,13,57,64
Illinois,USC,20,17,64,62
USC,Illinois,24,10,69,50
Illinois,USC,17,31,58,66
USC,Illinois,31,14,65,62
Illinois,USC,31,34,74,59
USC,Illinois,34,31,67,68
