team,opp,pts,opp_pts,plays,opp_plays
Minnesota,Rutgers,20,14,62,58
Rutgers,Minnesota,17,13,59,60
Minnesota,Rutgers,24,17,65,59
Rutgers,Minnesota,7,16,53,71
Minnesota,Rutgers,23,14,64,56
Rutgers,Minnesota,10,20,57,65
Minnesota,Rutgers,38,7,72,44
Rutgers,Minnesota,0,20,48,64
Minnesota,Rutgers,20,20,58,69
Rutgers,Minnesota,10,28,56,60
Minnesota,Rutgers,16,14,67,51
Rutgers,Minnesota,7,21,62,58
Minnesota,Rutgers,17,0,68,52
Rutgers,Minnesota,3,24,44,75
Minnesota,Rutgers,10,0,64,52
Rutgers,Minnesota,21,56,62,65
Minnesota,Rutgers,24,14,62,54
Rutgers,Minnesota,10,3,50,72
Minnesota,Rutgers,6,33,53,87
Rutgers,Minnesota,34,24,71,55
Minnesota,Rutgers,17,10,66,56
Rutgers,Minnesota,10,28,61,57
Minnesota,Rutgers,13,14,64,59
Rutgers,Minnesota,21,34,60,72
Minnesota,Rutgers,24,10,66,55
Rutgers,Minnesota,31,20,74,53
Minnesota,Rutgers,6,17,62,52
Rutgers,Minnesota,42,21,67,56
Minnesota,Rutgers,27,13,65,63
Rutgers,Minnesota,13,19,67,57
Minnesota,Rutgers,20,10,73,42
Rutgers,Minnesota,41,7,66,63
Minnesota,Rutgers,33,10,65,65
Rutgers,Minnesota,24,21,65,63
Minnesota,Rutgers,45,6,63,63
Rutgers,Minnesota,37,0,81,52
Minnesota,Rutgers,20,0,71,44
Rutgers,Minnesota,3,6,65,57
Minnesota,Rutgers,24,16,57,68
Rutgers,Minnesota,3,17,52,66
Minnesota,Rutgers,10,24,70,59
Rutgers,Minnesota,16,3,67,55
Minnesota,Rutgers,27,10,62,57
Rutgers,Minnesota,14,14,61,59
Minnesota,Rutgers,17,6,61,60
Rutgers,Minnesota,21,24,53,76
Minnesota,Rutgers,13,16,62,59
Rutgers,Minnesota,21,24,53,70
Minnesota,Rutgers,6,16,61,60
Rutgers,Minnesota,9,27,63,66
Minnesota,Rutgers,10,14,63,73
Rutgers,Minnesota,14,17,50,68
Minnesota,Rutgers,3,14,66,48
Rutgers,Minnesota,19,13,70,56
Minnesota,Rutgers,7,14,62,62
Rutgers,Minnesota,31,17,58,64
Minnesota,Rutgers,14,16,57,64
Rutgers,Minnesota,7,14,54,69
Minnesota,Rutgers,31,24,59,65
Rutgers,Minnesota,13,16,63,59
Minnesota,Rutgers,21,13,60,60
Rutgers,Minnesota,3,31,59,66
Minnesota,Rutgers,24,27,67,58
Rutgers,Minnesota,13,16,63,63
Minnesota,Rutgers,24,16,66,55
Rutgers,Minnesota,10,27,58,65
Minnesota,Rutgers,10,10,60,53
Rutgers,Minnesota,3,38,54,62
Minnesota,Rutgers,38,24,71,56
Rutgers,Minnesota,10,10,69,59
Minnesota,Rutgers,34,10,69,54
Rutgers,Minnesota,13,31,60,65
Minnesota,Rutgers,17,51,67,70
Rutgers,Minnesota,7,20,75,52
Minnesota,Rutgers,17,20,63,63
Rutgers,Minnesota,17,14,62,59
Minnesota,Rutgers,7,24,68,55
Rutgers,Minnesota,3,24,65,58
Minnesota,Rutgers,17,24,60,64
Rutgers,Minnesota,10,21,63,64
Minnesota,Rutgers,7,10,62,65
Rutgers,Minnesota,27,3,70,55
Minnesota,Rutgers,24,14,55,69
Rutgers,Minnesota,3,28,47,64
Minnesota,Rutgers,13,10,55,61
Rutgers,Minnesota,7,41,46,77
Minnesota,Rutgers,14,42,57,69
Rutgers,Minnesota,31,14,67,59
Minnesota,Rutgers,10,7,59,60
Rutgers,Minnesota,7,19,56,67
Minnesota,Rutgers,27,17,56,63
Rutgers,Minnesota,0,20,59,61
Minnesota,Rutgers,0,31,57,67
Rutgers,Minnesota,10,30,62,60
Minnesota,Rutgers,13,20,54,82
Rutgers,Minnesota,13,27,51,68
Minnesota,Rutgers,34,17,72,55
Rutgers,Minnesota,7,28,61,62
Minnesota,Rutgers,24,10,66,60
Rutgers,Minnesota,13,17,60,68
Minnesota,Rutgers,38,10,57,59
Rutgers,Minnesota,10,14,73,53
Minnesota,Rutgers,21,20,71,51
Rutgers,Minnesota,17,42,63,66
Minnesota,Rutgers,17,7,55,69
Rutgers,Minnesota,14,0,61,60
Minnesota,Rutgers,28,14,67,49
Rutgers,Minnesota,17,13,72,53
Minnesota,Rutgers,27,23,67,55
Rutgers,Minnesota,7,38,54,71
Minnesota,Rutgers,21,23,51,78
Rutgers,Minnesota,23,14,84,55
Minnesota,Rutgers,12,23,65,58
Rutgers,Minnesota,20,14,64,59
Minnesota,Rutgers,38,10,68,59
Rutgers,Minnesota,14,27,57,59
Minnesota,Rutgers,21,17,52,70
Rutgers,Minnesota,21,21,70,59
Minnesota,Rutgers,27,31,65,70
Rutgers,Minnesota,17,24,62,68
Minnesota,Rutgers,35,10,67,62
Rutgers,Minnesota,14,21,78,51
Minnesota,Rutgers,21,17,70,55
Rutgers,Minnesota,24,17,58,66
Minnesota,Rutgers,14,27,56,77
Rutgers,Minnesota,14,21,68,57
Minnesota,Rutgers,10,31,62,63
Rutgers,Minnesota,15,10,74,53
Minnesota,Rutgers,10,21,63,55
Rutgers,Minnesota,13,20,55,59
Minnesota,Rutgers,17,7,70,50
Rutgers,Minnesota,0,34,64,58
Minnesota,Rutgers,20,7,60,52
Rutgers,Minnesota,20,27,73,62
Minnesota,Rutgers,17,34,61,68
Rutgers,Minnesota,35,28,68,55
Minnesota,Rutgers,14,21,63,59
Rutgers,Minnesota,28,0,72,58
Minnesota,Rutgers,10,42,68,56
Rutgers,Minnesota,7,23,62,62
Minnesota,Rutgers,20,14,67,50
Rutgers,Minnesota,17,21,62,56
Minnesota,Rutgers,17,10,73,53
Rutgers,Minnesota,16,7,71,63
Minnesota,Rutgers,6,24,53,63
Rutgers,Minnesota,0,24,57,61
Minnesota,Rutgers,7,13,60,60
Rutgers,Minnesota,28,14,66,54
Minnesota,Rutgers,35,10,64,61
Rutgers,Minnesota,10,17,56,66
Minnesota,Rutgers,20,20,58,65
Rutgers,Minnesota,20,24,65,60
Minnesota,Rutgers,16,24,60,57
Rutgers,Minnesota,3,31,58,66
Minnesota,Rutgers,24,10,58,69
Rutgers,Minnesota,24,7,58,60
Minnesota,Rutgers,10,21,60,61
Rutgers,Minnesota,7,24,60,73
Minnesota,Rutgers,35,13,65,53
Rutgers,Minnesota,14,20,58,60
Minnesota,Rutgers,44,10,71,51
Rutgers,Minnesota,20,10,59,70
Minnesota,Rutgers,10,21,59,65
Rutgers,Minnesota,12,6,68,55
Minnesota,Rutgers,10,10,60,62
Rutgers,Minnesota,7,17,50,70
Minnesota,Rutgers,14,21,61,60
Rutgers,Minnesota,24,14,67,54
Minnesota,Rutgers,24,3,67,58
Rutgers,Minnesota,7,34,48,69
Minnesota,Rutgers,21,10,66,50
Rutgers,Minnesota,13,0,67,56
Minnesota,Rutgers,14,27,60,63
Rutgers,Minnesota,21,16,60,68
Minnesota,Rutgers,16,13,60,65
Rutgers,Minnesota,14,31,57,63
Minnesota,Rutgers,23,3,61,54
Rutgers,Minnesota,10,27,57,66
Minnesota,Rutgers,26,14,76,47
Rutgers,Minnesota,13,14,65,60
Minnesota,Rutgers,10,21,50,72
Rutgers,Minnesota,7,20,59,60
Minnesota,Rutgers,9,7,63,55
Rutgers,Minnesota,21,16,51,65
Minnesota,Rutgers,10,30,65,67
Rutgers,Minnesota,10,23,65,59
Minnesota,Rutgers,24,20,61,62
Rutgers,Minnesota,14,30,60,69
Minnesota,Rutgers,17,31,60,65
Rutgers,Minnesota,10,31,70,59
Minnesota,Rutgers,6,10,63,56
Rutgers,Minnesota,16,10,64,63
Minnesota,Rutgers,21,10,57,59
Rutgers,Minnesota,17,10,66,57
Minnesota,Rutgers,7,10,58,58
Rutgers,Minnesota,14,20,56,70
Minnesota,Rutgers,17,3,60,56
Rutgers,Minnesota,27,14,77,53
Minnesota,Rutgers,35,10,62,61
Rutgers,Minnesota,13,14,70,57
Minnesota,Rutgers,23,14,62,64
Rutgers,Minnesota,24,6,75,55
Minnesota,Rutgers,31,7,65,63
Rutgers,Minnesota,17,34,65,62
Minnesota,Rutgers,14,14,61,56
Rutgers,Minnesota,27,28,68,60
Minnesota,Rutgers,17,31,67,56
Rutgers,Minnesota,10,17,57,62
Minnesota,Rutgers,14,42,60,75
Rutgers,Minnesota,17,21,63,56
Minnesota,Rutgers,13,14,63,57
Rutgers,Minnesota,23,17,58,64
Minnesota,Rutgers,21,13,69,54
Rutgers,Minnesota,28,24,68,60
