team,opp,pts,opp_pts,plays,opp_plays
Navy,Rice,38,7,76,53
Rice,Navy,7,14,69,57
Navy,Rice,21,3,63,57
Rice,Navy,6,20,58,65
Navy,Rice,14,6,54,63
Rice,Navy,17,38,67,63
Navy,Rice,28,17,59,66
Rice,Navy,10,31,55,68
Navy,Rice,31,7,68,61
Rice,Navy,14,41,64,67
Navy,Rice,17,17,72,51
Rice,Navy,20,27,61,61
Navy,Rice,45,3,71,50
Rice,Navy,3,20,58,62
Navy,Rice,31,7,67,55
Rice,Navy,7,30,60,75
Navy,Rice,34,17,70,56
Rice,Navy,10,17,78,53
Navy,Rice,10,30,57,66
Rice,Navy,3,21,69,61
Navy,Rice,31,13,59,70
Rice,Navy,14,34,69,62
Navy,Rice,14,33,67,67
Rice,Navy,21,10,63,67
Navy,Rice,28,17,73,57
Rice,Navy,3,20,48,78
Navy,Rice,20,3,69,53
Rice,Navy,10,16,78,59
Navy,Rice,17,24,62,66
Rice,Navy,10,49,67,65
Navy,Rice,27,3,71,44
Rice,Navy,7,31,51,69
Navy,Rice,14,10,60,58
Rice,Navy,10,31,68,55
Navy,Rice,16,6,58,67
Rice,Navy,7,17,55,61
Navy,Rice,21,24,68,56
Rice,Navy,10,48,58,67
Navy,Rice,7,24,65,64
Rice,Navy,24,24,74,56
Navy,Rice,38,17,71,56
Rice,Navy,24,28,74,57
Navy,Rice,28,7,61,68
Rice,Navy,24,17,64,67
Navy,Rice,21,10,67,60
Rice,Navy,14,20,54,71
Navy,Rice,34,10,70,63
Rice,Navy,23,10,69,61
Navy,Rice,23,10,69,58
Rice,Navy,17,28,55,67
Navy,Rice,48,10,80,54
Rice,Navy,21,34,71,56
Navy,Rice,21,22,59,73
Rice,Navy,3,33,57,65
Navy,Rice,13,14,77,53
Rice,Navy,7,34,68,61
Navy,Rice,28,10,64,69
Rice,Navy,6,34,53,64
Navy,Rice,28,3,70,60
Rice,Navy,14,23,58,72
Navy,Rice,21,17,72,57
Rice,Navy,7,27,59,67
Navy,Rice,44,3,67,61
