team,opp,pts,opp_pts,plays,opp_plays
Northwestern,UCLA,14,10,47,63
UCLA,Northwestern,0,13,61,56
Northwestern,UCLA,3,17,59,50
UCLA,Northwestern,16,6,60,52
Northwestern,UCLA,10,3,53,53
UCLA,Northwestern,3,30,52,52
Northwestern,UCLA,10,7,68,38
UCLA,Northwestern,21,16,63,53
Northwestern,UCLA,6,7,67,42
UCLA,Northwestern,0,24,62,54
Northwestern,UCLA,0,24,45,62
UCLA,Northwestern,6,13,55,54
Northwestern,UCLA,20,17,60,48
UCLA,Northwestern,7,13,52,52
Northwestern,UCLA,21,24,60,55
UCLA,Northwestern,24,7,58,54
Northwestern,UCLA,13,7,57,56
UCLA,Northwestern,7,24,52,58
Northwestern,UCLA,17,0,68,40
UCLA,Northwestern,21,10,51,59
Northwestern,UCLA,31,14,69,42
UCLA,Northwestern,13,7,52,56
Northwestern,UCLA,6,17,58,49
UCLA,Northwestern,7,28,50,61
Northwestern,UCLA,7,17,59,51
UCLA,Northwestern,13,10,50,62
Northwestern,UCLA,20,10,53,53
UCLA,Northwestern,21,7,63,48
Northwestern,UCLA,21,10,65,47
UCLA,Northwestern,35,7,72,40
Northwestern,UCLA,3,7,50,57
UCLA,Northwestern,14,17,48,61
Northwestern,UCLA,9,20,53,50
UCLA,Northwestern,7,13,51,59
Northwestern,UCLA,21,13,51,53
UCLA,Northwestern,24,16,58,51
Northwestern,UCLA,17,10,52,58
UCLA,Northwestern,10,17,63,54
Northwestern,UCLA,24,3,60,47
UCLA,Northwestern,17,21,52,58
Northwestern,UCLA,16,21,67,46
UCLA,Northwestern,24,6,56,57
Northwestern,UCLA,10,24,60,53
UCLA,Northwestern,10,14,53,55
Northwestern,UCLA,7,7,52,50
UCLA,Northwestern,10,10,61,53
Northwestern,UCLA,10,16,50,63
UCLA,Northwestern,6,23,54,58
Northwestern,UCLA,24,3,65,53
UCLA,Northwestern,7,10,62,51
Northwestern,UCLA,27,7,62,48
UCLA,Northwestern,7,7,58,48
Northwestern,UCLA,14,7,54,54
UCLA,Northwestern,10,7,54,55
Northwestern,UCLA,10,14,66,47
UCLA,Northwestern,24,10,66,52
Northwestern,UCLA,24,3,62,49
UCLA,Northwestern,17,3,61,60
Northwestern,UCLA,17,17,62,51
UCLA,Northwestern,0,27,51,61
Northwestern,UCLA,6,10,62,48
UCLA,Northwestern,21,9,46,63
Northwestern,UCLA,17,14,49,59
UCLA,Northwestern,31,3,71,46
Northwestern,UCLA,16,10,54,51
UCLA,Northwestern,7,17,48,60
Northwestern,UCLA,27,17,61,57
UCLA,Northwestern,17,6,52,59
Northwestern,UCLA,28,20,51,55
UCLA,Northwestern,20,0,61,53
Northwestern,UCLA,13,10,52,59
UCLA,Northwestern,6,7,47,56
Northwestern,UCLA,14,17,60,50
UCLA,Northwestern,10,26,46,59
Northwestern,UCLA,14,13,47,64
UCLA,Northwestern,10,3,59,50
Northwestern,UCLA,17,7,59,48
UCLA,Northwestern,41,0,69,53
Northwestern,UCLA,3,14,57,52
UCLA,Northwestern,14,3,58,53
Northwestern,UCLA,7,13,56,52
UCLA,Northwestern,7,10,57,49
Northwestern,UCLA,7,10,56,59
UCLA,Northwestern,10,7,64,46
Northwestern,UCLA,17,10,63,52
UCLA,Northwestern,17,20,65,51
Northwestern,UCLA,10,6,51,61
UCLA,Northwestern,24,13,52,56
Northwestern,UCLA,6,21,55,55
UCLA,Northwestern,10,13,52,59
Northwestern,UCLA,28,14,57,47
UCLA,Northwestern,17,28,51,54
Northwestern,UCLA,17,10,55,60
UCLA,Northwestern,28,10,50,54
Northwestern,UCLA,24,14,66,50
UCLA,Northwestern,12,0,61,47
Northwestern,UCLA,21,17,53,58
UCLA,Northwestern,13,6,59,51
Northwestern,UCLA,6,17,61,55
UCLA,Northwestern,0,16,44,63
Northwestern,UCLA,21,10,53,55
UCLA,Northwestern,13,21,66,44
Northwestern,UCLA,7,14,60,52
UCLA,Northwestern,20,0,56,56
Northwestern,UCLA,9,3,56,51
UCLA,Northwestern,28,13,63,47
Northwestern,UCLA,17,20,55,51
UCLA,Northwestern,16,20,60,49
Northwestern,UCLA,28,10,59,51
UCLA,Northwestern,0,27,44,65
Northwestern,UCLA,3,10,70,46
UCLA,Northwestern,6,3,61,56
Northwestern,UCLA,14,28,53,54
UCLA,Northwestern,21,10,65,49
Northwestern,UCLA,9,3,64,39
UCLA,Northwestern,10,13,53,56
Northwestern,UCLA,7,24,52,63
UCLA,Northwestern,13,6,55,58
Northwestern,UCLA,13,28,57,55
UCLA,Northwestern,7,6,43,63
Northwestern,UCLA,3,7,56,48
UCLA,Northwestern,17,0,63,47
Northwestern,UCLA,6,17,46,61
UCLA,Northwestern,3,7,53,50
Northwestern,UCLA,6,3,52,47
UCLA,Northwestern,20,30,51,56
Northwestern,UCLA,0,24,59,52
UCLA,Northwestern,13,17,52,61
Northwestern,UCLA,10,10,51,55
UCLA,Northwestern,13,13,61,47
Northwestern,UCLA,24,21,58,52
UCLA,Northwestern,6,3,55,51
Northwestern,UCLA,14,3,68,44
UCLA,Northwestern,10,0,48,72
Northwestern,UCLA,13,31,57,53
UCLA,Northwestern,24,13,54,55
Northwestern,UCLA,23,14,69,41
UCLA,Northwestern,28,10,58,48
Northwestern,UCLA,6,17,61,52
UCLA,Northwestern,23,0,67,36
Northwestern,UCLA,14,10,53,53
UCLA,Northwestern,10,17,60,49
Northwestern,UCLA,16,7,59,51
UCLA,Northwestern,20,3,56,55
Northwestern,UCLA,0,20,54,64
UCLA,Northwestern,17,13,59,59
Northwestern,UCLA,3,10,55,57
UCLA,Northwestern,10,24,46,63
Northwestern,UCLA,13,10,60,54
UCLA,Northwestern,13,13,61,49
Northwestern,UCLA,7,10,47,55
UCLA,Northwestern,13,14,61,51
Northwestern,UCLA,13,21,64,55
UCLA,Northwestern,14,10,59,48
Northwestern,UCLA,3,0,58,43
UCLA,Northwestern,10,14,51,55
Northwestern,UCLA,3,17,51,60
UCLA,Northwestern,3,13,55,53
Northwestern,UCLA,13,17,55,60
UCLA,Northwestern,27,14,65,50
Northwestern,UCLA,7,24,52,63
UCLA,Northwestern,3,27,49,65
Northwestern,UCLA,17,28,60,56
UCLA,Northwestern,3,7,53,52
Northwestern,UCLA,3,6,57,54
UCLA,Northwestern,17,7,57,48
Northwestern,UCLA,10,21,55,57
UCLA,Northwestern,10,9,56,57
Northwestern,UCLA,14,3,52,52
UCLA,Northwestern,10,20,50,62
Northwestern,UCLA,3,10,60,50
UCLA,Northwestern,23,0,72,41
Northwestern,UCLA,3,20,47,65
UCLA,Northwestern,10,17,53,58
Northwestern,UCLA,20,6,61,45
UCLA,Northwestern,7,13,54,53
Northwestern,UCLA,3,26,38,64
UCLA,Northwestern,6,13,61,52
Northwestern,UCLA,7,28,48,61
UCLA,Northwestern,9,3,50,59
Northwestern,UCLA,21,7,52,53
UCLA,Northwestern,14,13,50,64
Northwestern,UCLA,17,7,59,52
UCLA,Northwestern,14,17,46,65
Northwestern,UCLA,7,24,50,57
UCLA,Northwestern,10,10,58,53
Northwestern,UCLA,24,0,65,44
UCLA,Northwestern,16,17,58,50
Northwestern,UCLA,27,6,54,58
UCLA,Northwestern,13,7,46,73
Northwestern,UCLA,13,17,72,45
UCLA,Northwestern,20,13,61,50
Northwestern,UCLA,13,10,71,36
UCLA,Northwestern,28,42,62,51
Northwestern,UCLA,13,13,64,48
UCLA,Northwestern,24,13,52,57
Northwestern,UCLA,13,17,46,62
UCLA,Northwestern,3,17,59,53
Northwestern,UCLA,0,13,56,56
UCLA,Northwestern,10,3,55,55
Northwestern,UCLA,14,3,52,57
UCLA,Northwestern,14,14,50,56
Northwestern,UCLA,10,7,59,52
UCLA,Northwestern,7,0,56,50
Northwestern,UCLA,16,10,53,56
UCLA,Northwestern,17,14,59,52
Northwestern,UCLA,13,13,55,59
UCLA,Northwestern,3,13,60,49
Northwestern,UCLA,21,7,53,54
UCLA,Northwestern,31,7,65,43
Northwestern,UCLA,20,7,66,45
UCLA,Northwestern,7,6,55,58
Northwestern,UCLA,16,3,53,56
UCLA,Northwestern,7,0,64,49
Northwestern,UCLA,24,31,65,53
UCLA,Northwestern,21,10,65,45
Northwestern,UCLA,7,0,59,51
UCLA,Northwestern,31,20,62,53
Northwestern,UCLA,27,13,56,57
UCLA,Northwestern,13,20,55,54
Northwestern,UCLA,3,10,51,60
UCLA,Northwestern,23,13,61,54
Northwestern,UCLA,3,16,48,58
