sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,California,Duke,Jaron-Keawe Sagapolutele,QB,20,17,226.1,1,0,8,0,0.0,0,0,0,0.0,0
0,A,California,Duke,Kendrick Raphael,Rusher,0,0,0.0,0,0,0,13,41.8,1,0,0,0.0,0
0,A,California,Duke,Devin Brown,Rusher,0,0,0.0,0,0,0,2,-4.3,0,0,0,0.0,0
0,A,California,Duke,LJ Johnson Jr.,Rusher,0,0,0.0,0,0,0,4,16.2,0,0,0,0.0,0
0,A,California,Duke,Brandon High,Rusher,0,0,0.0,0,0,0,11,64.4,0,0,0,0.0,0
0,A,California,Duke,Jaron-Keawe Sagapolutele,Rusher,0,0,0.0,0,0,0,4,3.5,0,0,0,0.0,0
0,A,California,Duke,Other RB,Rusher,0,0,0.0,0,0,0,2,2.9,0,0,0,0.0,0
0,A,California,Duke,Mark Hamper,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.4,0
0,A,California,Duke,Mason Mini,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.0,0
0,A,California,Duke,Jordan King,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,43.0,0
0,A,California,Duke,Jayden Dixon-Veal,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,California,Duke,Jaiven Plummer,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,19.5,0
0,A,California,Duke,Jacob De Jesus,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,57.7,1
0,A,California,Duke,Quaron Adams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,29.6,0
0,A,California,Duke,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.5,0
0,A,California,Duke,Trond Grizzell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,41.5,0
0,A,Duke,California,Darian Mensah,QB,23,17,93.3,1,0,4,0,0.0,0,0,0,0.0,0
0,A,Duke,California,Darian Mensah,Rusher,0,0,0.0,0,0,0,2,17.0,0,0,0,0.0,0
0,A,Duke,California,Anderson Castle,Rusher,0,0,0.0,0,0,0,5,9.5,0,0,0,0.0,0
0,A,Duke,California,Jaquez Moore,Rusher,0,0,0.0,0,0,0,9,28.9,0,0,0,0.0,0
0,A,Duke,California,Peyton Jones,Rusher,0,0,0.0,0,0,0,3,30.9,0,0,0,0.0,0
0,A,Duke,California,Nate Sheppard,Rusher,0,0,0.0,0,0,0,11,66.9,0,0,0,0.0,0
0,A,Duke,California,Jayden Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.7,0
0,A,Duke,California,Cooper Barkate,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,20.8,0
