sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Georgia State,James Madison,Christian Veilleux,QB,34,19,244.0,1,0,3,0,0.0,0,0,0,0.0,0
32,A,Georgia State,James Madison,Christian Veilleux,Rusher,0,0,0.0,0,0,0,10,33.8,0,0,0,0.0,0
32,A,Georgia State,James Madison,Jordan Simmons,Rusher,0,0,0.0,0,0,0,3,8.4,0,0,0,0.0,0
32,A,Georgia State,James Madison,Branson Robinson,Rusher,0,0,0.0,0,0,0,8,21.1,0,0,0,0.0,0
32,A,Georgia State,James Madison,Rashad Amos,Rusher,0,0,0.0,0,0,0,7,5.4,0,0,0,0.0,0
32,A,Georgia State,James Madison,Djay Braswell,Rusher,0,0,0.0,0,0,0,4,11.4,0,0,0,0.0,0
32,A,Georgia State,James Madison,TJ Finley,Rusher,0,0,0.0,0,0,0,1,3.6,0,0,0,0.0,0
32,A,Georgia State,James Madison,Camden Overton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.4,0
32,A,Georgia State,James Madison,Ted Hurst,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,26.7,0
32,A,Georgia State,James Madison,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,15,129.3,1
32,A,Georgia State,James Madison,Javon Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,57.0,0
32,A,Georgia State,James Madison,Kyle Washington,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.9,0
32,A,Georgia State,James Madison,Leo Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.7,0
32,A,Georgia State,James Madison,Grant Hollier,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,James Madison,Georgia State,Alonza Barnett,QB,33,28,318.2,1,0,2,0,0.0,0,0,0,0.0,0
32,A,James Madison,Georgia State,Matthew Sluka,Rusher,0,0,0.0,0,0,0,15,81.8,0,0,0,0.0,0
32,A,James Madison,Georgia State,Ayo Adeyi,Rusher,0,0,0.0,0,0,0,11,27.2,1,0,0,0.0,0
32,A,James Madison,Georgia State,Wayne Knight,Rusher,0,0,0.0,0,0,0,12,57.6,1,0,0,0.0,0
32,A,James Madison,Georgia State,Jordan Fuller,Rusher,0,0,0.0,0,0,0,10,35.2,0,0,0,0.0,0
32,A,James Madison,Georgia State,George Pettaway,Rusher,0,0,0.0,0,0,0,7,21.5,1,0,0,0.0,0
32,A,James Madison,Georgia State,Alonza Barnett,Rusher,0,0,0.0,0,0,0,4,30.7,0,0,0,0.0,0
32,A,James Madison,Georgia State,Nick DeGennaro,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,13.0,0
32,A,James Madison,Georgia State,Lakota Dippre,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,6.7,0
32,A,James Madison,Georgia State,Jaylan Sanchez,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,22.5,0
32,A,James Madison,Georgia State,Michael Scott,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,53.2,0
32,A,James Madison,Georgia State,Logan Kyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,22.5,1
32,A,James Madison,Georgia State,Landon Ellis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,10.2,0
32,A,James Madison,Georgia State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,10,171.8,0
32,A,James Madison,Georgia State,Isaiah Alston,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.3,0
33,B,James Madison,Georgia State,Alonza Barnett,QB,40,29,367.4,3,0,0,0,0.0,0,0,0,0.0,0
33,B,James Madison,Georgia State,Ayo Adeyi,Rusher,0,0,0.0,0,0,0,8,55.7,0,0,0,0.0,0
33,B,James Madison,Georgia State,Wayne Knight,Rusher,0,0,0.0,0,0,0,18,67.4,0,0,0,0.0,0
33,B,James Madison,Georgia State,George Pettaway,Rusher,0,0,0.0,0,0,0,5,36.1,0,0,0,0.0,0
33,B,James Madison,Georgia State,Matthew Sluka,Rusher,0,0,0.0,0,0,0,12,54.6,1,0,0,0.0,0
33,B,James Madison,Georgia State,Jordan Fuller,Rusher,0,0,0.0,0,0,0,7,21.6,1,0,0,0.0,0
33,B,James Madison,Georgia State,Alonza Barnett,Rusher,0,0,0.0,0,0,0,5,23.3,0,0,0,0.0,0
33,B,James Madison,Georgia State,Isaiah Alston,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,47.3,0
33,B,James Madison,Georgia State,Nick DeGennaro,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,77.8,0
33,B,James Madison,Georgia State,Braeden Wisloski,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,24.1,1
33,B,James Madison,Georgia State,Jaylan Sanchez,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,54.2,1
33,B,James Madison,Georgia State,Michael Scott,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,26.8,0
33,B,James Madison,Georgia State,Logan Kyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,62.2,0
33,B,James Madison,Georgia State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,57.6,1
33,B,James Madison,Georgia State,Za'Ron Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,James Madison,Georgia State,Lakota Dippre,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
33,B,James Madison,Georgia State,Landon Ellis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,17.4,0
33,B,Georgia State,James Madison,Christian Veilleux,QB,36,23,280.2,1,0,5,0,0.0,0,0,0,0.0,0
