sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Rice,Florida Atlantic,Chase Jenkins,QB,35,22,243.4,2,0,6,0,0.0,0,0,0,0.0,0
0,A,Rice,Florida Atlantic,DAndre Hardeman Jr.,Rusher,0,0,0.0,0,0,0,9,20.8,0,0,0,0.0,0
0,A,Rice,Florida Atlantic,Carson Morgan,Rusher,0,0,0.0,0,0,0,4,15.6,0,0,0,0.0,0
0,A,Rice,Florida Atlantic,Quinton Jackson,Rusher,0,0,0.0,0,0,0,19,117.3,1,0,0,0.0,0
0,A,Rice,Florida Atlantic,Chase Jenkins,Rusher,0,0,0.0,0,0,0,9,35.6,0,0,0,0.0,0
0,A,Rice,Florida Atlantic,Tyvonn Byars,Rusher,0,0,0.0,0,0,0,2,8.7,0,0,0,0.0,0
0,A,Rice,Florida Atlantic,Drew Devillier,Rusher,0,0,0.0,0,0,0,3,18.1,0,0,0,0.0,0
0,A,Rice,Florida Atlantic,Other RB,Rusher,0,0,0.0,0,0,0,4,17.9,0,0,0,0.0,0
0,A,Rice,Florida Atlantic,Daelen Alexander,Rusher,0,0,0.0,0,0,0,5,4.3,0,0,0,0.0,0
0,A,Rice,Florida Atlantic,Aaron Turner,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,28.6,0
0,A,Rice,Florida Atlantic,Tyson Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,20.6,0
0,A,Rice,Florida Atlantic,Braylen Walker,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,40.7,1
0,A,Rice,Florida Atlantic,David Kasemervisz,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,17.8,0
0,A,Rice,Florida Atlantic,Artis Cole,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,29.8,0
0,A,Rice,Florida Atlantic,Landon Ransom-Goelz,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,50.4,0
0,A,Rice,Florida Atlantic,Drayden Dickmann,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,55.5,1
0,A,Rice,Florida Atlantic,Semaj Pierre,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,Florida Atlantic,Rice,Caden Veltkamp,QB,39,29,340.6,1,0,4,0,0.0,0,0,0,0.0,0
0,A,Florida Atlantic,Rice,Gemari Sands,Rusher,0,0,0.0,0,0,0,10,49.0,1,0,0,0.0,0
0,A,Florida Atlantic,Rice,Xavier Terrell,Rusher,0,0,0.0,0,0,0,10,42.4,1,0,0,0.0,0
0,A,Florida Atlantic,Rice,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,8,29.8,1,0,0,0.0,0
0,A,Florida Atlantic,Rice,Kaden Shields-Dutton,Rusher,0,0,0.0,0,0,0,2,4.3,0,0,0,0.0,0
0,A,Florida Atlantic,Rice,Michael Kirch,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,47.5,0
0,A,Florida Atlantic,Rice,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,13,121.7,1
0,A,Florida Atlantic,Rice,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,43.6,0
0,A,Florida Atlantic,Rice,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,32.2,0
0,A,Florida Atlantic,Rice,Asaad Waseem,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,20.6,0
0,A,Florida Atlantic,Rice,Quincy Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,36.6,0
0,A,Florida Atlantic,Rice,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.0,0
0,A,Florida Atlantic,Rice,Jabari Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
0,A,Florida Atlantic,Rice,Sean Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,31.4,0
1,B,Florida Atlantic,Rice,Caden Veltkamp,QB,40,28,289.8,1,0,5,0,0.0,0,0,0,0.0,0
1,B,Florida Atlantic,Rice,Gemari Sands,Rusher,0,0,0.0,0,0,0,19,68.9,4,0,0,0.0,0
1,B,Florida Atlantic,Rice,Other RB,Rusher,0,0,0.0,0,0,0,1,4.9,0,0,0,0.0,0
1,B,Florida Atlantic,Rice,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,7,42.7,0,0,0,0.0,0
1,B,Florida Atlantic,Rice,Xavier Terrell,Rusher,0,0,0.0,0,0,0,8,50.1,0,0,0,0.0,0
1,B,Florida Atlantic,Rice,Dom Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,61.2,0
1,B,Florida Atlantic,Rice,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,22.8,0
1,B,Florida Atlantic,Rice,Michael Kirch,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,10.6,0
1,B,Florida Atlantic,Rice,Asaad Waseem,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,55.4,0
1,B,Florida Atlantic,Rice,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,72.0,1
1,B,Florida Atlantic,Rice,Jabari Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,25.6,0
1,B,Florida Atlantic,Rice,Quincy Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.1,0
1,B,Florida Atlantic,Rice,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,18.2,0
1,B,Florida Atlantic,Rice,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.9,0
