sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,UCF,Kansas,Tayven Jackson,QB,35,24,284.4,1,0,3,0,0.0,0,0,0,0.0,0
0,A,UCF,Kansas,Tayven Jackson,Rusher,0,0,0.0,0,0,0,10,27.4,0,0,0,0.0,0
0,A,UCF,Kansas,Jacurri Brown,Rusher,0,0,0.0,0,0,0,4,8.9,0,0,0,0.0,0
0,A,UCF,Kansas,Myles Montgomery,Rusher,0,0,0.0,0,0,0,6,29.1,1,0,0,0.0,0
0,A,UCF,Kansas,Stacy Gage,Rusher,0,0,0.0,0,0,0,2,13.7,0,0,0,0.0,0
0,A,UCF,Kansas,Cam Fancher,Rusher,0,0,0.0,0,0,0,7,19.4,1,0,0,0.0,0
0,A,UCF,Kansas,Jaden Nixon,Rusher,0,0,0.0,0,0,0,4,20.7,0,0,0,0.0,0
0,A,UCF,Kansas,Duane Thomas Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,55.1,0
0,A,UCF,Kansas,Dylan Wade,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,65.9,1
0,A,UCF,Kansas,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.2,0
0,A,UCF,Kansas,Waden Charles,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,33.9,0
0,A,UCF,Kansas,DJ Black,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,36.1,0
0,A,UCF,Kansas,Marcus Burke,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,42.8,0
0,A,UCF,Kansas,Kylan Fox,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,17.8,0
0,A,UCF,Kansas,Chris Domercant,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.5,0
0,A,Kansas,UCF,Jalon Daniels,QB,26,16,242.8,2,0,0,0,0.0,0,0,0,0.0,0
0,A,Kansas,UCF,Johnny Thompson Jr.,Rusher,0,0,0.0,0,0,0,2,1.1,0,0,0,0.0,0
0,A,Kansas,UCF,Jalon Daniels,Rusher,0,0,0.0,0,0,0,8,16.7,0,0,0,0.0,0
0,A,Kansas,UCF,Leshon Williams,Rusher,0,0,0.0,0,0,0,14,96.3,2,0,0,0.0,0
0,A,Kansas,UCF,Daniel Hishaw Jr.,Rusher,0,0,0.0,0,0,0,6,19.1,1,0,0,0.0,0
0,A,Kansas,UCF,Isaiah Marshall,Rusher,0,0,0.0,0,0,0,3,25.0,0,0,0,0.0,0
0,A,Kansas,UCF,Cole Ballard,Rusher,0,0,0.0,0,0,0,2,20.4,0,0,0,0.0,0
