sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Virginia Tech,Wake Forest,Kyron Drones,QB,40,26,378.7,3,0,11,0,0.0,0,0,0,0.0,0
48,A,Virginia Tech,Wake Forest,Kyron Drones,Rusher,0,0,0.0,0,0,0,8,29.7,0,0,0,0.0,0
48,A,Virginia Tech,Wake Forest,Braydon Bennett,Rusher,0,0,0.0,0,0,0,6,18.5,0,0,0,0.0,0
48,A,Virginia Tech,Wake Forest,Marcellous Hawkins,Rusher,0,0,0.0,0,0,0,7,19.9,0,0,0,0.0,0
48,A,Virginia Tech,Wake Forest,Tyler Mason,Rusher,0,0,0.0,0,0,0,1,5.9,0,0,0,0.0,0
48,A,Virginia Tech,Wake Forest,Terion Stewart,Rusher,0,0,0.0,0,0,0,5,20.4,0,0,0,0.0,0
48,A,Virginia Tech,Wake Forest,Ja'Ricous Hairston,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,25.7,0
48,A,Virginia Tech,Wake Forest,Takye Heath,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
48,A,Virginia Tech,Wake Forest,Cameron Seldon,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,50.8,0
48,A,Virginia Tech,Wake Forest,Benji Gosnell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,33.5,0
48,A,Virginia Tech,Wake Forest,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,178.9,2
48,A,Virginia Tech,Wake Forest,Devin Alves,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,47.5,0
48,A,Virginia Tech,Wake Forest,Isaiah Spencer,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,19.3,0
48,A,Virginia Tech,Wake Forest,Donavon Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,3.5,0
48,A,Virginia Tech,Wake Forest,Ayden Greene,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,18.7,1
48,A,Virginia Tech,Wake Forest,Tucker Holloway,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.9,0
48,A,Wake Forest,Virginia Tech,Robby Ashford,QB,35,28,314.1,1,0,10,0,0.0,0,0,0,0.0,0
48,A,Wake Forest,Virginia Tech,Ty Clark III,Rusher,0,0,0.0,0,0,0,11,34.1,0,0,0,0.0,0
48,A,Wake Forest,Virginia Tech,Demond Claiborne,Rusher,0,0,0.0,0,0,0,15,57.2,2,0,0,0.0,0
48,A,Wake Forest,Virginia Tech,Robby Ashford,Rusher,0,0,0.0,0,0,0,12,44.3,1,0,0,0.0,0
48,A,Wake Forest,Virginia Tech,JaMario Clements,Rusher,0,0,0.0,0,0,0,3,17.1,0,0,0,0.0,0
48,A,Wake Forest,Virginia Tech,Deshawn Purdie,Rusher,0,0,0.0,0,0,0,1,-0.1,0,0,0,0.0,0
48,A,Wake Forest,Virginia Tech,Micah Mays Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,38.7,0
48,A,Wake Forest,Virginia Tech,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.7,0
48,A,Wake Forest,Virginia Tech,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,75.8,1
48,A,Wake Forest,Virginia Tech,Chris Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,9,76.5,0
48,A,Wake Forest,Virginia Tech,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,39.9,0
48,A,Wake Forest,Virginia Tech,Sawyer Racanelli,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.6,0
