sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
48,A,Wyoming,UNLV,Kaden Anderson,QB,23,18,135.8,0,0,5,0,0.0,0,0,0,0.0,0
48,A,Wyoming,UNLV,Samuel Harris,Rusher,0,0,0.0,0,0,0,10,73.3,1,0,0,0.0,0
48,A,Wyoming,UNLV,Sam Scott,Rusher,0,0,0.0,0,0,0,20,154.0,2,0,0,0.0,0
48,A,Wyoming,UNLV,Terron Kellman,Rusher,0,0,0.0,0,0,0,2,21.0,0,0,0,0.0,0
48,A,Wyoming,UNLV,Landon Sims,Rusher,0,0,0.0,0,0,0,4,21.5,0,0,0,0.0,0
48,A,Wyoming,UNLV,Other RB,Rusher,0,0,0.0,0,0,0,3,11.7,0,0,0,0.0,0
48,A,Wyoming,UNLV,Kaden Anderson,Rusher,0,0,0.0,0,0,0,2,14.0,0,0,0,0.0,0
48,A,Wyoming,UNLV,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,23.9,0
48,A,Wyoming,UNLV,Charlie Coenen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
48,A,Wyoming,UNLV,Johnmichael Gyllenborg,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,16.3,0
48,A,Wyoming,UNLV,Chris Durr Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,4.9,0
48,A,Wyoming,UNLV,Bricen Brantley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,37.6,0
48,A,Wyoming,UNLV,Jaylen Sargent,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,10.2,0
48,A,Wyoming,UNLV,Jaylan Bean,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,18.6,0
48,A,Wyoming,UNLV,Jackson Holman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
48,A,Wyoming,UNLV,Eric Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.5,0
48,A,Wyoming,UNLV,Justin Erb,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.8,0
48,A,Wyoming,UNLV,Evan Svoboda,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.1,0
