team,opp,pts,opp_pts,plays,opp_plays
App State,Oregon State,13,31,69,55
Oregon State,App State,23,14,63,68
App State,Oregon State,10,17,62,60
Oregon State,App State,20,10,81,52
App State,Oregon State,6,17,63,61
Oregon State,App State,24,38,55,72
App State,Oregon State,20,27,69,68
Oregon State,App State,24,7,62,62
App State,Oregon State,31,20,72,54
Oregon State,App State,17,13,61,62
App State,Oregon State,14,20,56,65
Oregon State,App State,20,17,63,61
App State,Oregon State,7,28,59,72
Oregon State,App State,20,7,70,53
App State,Oregon State,14,16,61,64
Oregon State,App State,30,7,66,56
App State,Oregon State,3,31,77,54
Oregon State,App State,27,27,69,61
App State,Oregon State,3,31,55,68
Oregon State,App State,23,28,71,59
App State,Oregon State,6,10,67,54
Oregon State,App State,10,28,51,81
App State,Oregon State,21,35,56,65
Oregon State,App State,35,17,70,64
App State,Oregon State,24,13,62,68
Oregon State,App State,21,14,60,71
App State,Oregon State,21,33,57,63
Oregon State,App State,24,10,73,60
App State,Oregon State,17,27,64,63
Oregon State,App State,17,13,63,70
App State,Oregon State,31,23,64,61
Oregon State,App State,13,6,66,58
App State,Oregon State,17,13,64,65
Oregon State,App State,31,20,72,56
App State,Oregon State,27,24,74,61
Oregon State,App State,21,24,60,63
App State,Oregon State,10,23,61,66
Oregon State,App State,24,17,64,62
App State,Oregon State,30,24,61,65
Oregon State,App State,20,24,64,68
App State,Oregon State,24,7,76,51
Oregon State,App State,31,3,76,52
App State,Oregon State,31,14,58,63
Oregon State,App State,6,13,57,71
App State,Oregon State,17,31,68,61
Oregon State,App State,14,23,60,69
App State,Oregon State,20,23,72,63
Oregon State,App State,20,10,64,61
App State,Oregon State,24,20,62,65
Oregon State,App State,42,7,67,64
App State,Oregon State,28,10,66,71
Oregon State,App State,20,21,76,55
App State,Oregon State,27,24,70,60
Oregon State,App State,30,17,62,73
App State,Oregon State,16,10,74,51
Oregon State,App State,27,13,63,71
App State,Oregon State,10,27,67,65
Oregon State,App State,38,17,67,60
App State,Oregon State,10,31,68,67
Oregon State,App State,13,10,71,55
App State,Oregon State,23,24,68,57
Oregon State,App State,34,3,73,55
App State,Oregon State,24,34,62,65
Oregon State,App State,45,20,66,61
App State,Oregon State,17,10,68,67
Oregon State,App State,38,28,69,62
App State,Oregon State,14,30,51,72
Oregon State,App State,24,21,66,58
App State,Oregon State,10,22,50,74
Oregon State,App State,31,17,68,51
App State,Oregon State,13,38,61,62
Oregon State,App State,20,21,62,72
App State,Oregon State,13,24,71,54
Oregon State,App State,38,31,60,68
App State,Oregon State,17,17,65,58
Oregon State,App State,27,24,67,56
App State,Oregon State,13,20,72,50
Oregon State,App State,3,41,61,75
App State,Oregon State,19,19,85,57
Oregon State,App State,14,6,57,63
App State,Oregon State,20,7,62,70
Oregon State,App State,38,13,71,60
App State,Oregon State,31,3,67,56
Oregon State,App State,28,24,63,62
App State,Oregon State,38,17,65,61
Oregon State,App State,20,14,64,60
App State,Oregon State,38,9,69,65
Oregon State,App State,17,17,55,72
App State,Oregon State,13,13,61,62
Oregon State,App State,27,3,73,48
App State,Oregon State,20,14,68,60
Oregon State,App State,21,28,69,55
App State,Oregon State,14,21,61,70
Oregon State,App State,7,34,59,71
App State,Oregon State,20,21,68,59
Oregon State,App State,20,7,78,56
App State,Oregon State,6,27,63,66
Oregon State,App State,0,27,55,82
App State,Oregon State,10,23,63,62
Oregon State,App State,17,10,62,61
App State,Oregon State,24,17,56,66
Oregon State,App State,24,10,52,76
App State,Oregon State,14,41,57,78
Oregon State,App State,17,17,55,68
App State,Oregon State,16,21,67,56
Oregon State,App State,30,17,68,55
App State,Oregon State,38,27,63,58
Oregon State,App State,7,28,55,69
App State,Oregon State,21,13,52,71
Oregon State,App State,14,20,57,80
App State,Oregon State,13,41,62,67
Oregon State,App State,13,28,65,63
App State,Oregon State,17,27,62,61
Oregon State,App State,45,13,74,54
App State,Oregon State,21,28,68,59
Oregon State,App State,17,13,66,65
App State,Oregon State,10,24,52,69
Oregon State,App State,23,28,60,60
App State,Oregon State,14,28,61,67
Oregon State,App State,24,34,62,64
App State,Oregon State,27,10,77,54
Oregon State,App State,27,20,65,64
App State,Oregon State,28,20,67,61
Oregon State,App State,31,10,65,53
App State,Oregon State,7,35,65,63
Oregon State,App State,24,17,73,53
App State,Oregon State,31,7,72,57
Oregon State,App State,28,14,67,61
App State,Oregon State,21,10,67,65
Oregon State,App State,24,31,68,58
App State,Oregon State,42,42,72,63
Oregon State,App State,28,10,70,53
App State,Oregon State,14,16,79,61
Oregon State,App State,10,30,52,75
App State,Oregon State,24,35,59,67
Oregon State,App State,38,13,65,61
App State,Oregon State,14,35,69,63
Oregon State,App State,24,10,59,73
App State,Oregon State,28,17,64,58
Oregon State,App State,14,24,63,58
App State,Oregon State,14,14,58,59
Oregon State,App State,13,14,73,58
App State,Oregon State,20,14,59,64
Oregon State,App State,20,31,72,62
App State,Oregon State,14,27,54,68
Oregon State,App State,30,17,68,61
App State,Oregon State,24,34,62,65
Oregon State,App State,48,3,75,48
App State,Oregon State,28,17,62,63
Oregon State,App State,38,16,71,50
App State,Oregon State,16,28,67,62
Oregon State,App State,31,10,65,68
App State,Oregon State,20,13,65,55
Oregon State,App State,20,14,67,55
App State,Oregon State,20,12,57,72
Oregon State,App State,28,17,59,70
App State,Oregon State,20,20,63,64
Oregon State,App State,28,17,58,65
App State,Oregon State,23,21,63,59
Oregon State,App State,28,26,67,64
App State,Oregon State,20,13,70,60
Oregon State,App State,10,3,63,58
App State,Oregon State,23,16,75,56
Oregon State,App State,17,13,62,57
App State,Oregon State,20,13,65,59
Oregon State,App State,21,21,63,66
App State,Oregon State,17,10,61,70
Oregon State,App State,24,6,67,52
App State,Oregon State,16,17,81,52
Oregon State,App State,20,10,64,56
App State,Oregon State,31,17,54,72
Oregon State,App State,27,28,76,57
App State,Oregon State,24,20,63,63
Oregon State,App State,28,23,71,62
App State,Oregon State,17,17,56,69
Oregon State,App State,20,31,74,65
App State,Oregon State,34,24,73,55
Oregon State,App State,20,34,61,74
App State,Oregon State,20,7,78,56
Oregon State,App State,38,10,68,59
App State,Oregon State,24,27,65,63
Oregon State,App State,28,31,63,66
App State,Oregon State,27,6,69,70
Oregon State,App State,27,7,69,53
App State,Oregon State,17,31,66,59
Oregon State,App State,14,35,64,64
App State,Oregon State,14,34,46,78
Oregon State,App State,7,7,77,53
App State,Oregon State,21,24,60,72
Oregon State,App State,23,7,77,50
App State,Oregon State,17,34,61,65
Oregon State,App State,21,24,67,64
App State,Oregon State,10,20,70,55
Oregon State,App State,21,17,62,64
App State,Oregon State,20,41,76,62
Oregon State,App State,21,21,71,52
App State,Oregon State,28,13,72,55
Oregon State,App State,31,10,69,52
App State,Oregon State,7,37,55,65
Oregon State,App State,10,14,62,60
App State,Oregon State,20,28,64,58
Oregon State,App State,24,34,47,83
App State,Oregon State,27,24,64,58
Oregon State,App State,31,10,64,67
App State,Oregon State,13,7,70,57
Oregon State,App State,31,38,61,69
App State,Oregon State,35,21,77,70
Oregon State,App State,21,7,66,63
App State,Oregon State,7,24,52,72
Oregon State,App State,34,10,64,63
App State,Oregon State,10,28,54,66
Oregon State,App State,38,14,71,53
App State,Oregon State,10,17,57,61
Oregon State,App State,35,14,71,59
App State,Oregon State,31,14,61,56
Oregon State,App State,14,27,75,55
App State,Oregon State,16,24,74,52
Oregon State,App State,24,31,68,56
App State,Oregon State,17,16,73,57
Oregon State,App State,28,3,55,69
App State,Oregon State,13,13,65,56
Oregon State,App State,17,6,63,66
App State,Oregon State,52,35,68,66
Oregon State,App State,21,30,56,69
App State,Oregon State,3,30,63,62
Oregon State,App State,27,16,69,63
App State,Oregon State,21,27,62,69
Oregon State,App State,13,21,87,46
App State,Oregon State,24,7,77,54
Oregon State,App State,14,21,71,53
App State,Oregon State,24,10,56,74
Oregon State,App State,31,14,66,66
App State,Oregon State,34,24,70,63
Oregon State,App State,10,30,65,67
App State,Oregon State,24,13,62,65
Oregon State,App State,16,10,62,59
App State,Oregon State,17,17,58,70
Oregon State,App State,10,3,64,66
App State,Oregon State,21,17,58,72
Oregon State,App State,14,47,47,83
App State,Oregon State,20,21,77,57
Oregon State,App State,24,0,61,62
App State,Oregon State,13,17,58,64
Oregon State,App State,3,24,72,59
App State,Oregon State,17,24,67,58
Oregon State,App State,27,14,69,55
App State,Oregon State,20,0,72,56
Oregon State,App State,21,21,72,58
App State,Oregon State,23,41,58,77
Oregon State,App State,24,17,61,61
App State,Oregon State,23,7,69,56
Oregon State,App State,35,30,65,70
App State,Oregon State,24,20,64,61
Oregon State,App State,6,24,70,51
App State,Oregon State,0,41,53,70
Oregon State,App State,20,23,57,66
