team,opp,pts,opp_pts,plays,opp_plays
Houston,Texas Tech,21,31,71,57
Texas Tech,Houston,35,3,71,56
Houston,Texas Tech,0,37,52,75
Texas Tech,Houston,24,10,65,55
Houston,Texas Tech,10,33,62,65
Texas Tech,Houston,41,3,74,50
Houston,Texas Tech,16,14,61,58
Texas Tech,Houston,28,27,61,68
Houston,Texas Tech,10,24,60,62
Texas Tech,Houston,31,0,66,64
Houston,Texas Tech,27,21,70,53
Texas Tech,Houston,14,20,66,66
Houston,Texas Tech,24,37,62,62
Texas Tech,Houston,17,10,61,69
Houston,Texas Tech,17,10,61,65
Texas Tech,Houston,24,9,58,73
Houston,Texas Tech,7,34,51,65
Texas Tech,Houston,31,10,67,60
Houston,Texas Tech,24,38,64,67
Texas Tech,Houston,24,21,57,73
Houston,Texas Tech,13,28,66,60
Texas Tech,Houston,49,14,73,54
Houston,Texas Tech,0,34,51,77
Texas Tech,Houston,20,14,60,59
Houston,Texas Tech,31,20,68,56
Texas Tech,Houston,31,13,66,67
Houston,Texas Tech,14,17,58,62
Texas Tech,Houston,34,10,75,56
Houston,Texas Tech,7,38,57,70
Texas Tech,Houston,29,3,75,53
Houston,Texas Tech,9,20,67,58
Texas Tech,Houston,27,9,63,61
Houston,Texas Tech,17,28,64,58
Texas Tech,Houston,28,21,63,66
Houston,Texas Tech,10,41,59,67
Texas Tech,Houston,34,0,69,65
Houston,Texas Tech,24,28,67,66
Texas Tech,Houston,23,10,65,62
Houston,Texas Tech,10,42,51,71
Texas Tech,Houston,52,3,80,52
Houston,Texas Tech,17,17,68,49
Texas Tech,Houston,34,13,65,61
Houston,Texas Tech,24,23,76,52
Texas Tech,Houston,31,17,63,67
Houston,Texas Tech,21,27,66,57
Texas Tech,Houston,52,10,76,53
Houston,Texas Tech,10,31,68,54
Texas Tech,Houston,24,10,67,58
Houston,Texas Tech,7,47,50,83
Texas Tech,Houston,38,10,78,55
Houston,Texas Tech,3,45,67,70
Texas Tech,Houston,24,0,81,47
Houston,Texas Tech,10,14,76,54
Texas Tech,Houston,34,7,70,52
Houston,Texas Tech,13,10,66,54
Texas Tech,Houston,33,14,75,60
Houston,Texas Tech,10,27,71,56
Texas Tech,Houston,35,21,73,63
Houston,Texas Tech,13,31,66,66
Texas Tech,Houston,49,6,72,54
Houston,Texas Tech,7,45,66,69
Texas Tech,Houston,31,20,66,69
Houston,Texas Tech,0,31,55,75
Texas Tech,Houston,34,7,69,56
Houston,Texas Tech,7,20,66,60
Texas Tech,Houston,35,20,70,53
Houston,Texas Tech,7,28,55,75
Texas Tech,Houston,21,21,62,61
Houston,Texas Tech,24,24,58,65
Texas Tech,Houston,30,14,64,65
Houston,Texas Tech,0,20,62,60
Texas Tech,Houston,28,14,65,59
Houston,Texas Tech,20,20,58,64
Texas Tech,Houston,28,9,57,61
Houston,Texas Tech,17,17,63,65
Texas Tech,Houston,17,20,70,56
Houston,Texas Tech,14,42,52,72
Texas Tech,Houston,3,10,59,63
Houston,Texas Tech,3,41,59,65
Texas Tech,Houston,28,23,69,63
Houston,Texas Tech,9,21,74,46
Texas Tech,Houston,31,10,72,60
Houston,Texas Tech,9,20,57,65
Texas Tech,Houston,24,6,66,63
Houston,Texas Tech,3,34,54,64
Texas Tech,Houston,35,21,69,59
Houston,Texas Tech,3,21,60,66
Texas Tech,Houston,27,23,61,66
Houston,Texas Tech,13,30,61,65
Texas Tech,Houston,34,20,78,51
Houston,Texas Tech,10,35,64,60
Texas Tech,Houston,28,14,64,60
Houston,Texas Tech,16,19,64,56
Texas Tech,Houston,24,24,68,61
Houston,Texas Tech,13,35,72,56
Texas Tech,Houston,14,14,53,65
Houston,Texas Tech,17,42,68,59
Texas Tech,Houston,30,21,61,75
Houston,Texas Tech,7,21,68,57
Texas Tech,Houston,29,14,78,57
Houston,Texas Tech,35,10,71,47
Texas Tech,Houston,27,17,66,60
Houston,Texas Tech,21,17,71,54
Texas Tech,Houston,31,10,53,69
Houston,Texas Tech,20,10,73,49
Texas Tech,Houston,10,24,58,67
Houston,Texas Tech,35,10,68,59
Texas Tech,Houston,14,23,59,65
Houston,Texas Tech,17,34,61,64
Texas Tech,Houston,16,10,58,63
Houston,Texas Tech,10,24,66,57
Texas Tech,Houston,37,13,73,63
Houston,Texas Tech,13,27,57,71
Texas Tech,Houston,24,7,59,63
Houston,Texas Tech,0,19,66,68
Texas Tech,Houston,20,24,72,60
Houston,Texas Tech,24,20,62,59
Texas Tech,Houston,21,38,60,59
Houston,Texas Tech,10,31,61,63
Texas Tech,Houston,28,24,59,67
Houston,Texas Tech,21,27,63,59
Texas Tech,Houston,28,13,60,76
Houston,Texas Tech,24,34,60,70
Texas Tech,Houston,44,7,77,51
Houston,Texas Tech,14,31,75,55
Texas Tech,Houston,24,17,62,61
Houston,Texas Tech,6,42,63,64
Texas Tech,Houston,14,6,59,63
Houston,Texas Tech,10,35,65,62
Texas Tech,Houston,34,13,66,56
Houston,Texas Tech,14,23,62,65
Texas Tech,Houston,27,14,73,52
Houston,Texas Tech,24,20,70,58
Texas Tech,Houston,7,10,70,54
Houston,Texas Tech,20,14,65,62
Texas Tech,Houston,31,17,58,70
Houston,Texas Tech,24,31,64,67
Texas Tech,Houston,38,13,78,53
Houston,Texas Tech,14,24,56,65
Texas Tech,Houston,27,10,68,52
Houston,Texas Tech,13,38,66,61
Texas Tech,Houston,35,7,63,68
Houston,Texas Tech,17,38,60,65
Texas Tech,Houston,28,7,67,59
Houston,Texas Tech,31,21,76,46
Texas Tech,Houston,28,17,60,71
Houston,Texas Tech,34,14,68,53
Texas Tech,Houston,20,24,62,62
Houston,Texas Tech,10,31,49,78
Texas Tech,Houston,17,13,60,73
Houston,Texas Tech,3,27,66,59
Texas Tech,Houston,21,6,60,71
Houston,Texas Tech,34,31,66,69
Texas Tech,Houston,24,0,72,58
Houston,Texas Tech,27,20,66,67
Texas Tech,Houston,27,3,63,71
Houston,Texas Tech,3,30,58,68
Texas Tech,Houston,35,6,61,62
Houston,Texas Tech,10,7,69,64
Texas Tech,Houston,38,14,68,56
Houston,Texas Tech,24,42,60,62
Texas Tech,Houston,17,10,65,56
Houston,Texas Tech,30,6,71,55
Texas Tech,Houston,17,13,69,57
Houston,Texas Tech,10,13,69,65
Texas Tech,Houston,41,3,73,50
Houston,Texas Tech,10,28,69,57
Texas Tech,Houston,27,20,74,49
Houston,Texas Tech,7,42,55,72
Texas Tech,Houston,35,3,68,60
Houston,Texas Tech,40,17,64,61
Texas Tech,Houston,34,17,66,61
Houston,Texas Tech,17,48,55,71
Texas Tech,Houston,31,17,65,60
Houston,Texas Tech,14,27,63,59
Texas Tech,Houston,49,9,60,69
Houston,Texas Tech,6,34,62,68
Texas Tech,Houston,17,10,51,74
Houston,Texas Tech,7,48,61,70
Texas Tech,Houston,37,10,79,54
Houston,Texas Tech,14,24,62,64
Texas Tech,Houston,41,16,77,53
Houston,Texas Tech,17,38,63,63
Texas Tech,Houston,28,0,64,57
Houston,Texas Tech,30,28,68,64
Texas Tech,Houston,35,17,58,68
Houston,Texas Tech,0,34,56,71
Texas Tech,Houston,14,24,63,57
Houston,Texas Tech,7,31,63,61
Texas Tech,Houston,27,24,66,70
Houston,Texas Tech,16,27,60,70
Texas Tech,Houston,31,14,69,64
Houston,Texas Tech,3,38,68,58
