team,opp,pts,opp_pts,plays,opp_plays
Maryland,Washington,10,14,61,67
Washington,Maryland,13,14,70,59
Maryland,Washington,14,17,64,64
Washington,Maryland,24,6,62,68
Maryland,Washington,3,28,68,59
Washington,Maryland,20,38,63,66
Maryland,Washington,21,7,65,64
Washington,Maryland,10,13,55,71
Maryland,Washington,0,41,58,70
Washington,Maryland,7,23,59,67
Maryland,Washington,13,7,63,62
Washington,Maryland,27,13,69,58
Maryland,Washington,17,7,73,60
Washington,Maryland,3,24,60,66
Maryland,Washington,17,14,61,60
Washington,Maryland,23,17,76,58
Maryland,Washington,13,10,64,57
Washington,Maryland,31,49,65,64
Maryland,Washington,17,21,67,64
Washington,Maryland,9,10,62,56
Maryland,Washington,14,24,58,69
Washington,Maryland,16,27,64,66
Maryland,Washington,31,17,60,65
Washington,Maryland,27,17,66,61
Maryland,Washington,27,17,61,65
Washington,Maryland,7,35,62,65
Maryland,Washington,14,27,59,65
Washington,Maryland,19,14,66,63
Maryland,Washington,9,24,75,51
Washington,Maryland,28,17,62,75
Maryland,Washington,27,14,67,61
Washington,Maryland,24,7,65,61
Maryland,Washington,24,7,76,43
Washington,Maryland,24,21,67,60
Maryland,Washington,17,6,62,65
Washington,Maryland,34,17,70,55
Maryland,Washington,41,13,76,57
Washington,Maryland,10,14,68,58
Maryland,Washington,14,24,54,75
Washington,Maryland,24,23,64,65
Maryland,Washington,27,24,65,64
Washington,Maryland,6,27,49,81
Maryland,Washington,16,23,60,70
Washington,Maryland,13,0,67,59
Maryland,Washington,24,24,63,60
Washington,Maryland,10,27,65,66
Maryland,Washington,27,17,66,60
Washington,Maryland,14,19,68,65
Maryland,Washington,3,41,56,76
Washington,Maryland,10,24,55,59
Maryland,Washington,27,10,65,63
Washington,Maryland,17,17,65,62
Maryland,Washington,14,14,72,53
Washington,Maryland,21,17,63,74
Maryland,Washington,13,38,55,74
Washington,Maryland,20,10,73,67
Maryland,Washington,7,24,69,61
Washington,Maryland,38,17,71,60
Maryland,Washington,30,17,71,54
Washington,Maryland,7,27,52,75
Maryland,Washington,28,24,69,62
Washington,Maryland,13,6,75,54
Maryland,Washington,17,14,66,58
Washington,Maryland,3,17,65,63
Maryland,Washington,14,14,72,56
Washington,Maryland,24,24,58,67
Maryland,Washington,27,3,73,52
Washington,Maryland,23,13,57,72
Maryland,Washington,7,16,61,72
Washington,Maryland,28,21,64,60
Maryland,Washington,10,34,69,59
Washington,Maryland,3,14,75,47
Maryland,Washington,14,27,58,68
Washington,Maryland,24,13,69,61
Maryland,Washington,10,13,72,59
Washington,Maryland,14,24,60,69
Maryland,Washington,13,23,54,70
Washington,Maryland,23,14,64,66
Maryland,Washington,17,17,65,62
Washington,Maryland,27,14,61,59
Maryland,Washington,23,28,69,59
Washington,Maryland,14,13,60,67
Maryland,Washington,24,20,57,65
Washington,Maryland,12,10,61,61
Maryland,Washington,23,10,66,60
Washington,Maryland,17,21,65,67
Maryland,Washington,23,17,54,69
Washington,Maryland,20,28,61,68
Maryland,Washington,24,17,64,59
Washington,Maryland,41,13,74,57
Maryland,Washington,6,13,64,59
Washington,Maryland,6,7,64,58
Maryland,Washington,12,21,66,60
Washington,Maryland,13,17,67,64
Maryland,Washington,21,7,68,60
Washington,Maryland,0,31,59,66
Maryland,Washington,21,10,58,65
Washington,Maryland,34,10,66,56
Maryland,Washington,16,10,69,54
Washington,Maryland,28,3,82,46
Maryland,Washington,30,14,75,62
Washington,Maryland,7,59,54,75
Maryland,Washington,38,21,68,58
Washington,Maryland,28,20,56,76
Maryland,Washington,42,14,68,60
Washington,Maryland,17,17,58,78
Maryland,Washington,24,27,68,67
Washington,Maryland,21,27,63,65
Maryland,Washington,10,10,71,61
Washington,Maryland,35,10,56,70
Maryland,Washington,7,7,70,55
Washington,Maryland,7,28,61,63
Maryland,Washington,30,3,80,60
Washington,Maryland,13,27,69,61
Maryland,Washington,14,35,69,63
Washington,Maryland,24,17,74,52
Maryland,Washington,27,17,62,64
Washington,Maryland,49,17,62,67
Maryland,Washington,24,17,61,70
Washington,Maryland,17,17,67,59
Maryland,Washington,17,14,62,63
Washington,Maryland,38,28,63,76
Maryland,Washington,3,31,62,67
Washington,Maryland,27,10,59,67
Maryland,Washington,35,13,63,63
Washington,Maryland,17,7,72,49
Maryland,Washington,28,3,64,65
Washington,Maryland,38,3,74,48
Maryland,Washington,24,24,65,66
Washington,Maryland,27,13,58,66
Maryland,Washington,14,31,59,66
Washington,Maryland,35,10,69,60
Maryland,Washington,20,14,77,53
Washington,Maryland,21,17,61,69
Maryland,Washington,3,24,63,61
Washington,Maryland,20,20,60,67
Maryland,Washington,20,7,72,58
Washington,Maryland,20,14,65,59
Maryland,Washington,0,41,55,69
Washington,Maryland,20,20,66,67
Maryland,Washington,24,21,64,66
Washington,Maryland,17,17,66,62
Maryland,Washington,17,27,59,66
Washington,Maryland,31,14,64,68
Maryland,Washington,34,24,74,59
Washington,Maryland,7,24,62,67
Maryland,Washington,10,20,69,62
Washington,Maryland,3,20,67,56
Maryland,Washington,12,24,67,57
Washington,Maryland,6,13,67,58
Maryland,Washington,6,7,70,53
Washington,Maryland,27,17,61,65
Maryland,Washington,7,27,54,74
Washington,Maryland,24,17,69,53
Maryland,Washington,21,35,67,60
Washington,Maryland,17,13,54,79
Maryland,Washington,7,31,53,72
Washington,Maryland,21,23,64,67
Maryland,Washington,28,14,62,65
Washington,Maryland,34,3,64,61
Maryland,Washington,28,21,82,53
Washington,Maryland,7,20,70,64
Maryland,Washington,33,3,76,48
Washington,Maryland,14,10,63,71
Maryland,Washington,20,17,69,63
Washington,Maryland,7,17,62,69
Maryland,Washington,7,28,51,68
Washington,Maryland,21,16,61,69
Maryland,Washington,21,28,84,53
Washington,Maryland,10,16,58,71
Maryland,Washington,17,10,76,50
Washington,Maryland,24,20,64,64
Maryland,Washington,12,7,69,61
Washington,Maryland,17,3,62,66
Maryland,Washington,13,7,64,58
Washington,Maryland,14,17,62,64
Maryland,Washington,0,7,49,71
Washington,Maryland,13,10,73,62
Maryland,Washington,24,7,58,63
Washington,Maryland,21,10,77,56
Maryland,Washington,17,16,75,65
Washington,Maryland,10,16,65,61
Maryland,Washington,31,7,76,52
Washington,Maryland,24,16,67,62
Maryland,Washington,10,13,64,62
Washington,Maryland,17,14,59,76
Maryland,Washington,10,16,58,69
Washington,Maryland,21,31,59,68
Maryland,Washington,20,17,68,57
Washington,Maryland,13,28,61,64
Maryland,Washington,14,7,54,70
Washington,Maryland,10,6,68,68
Maryland,Washington,13,24,66,63
Washington,Maryland,21,34,60,70
Maryland,Washington,17,30,64,62
Washington,Maryland,24,0,74,55
Maryland,Washington,17,24,57,69
Washington,Maryland,20,20,63,64
Maryland,Washington,14,10,62,65
Washington,Maryland,16,0,70,56
Maryland,Washington,0,24,71,52
Washington,Maryland,38,6,78,53
Maryland,Washington,17,13,69,63
Washington,Maryland,31,24,69,60
Maryland,Washington,21,27,61,59
Washington,Maryland,7,24,58,60
Maryland,Washington,21,27,62,64
Washington,Maryland,13,24,70,59
Maryland,Washington,21,20,69,60
Washington,Maryland,20,14,71,61
Maryland,Washington,23,14,70,57
Washington,Maryland,27,7,64,59
Maryland,Washington,34,7,73,60
Washington,Maryland,38,7,63,65
Maryland,Washington,24,7,70,53
Washington,Maryland,17,13,71,57
Maryland,Washington,24,13,64,60
Washington,Maryland,10,3,69,55
Maryland,Washington,35,20,68,66
Washington,Maryland,31,24,56,68
Maryland,Washington,20,17,70,60
Washington,Maryland,20,24,63,65
Maryland,Washington,10,45,58,75
Washington,Maryland,20,14,63,63
Maryland,Washington,24,10,62,66
Washington,Maryland,14,24,58,70
Maryland,Washington,45,10,72,55
Washington,Maryland,21,21,66,61
Maryland,Washington,20,10,58,64
Washington,Maryland,21,0,67,58
Maryland,Washington,14,14,64,54
Washington,Maryland,24,17,62,63
Maryland,Washington,31,14,63,59
Washington,Maryland,27,10,70,60
Maryland,Washington,10,24,66,56
Washington,Maryland,10,24,66,64
Maryland,Washington,17,3,70,50
Washington,Maryland,30,17,62,67
Maryland,Washington,20,10,63,72
Washington,Maryland,24,21,70,62
Maryland,Washington,7,24,60,71
Washington,Maryland,7,20,68,63
Maryland,Washington,0,34,51,71
Washington,Maryland,16,34,65,64
Maryland,Washington,20,35,71,69
Washington,Maryland,14,7,65,57
Maryland,Washington,21,13,61,63
Washington,Maryland,10,14,73,61
Maryland,Washington,20,13,70,62
Washington,Maryland,10,24,68,61
Maryland,Washington,3,34,62,63
Washington,Maryland,20,28,67,65
Maryland,Washington,3,24,72,55
Washington,Maryland,21,17,60,62
Maryland,Washington,14,14,71,53
Washington,Maryland,27,35,67,66
Maryland,Washington,9,31,61,64
Washington,Maryland,16,13,64,70
Maryland,Washington,10,34,60,68
Washington,Maryland,27,28,64,63
Maryland,Washington,21,21,66,65
Washington,Maryland,17,3,60,62
Maryland,Washington,31,21,77,56
Washington,Maryland,17,17,69,53
Maryland,Washington,0,17,70,60
Washington,Maryland,24,9,71,57
Maryland,Washington,10,23,54,74
Washington,Maryland,17,12,65,59
Maryland,Washington,10,21,66,62
Washington,Maryland,24,31,74,60
Maryland,Washington,23,14,71,60
Washington,Maryland,6,27,60,64
Maryland,Washington,34,14,68,57
Washington,Maryland,17,31,69,59
Maryland,Washington,20,20,67,69
Washington,Maryland,14,24,64,67
Maryland,Washington,16,24,67,63
Washington,Maryland,21,13,60,72
Maryland,Washington,24,14,64,68
Washington,Maryland,31,17,68,59
Maryland,Washington,13,10,59,71
Washington,Maryland,13,10,58,71
Maryland,Washington,35,3,71,59
Washington,Maryland,10,17,55,71
Maryland,Washington,16,14,68,58
Washington,Maryland,20,20,63,66
Maryland,Washington,13,0,63,58
Washington,Maryland,23,14,67,57
Maryland,Washington,17,13,79,53
Washington,Maryland,14,13,66,67
Maryland,Washington,0,10,63,58
Washington,Maryland,7,28,66,56
Maryland,Washington,27,14,64,60
Washington,Maryland,27,21,76,58
Maryland,Washington,23,3,84,43
Washington,Maryland,16,24,71,60
Maryland,Washington,24,21,62,62
Washington,Maryland,16,24,68,61
Maryland,Washington,24,17,64,65
Washington,Maryland,23,20,64,63
Maryland,Washington,7,10,60,66
Washington,Maryland,20,31,59,66
Maryland,Washington,21,34,64,74
Washington,Maryland,24,14,66,54
Maryland,Washington,10,24,54,62
Washington,Maryland,17,10,68,64
Maryland,Washington,20,6,73,65
Washington,Maryland,13,14,59,66
Maryland,Washington,10,23,59,64
Washington,Maryland,30,0,66,60
Maryland,Washington,21,17,71,57
Washington,Maryland,21,14,56,64
Maryland,Washington,27,0,73,52
Washington,Maryland,21,3,78,47
Maryland,Washington,14,21,73,59
Washington,Maryland,21,6,62,63
Maryland,Washington,7,38,69,66
Washington,Maryland,0,31,60,68
Maryland,Washington,7,31,64,67
Washington,Maryland,17,14,68,64
Maryland,Washington,23,28,62,65
Washington,Maryland,24,10,65,53
Maryland,Washington,13,35,63,68
Washington,Maryland,3,21,60,61
Maryland,Washington,14,24,77,56
Washington,Maryland,14,17,59,62
Maryland,Washington,31,14,66,60
Washington,Maryland,24,14,59,77
Maryland,Washington,34,28,72,62
Washington,Maryland,21,14,70,57
Maryland,Washington,28,38,68,65
Washington,Maryland,21,28,64,60
Maryland,Washington,3,35,61,68
Washington,Maryland,17,21,63,67
Maryland,Washington,24,7,70,54
Washington,Maryland,13,14,59,66
Maryland,Washington,35,21,69,60
Washington,Maryland,10,17,62,61
Maryland,Washington,24,14,64,67
Washington,Maryland,21,14,65,63
Maryland,Washington,7,24,68,60
Washington,Maryland,3,0,63,67
Maryland,Washington,31,0,67,63
Washington,Maryland,14,3,68,60
Maryland,Washington,21,17,65,55
Washington,Maryland,28,28,67,55
Maryland,Washington,27,17,70,58
Washington,Maryland,7,31,61,64
Maryland,Washington,21,3,61,66
Washington,Maryland,27,3,77,53
Maryland,Washington,24,17,68,59
Washington,Maryland,21,13,68,52
Maryland,Washington,20,14,70,62
Washington,Maryland,13,0,77,49
Maryland,Washington,21,27,65,58
Washington,Maryland,7,17,62,58
Maryland,Washington,14,37,51,76
Washington,Maryland,28,7,56,76
Maryland,Washington,20,14,65,61
Washington,Maryland,7,23,57,62
Maryland,Washington,27,3,71,57
Washington,Maryland,24,34,69,65
Maryland,Washington,10,7,75,49
Washington,Maryland,27,6,59,61
Maryland,Washington,10,17,68,65
Washington,Maryland,28,17,67,53
Maryland,Washington,26,7,75,51
Washington,Maryland,30,10,69,57
Maryland,Washington,17,13,64,64
Washington,Maryland,31,20,72,67
Maryland,Washington,17,21,52,76
Washington,Maryland,35,24,63,64
Maryland,Washington,21,17,69,56
Washington,Maryland,37,17,69,57
Maryland,Washington,35,14,69,54
Washington,Maryland,20,0,66,56
Maryland,Washington,14,37,67,66
Washington,Maryland,31,10,61,62
Maryland,Washington,21,7,72,52
Washington,Maryland,10,20,58,65
Maryland,Washington,17,23,57,70
Washington,Maryland,7,28,67,61
Maryland,Washington,24,27,66,62
Washington,Maryland,10,6,57,75
Maryland,Washington,16,10,65,62
Washington,Maryland,7,13,62,68
Maryland,Washington,27,10,76,56
Washington,Maryland,14,7,56,72
Maryland,Washington,13,6,63,62
Washington,Maryland,20,21,64,62
Maryland,Washington,31,17,69,63
Washington,Maryland,13,10,57,73
Maryland,Washington,14,28,63,59
Washington,Maryland,28,13,71,53
Maryland,Washington,24,21,56,74
Washington,Maryland,30,7,78,43
Maryland,Washington,7,13,61,60
Washington,Maryland,27,10,65,54
Maryland,Washington,23,24,74,54
Washington,Maryland,35,3,69,51
Maryland,Washington,10,24,70,65
Washington,Maryland,27,31,66,62
Maryland,Washington,24,10,64,68
Washington,Maryland,20,28,57,64
Maryland,Washington,17,21,67,62
Washington,Maryland,20,10,60,65
Maryland,Washington,17,14,68,62
Washington,Maryland,34,21,75,60
Maryland,Washington,17,35,64,63
