team,opp,pts,opp_pts,plays,opp_plays
Texas A&M,Mississippi State,20,30,72,71
Mississippi State,Texas A&M,10,10,73,69
Texas A&M,Mississippi State,42,23,76,65
Mississippi State,Texas A&M,21,10,75,77
Texas A&M,Mississippi State,31,17,78,63
Mississippi State,Texas A&M,31,14,70,79
Texas A&M,Mississippi State,35,17,80,67
Mississippi State,Texas A&M,31,49,79,67
Texas A&M,Mississippi State,31,7,77,64
Mississippi State,Texas A&M,31,49,89,73
Texas A&M,Mississippi State,14,28,81,77
Mississippi State,Texas A&M,10,14,76,71
Texas A&M,Mississippi State,16,37,77,74
Mississippi State,Texas A&M,31,16,80,69
Texas A&M,Mississippi State,48,31,77,77
Mississippi State,Texas A&M,13,41,71,74
Texas A&M,Mississippi State,35,3,81,65
Mississippi State,Texas A&M,43,14,89,66
Texas A&M,Mississippi State,45,31,83,56
Mississippi State,Texas A&M,20,28,79,72
Texas A&M,Mississippi State,28,31,83,75
Mississippi State,Texas A&M,28,48,63,79
Texas A&M,Mississippi State,10,14,73,72
Mississippi State,Texas A&M,14,21,80,72
Texas A&M,Mississippi State,28,10,74,73
Mississippi State,Texas A&M,24,20,69,76
Texas A&M,Mississippi State,28,24,70,78
Mississippi State,Texas A&M,33,38,86,72
Texas A&M,Mississippi State,37,6,81,67
Mississippi State,Texas A&M,38,10,102,67
Texas A&M,Mississippi State,20,7,78,60
Mississippi State,Texas A&M,36,20,73,76
Texas A&M,Mississippi State,27,17,86,57
Mississippi State,Texas A&M,17,33,70,77
Texas A&M,Mississippi State,38,24,78,78
Mississippi State,Texas A&M,31,16,78,80
Texas A&M,Mississippi State,31,24,69,74
Mississippi State,Texas A&M,14,38,74,81
Texas A&M,Mississippi State,20,24,79,76
Mississippi State,Texas A&M,16,38,66,72
Texas A&M,Mississippi State,24,23,70,87
Mississippi State,Texas A&M,28,31,81,73
Texas A&M,Mississippi State,38,7,81,75
Mississippi State,Texas A&M,17,20,76,69
Texas A&M,Mississippi State,31,10,80,66
Mississippi State,Texas A&M,51,28,92,65
Texas A&M,Mississippi State,17,31,68,73
Mississippi State,Texas A&M,21,24,80,73
Texas A&M,Mississippi State,24,27,73,79
Mississippi State,Texas A&M,20,45,59,87
Texas A&M,Mississippi State,30,20,74,78
Mississippi State,Texas A&M,30,27,69,85
Texas A&M,Mississippi State,27,35,80,74
Mississippi State,Texas A&M,31,34,82,72
Texas A&M,Mississippi State,17,20,69,81
Mississippi State,Texas A&M,24,45,76,74
Texas A&M,Mississippi State,26,17,81,66
Mississippi State,Texas A&M,41,10,102,62
Texas A&M,Mississippi State,20,20,73,74
Mississippi State,Texas A&M,31,21,75,84
Texas A&M,Mississippi State,27,27,74,73
Mississippi State,Texas A&M,17,23,73,78
Texas A&M,Mississippi State,30,21,77,66
Mississippi State,Texas A&M,17,34,72,81
Texas A&M,Mississippi State,28,38,76,77
Mississippi State,Texas A&M,48,27,86,75
Texas A&M,Mississippi State,20,14,71,63
Mississippi State,Texas A&M,52,30,85,67
Texas A&M,Mississippi State,20,27,75,80
Mississippi State,Texas A&M,13,41,62,80
Texas A&M,Mississippi State,21,41,65,84
Mississippi State,Texas A&M,17,23,69,80
Texas A&M,Mississippi State,14,38,66,78
Mississippi State,Texas A&M,28,24,67,80
Texas A&M,Mississippi State,31,27,76,71
Mississippi State,Texas A&M,31,14,71,69
Texas A&M,Mississippi State,30,27,74,80
Mississippi State,Texas A&M,19,34,72,72
Texas A&M,Mississippi State,13,3,78,69
Mississippi State,Texas A&M,17,23,84,67
Texas A&M,Mississippi State,35,7,78,68
Mississippi State,Texas A&M,0,42,69,84
Texas A&M,Mississippi State,20,21,71,72
Mississippi State,Texas A&M,13,17,75,76
Texas A&M,Mississippi State,14,34,73,73
Mississippi State,Texas A&M,7,41,74,72
Texas A&M,Mississippi State,21,20,74,77
Mississippi State,Texas A&M,13,41,69,76
Texas A&M,Mississippi State,14,34,78,77
Mississippi State,Texas A&M,14,24,67,82
Texas A&M,Mississippi State,14,14,80,68
Mississippi State,Texas A&M,27,35,77,74
Texas A&M,Mississippi State,21,0,81,60
Mississippi State,Texas A&M,34,10,75,73
Texas A&M,Mississippi State,17,42,75,72
Mississippi State,Texas A&M,42,12,72,78
Texas A&M,Mississippi State,16,21,69,84
Mississippi State,Texas A&M,24,45,83,67
Texas A&M,Mississippi State,17,38,72,80
Mississippi State,Texas A&M,30,24,83,75
Texas A&M,Mississippi State,28,42,72,83
Mississippi State,Texas A&M,31,16,74,72
Texas A&M,Mississippi State,42,21,78,72
Mississippi State,Texas A&M,21,34,76,76
Texas A&M,Mississippi State,48,10,90,63
Mississippi State,Texas A&M,10,20,60,80
Texas A&M,Mississippi State,31,31,81,69
Mississippi State,Texas A&M,24,31,92,62
Texas A&M,Mississippi State,39,21,80,76
Mississippi State,Texas A&M,17,38,83,69
Texas A&M,Mississippi State,17,20,88,75
Mississippi State,Texas A&M,17,7,67,86
Texas A&M,Mississippi State,38,7,75,66
Mississippi State,Texas A&M,17,27,69,70
Texas A&M,Mississippi State,28,34,67,84
Mississippi State,Texas A&M,31,21,72,73
Texas A&M,Mississippi State,28,30,71,79
Mississippi State,Texas A&M,3,31,61,86
Texas A&M,Mississippi State,28,27,64,78
Mississippi State,Texas A&M,21,7,90,68
Texas A&M,Mississippi State,44,21,81,71
Mississippi State,Texas A&M,10,37,65,75
Texas A&M,Mississippi State,23,31,82,62
Mississippi State,Texas A&M,37,10,90,55
Texas A&M,Mississippi State,41,3,80,67
Mississippi State,Texas A&M,17,27,80,66
Texas A&M,Mississippi State,17,31,75,78
Mississippi State,Texas A&M,14,41,75,75
Texas A&M,Mississippi State,24,17,66,77
Mississippi State,Texas A&M,16,20,76,72
Texas A&M,Mississippi State,26,34,69,86
Mississippi State,Texas A&M,28,24,64,89
Texas A&M,Mississippi State,17,27,70,81
Mississippi State,Texas A&M,28,35,75,77
Texas A&M,Mississippi State,13,14,85,60
Mississippi State,Texas A&M,17,38,84,66
Texas A&M,Mississippi State,38,3,67,74
Mississippi State,Texas A&M,20,41,77,77
Texas A&M,Mississippi State,24,17,78,64
Mississippi State,Texas A&M,20,13,76,71
Texas A&M,Mississippi State,34,24,83,65
Mississippi State,Texas A&M,28,38,62,78
Texas A&M,Mississippi State,40,3,77,72
Mississippi State,Texas A&M,17,49,67,81
Texas A&M,Mississippi State,24,34,70,77
Mississippi State,Texas A&M,21,49,72,79
Texas A&M,Mississippi State,31,41,75,77
Mississippi State,Texas A&M,27,34,72,77
Texas A&M,Mississippi State,23,0,80,65
Mississippi State,Texas A&M,17,30,69,77
Texas A&M,Mississippi State,26,20,73,74
Mississippi State,Texas A&M,3,34,65,79
Texas A&M,Mississippi State,42,14,84,63
Mississippi State,Texas A&M,17,42,89,60
Texas A&M,Mississippi State,30,21,81,69
Mississippi State,Texas A&M,10,26,72,73
Texas A&M,Mississippi State,24,13,73,78
Mississippi State,Texas A&M,30,24,83,74
Texas A&M,Mississippi State,37,21,68,81
Mississippi State,Texas A&M,21,34,73,76
Texas A&M,Mississippi State,23,20,78,76
Mississippi State,Texas A&M,28,35,83,75
Texas A&M,Mississippi State,45,17,64,81
Mississippi State,Texas A&M,24,34,61,84
Texas A&M,Mississippi State,35,27,64,89
Mississippi State,Texas A&M,13,20,71,74
Texas A&M,Mississippi State,17,14,68,75
Mississippi State,Texas A&M,38,17,75,75
Texas A&M,Mississippi State,31,13,68,80
Mississippi State,Texas A&M,31,24,69,77
Texas A&M,Mississippi State,24,21,76,64
Mississippi State,Texas A&M,24,10,77,71
Texas A&M,Mississippi State,20,27,75,81
Mississippi State,Texas A&M,17,24,73,74
Texas A&M,Mississippi State,37,21,81,57
Mississippi State,Texas A&M,44,31,83,73
Texas A&M,Mississippi State,35,34,84,77
Mississippi State,Texas A&M,59,24,95,67
Texas A&M,Mississippi State,14,24,77,66
Mississippi State,Texas A&M,38,31,73,86
Texas A&M,Mississippi State,31,28,69,79
Mississippi State,Texas A&M,21,13,76,78
Texas A&M,Mississippi State,20,9,67,84
Mississippi State,Texas A&M,14,52,75,74
Texas A&M,Mississippi State,34,24,66,77
Mississippi State,Texas A&M,10,38,72,73
Texas A&M,Mississippi State,23,31,71,77
Mississippi State,Texas A&M,20,28,79,71
Texas A&M,Mississippi State,21,3,85,56
Mississippi State,Texas A&M,28,24,73,77
Texas A&M,Mississippi State,49,24,77,75
Mississippi State,Texas A&M,10,20,75,69
Texas A&M,Mississippi State,34,24,85,63
Mississippi State,Texas A&M,6,27,68,76
Texas A&M,Mississippi State,21,31,80,77
Mississippi State,Texas A&M,37,31,83,80
Texas A&M,Mississippi State,27,28,85,67
Mississippi State,Texas A&M,31,14,82,82
Texas A&M,Mississippi State,38,20,77,66
Mississippi State,Texas A&M,20,31,71,74
Texas A&M,Mississippi State,20,41,72,77
Mississippi State,Texas A&M,14,45,68,79
Texas A&M,Mississippi State,27,10,65,82
Mississippi State,Texas A&M,37,14,82,64
Texas A&M,Mississippi State,28,41,72,88
Mississippi State,Texas A&M,23,16,84,72
Texas A&M,Mississippi State,31,24,71,81
Mississippi State,Texas A&M,27,24,78,76
Texas A&M,Mississippi State,24,13,72,72
Mississippi State,Texas A&M,7,37,69,80
Texas A&M,Mississippi State,27,23,79,70
Mississippi State,Texas A&M,6,37,69,83
Texas A&M,Mississippi State,30,13,73,70
Mississippi State,Texas A&M,0,24,65,76
Texas A&M,Mississippi State,34,20,78,74
Mississippi State,Texas A&M,27,17,77,70
Texas A&M,Mississippi State,26,13,71,74
Mississippi State,Texas A&M,6,34,66,78
Texas A&M,Mississippi State,20,16,76,75
Mississippi State,Texas A&M,33,7,97,68
Texas A&M,Mississippi State,41,20,72,77
Mississippi State,Texas A&M,27,16,79,69
Texas A&M,Mississippi State,21,31,79,78
Mississippi State,Texas A&M,7,14,77,71
Texas A&M,Mississippi State,34,17,81,59
Mississippi State,Texas A&M,14,24,69,76
Texas A&M,Mississippi State,37,38,76,70
Mississippi State,Texas A&M,24,28,70,78
Texas A&M,Mississippi State,35,35,84,69
Mississippi State,Texas A&M,10,35,63,83
Texas A&M,Mississippi State,41,31,81,81
Mississippi State,Texas A&M,34,7,88,68
Texas A&M,Mississippi State,10,23,79,73
Mississippi State,Texas A&M,45,17,79,68
Texas A&M,Mississippi State,21,20,68,76
Mississippi State,Texas A&M,35,34,82,71
Texas A&M,Mississippi State,13,13,80,67
Mississippi State,Texas A&M,31,34,75,80
Texas A&M,Mississippi State,30,31,80,77
Mississippi State,Texas A&M,16,31,78,75
Texas A&M,Mississippi State,31,24,69,77
Mississippi State,Texas A&M,34,21,74,75
Texas A&M,Mississippi State,10,20,77,68
Mississippi State,Texas A&M,16,17,70,74
Texas A&M,Mississippi State,17,13,67,81
Mississippi State,Texas A&M,41,21,79,72
Texas A&M,Mississippi State,24,24,67,85
Mississippi State,Texas A&M,24,34,69,80
Texas A&M,Mississippi State,34,24,76,72
Mississippi State,Texas A&M,14,27,74,67
Texas A&M,Mississippi State,41,31,73,77
Mississippi State,Texas A&M,24,28,89,64
Texas A&M,Mississippi State,6,17,72,73
Mississippi State,Texas A&M,41,13,80,62
Texas A&M,Mississippi State,31,27,74,77
Mississippi State,Texas A&M,37,14,82,72
Texas A&M,Mississippi State,41,10,83,63
