team,opp,pts,opp_pts,plays,opp_plays
UConn,Florida International,24,7,61,68
Florida International,UConn,31,0,68,63
UConn,Florida International,24,13,72,66
Florida International,UConn,3,20,66,64
UConn,Florida International,45,24,79,67
Florida International,UConn,17,24,64,70
UConn,Florida International,42,21,78,61
Florida International,UConn,10,33,56,77
UConn,Florida International,17,38,68,75
Florida International,UConn,34,14,73,63
UConn,Florida International,23,14,66,62
Florida International,UConn,14,13,68,70
UConn,Florida International,21,6,58,74
Florida International,UConn,13,35,76,61
UConn,Florida International,34,0,92,51
Florida International,UConn,14,21,72,61
UConn,Florida International,27,17,88,60
Florida International,UConn,7,30,66,77
UConn,Florida International,38,24,70,63
Florida International,UConn,20,13,69,70
UConn,Florida International,35,21,83,57
Florida International,UConn,31,27,69,71
UConn,Florida International,21,27,76,73
Florida International,UConn,10,31,64,65
UConn,Florida International,35,16,65,79
Florida International,UConn,20,13,61,70
UConn,Florida International,31,14,67,63
Florida International,UConn,37,10,78,67
UConn,Florida International,31,24,69,71
Florida International,UConn,3,35,69,73
UConn,Florida International,31,6,75,61
Florida International,UConn,21,10,64,69
UConn,Florida International,20,3,73,61
Florida International,UConn,17,14,63,81
UConn,Florida International,34,17,71,75
Florida International,UConn,3,34,61,76
UConn,Florida International,41,10,77,59
Florida International,UConn,34,7,72,65
UConn,Florida International,41,20,80,62
Florida International,UConn,24,24,73,67
UConn,Florida International,24,41,85,67
Florida International,UConn,3,37,71,72
UConn,Florida International,10,13,69,76
Florida International,UConn,24,17,77,63
UConn,Florida International,31,28,65,69
Florida International,UConn,14,34,69,65
UConn,Florida International,27,21,81,61
Florida International,UConn,17,52,65,77
UConn,Florida International,24,27,71,74
Florida International,UConn,14,34,73,70
UConn,Florida International,42,10,71,67
Florida International,UConn,21,13,69,73
UConn,Florida International,42,14,64,67
Florida International,UConn,3,30,61,81
UConn,Florida International,24,20,73,70
Florida International,UConn,17,24,70,65
UConn,Florida International,17,28,69,65
Florida International,UConn,21,20,70,66
UConn,Florida International,28,17,65,87
Florida International,UConn,14,31,53,85
UConn,Florida International,20,28,68,76
Florida International,UConn,20,24,64,82
UConn,Florida International,48,7,70,62
Florida International,UConn,27,14,74,71
UConn,Florida International,22,7,71,68
Florida International,UConn,7,31,64,71
UConn,Florida International,24,24,61,71
Florida International,UConn,13,42,62,76
UConn,Florida International,9,21,76,67
Florida International,UConn,48,21,94,57
UConn,Florida International,37,7,72,70
Florida International,UConn,27,3,78,51
UConn,Florida International,37,0,74,61
Florida International,UConn,16,31,73,67
UConn,Florida International,30,17,70,68
Florida International,UConn,10,17,65,66
UConn,Florida International,23,28,72,66
Florida International,UConn,7,23,67,77
UConn,Florida International,35,7,68,67
Florida International,UConn,27,20,78,71
UConn,Florida International,36,3,87,53
Florida International,UConn,23,30,74,62
UConn,Florida International,27,24,65,76
Florida International,UConn,21,48,67,72
UConn,Florida International,17,31,70,76
Florida International,UConn,10,20,65,73
UConn,Florida International,31,24,63,81
Florida International,UConn,7,24,69,64
UConn,Florida International,52,13,61,77
Florida International,UConn,16,38,65,74
UConn,Florida International,27,28,74,61
Florida International,UConn,10,34,68,76
UConn,Florida International,42,10,71,68
Florida International,UConn,23,38,75,62
UConn,Florida International,24,14,81,57
Florida International,UConn,24,10,72,78
UConn,Florida International,45,7,90,51
Florida International,UConn,21,20,58,81
UConn,Florida International,37,17,83,62
Florida International,UConn,20,41,76,65
UConn,Florida International,44,17,77,62
Florida International,UConn,3,31,64,69
UConn,Florida International,31,7,72,67
Florida International,UConn,17,35,66,68
UConn,Florida International,23,20,76,75
Florida International,UConn,14,17,82,59
UConn,Florida International,31,6,75,55
Florida International,UConn,16,21,78,57
UConn,Florida International,34,10,66,66
Florida International,UConn,3,41,76,73
UConn,Florida International,14,21,63,72
Florida International,UConn,35,24,64,70
UConn,Florida International,21,14,62,70
Florida International,UConn,17,14,67,67
UConn,Florida International,10,28,60,76
Florida International,UConn,23,23,66,75
UConn,Florida International,27,21,84,53
Florida International,UConn,16,30,65,68
UConn,Florida International,41,20,74,67
Florida International,UConn,24,42,71,72
UConn,Florida International,21,14,71,63
Florida International,UConn,0,30,73,73
UConn,Florida International,27,14,75,61
Florida International,UConn,14,44,65,74
UConn,Florida International,44,6,76,61
Florida International,UConn,21,28,67,70
UConn,Florida International,17,20,80,59
Florida International,UConn,16,31,73,71
UConn,Florida International,27,7,82,61
Florida International,UConn,3,23,66,78
UConn,Florida International,16,10,74,71
Florida International,UConn,21,35,70,71
UConn,Florida International,24,7,72,66
Florida International,UConn,31,19,69,76
UConn,Florida International,36,7,73,69
Florida International,UConn,13,23,64,69
UConn,Florida International,30,17,78,73
Florida International,UConn,0,55,53,85
UConn,Florida International,30,27,61,77
Florida International,UConn,20,24,61,69
UConn,Florida International,17,35,76,68
Florida International,UConn,13,20,67,69
UConn,Florida International,27,17,69,80
Florida International,UConn,17,24,66,64
UConn,Florida International,28,13,79,64
Florida International,UConn,31,34,84,69
UConn,Florida International,23,10,80,63
Florida International,UConn,6,42,72,69
UConn,Florida International,31,17,75,63
Florida International,UConn,3,27,56,65
UConn,Florida International,38,16,66,77
Florida International,UConn,17,24,83,63
UConn,Florida International,20,14,62,68
Florida International,UConn,20,28,75,68
UConn,Florida International,34,10,91,52
Florida International,UConn,3,38,66,69
UConn,Florida International,28,17,65,74
Florida International,UConn,34,31,76,67
UConn,Florida International,21,20,63,80
Florida International,UConn,23,38,80,68
UConn,Florida International,41,14,76,66
Florida International,UConn,13,21,78,61
UConn,Florida International,13,38,75,74
Florida International,UConn,24,31,70,67
UConn,Florida International,35,7,66,74
Florida International,UConn,13,45,80,68
UConn,Florida International,48,21,75,62
Florida International,UConn,27,28,71,58
UConn,Florida International,27,10,79,61
Florida International,UConn,34,24,80,71
UConn,Florida International,23,13,84,58
Florida International,UConn,20,17,53,79
UConn,Florida International,24,17,58,80
Florida International,UConn,35,16,58,80
