sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Auburn,Georgia,Jackson Arnold,QB,26,15,149.2,0,0,3,0,0.0,0,0,0,0.0,0
0,A,Auburn,Georgia,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,4,11.2,0,0,0,0.0,0
0,A,Auburn,Georgia,Jackson Arnold,Rusher,0,0,0.0,0,0,0,12,38.1,0,0,0,0.0,0
0,A,Auburn,Georgia,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,12,42.3,0,0,0,0.0,0
0,A,Auburn,Georgia,Damari Alston,Rusher,0,0,0.0,0,0,0,6,27.5,0,0,0,0.0,0
0,A,Auburn,Georgia,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.1,0
0,A,Auburn,Georgia,Bryce Cain,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,2.0,0
0,A,Auburn,Georgia,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,23.4,0
0,A,Auburn,Georgia,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,23.3,0
0,A,Auburn,Georgia,Preston Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Auburn,Georgia,Perry Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Auburn,Georgia,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,2.1,0
0,A,Auburn,Georgia,Ryan Ghea,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.2,0
0,A,Auburn,Georgia,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,65.0,0
0,A,Georgia,Auburn,Gunner Stockton,QB,22,15,189.7,1,0,1,0,0.0,0,0,0,0.0,0
0,A,Georgia,Auburn,Cash Jones,Rusher,0,0,0.0,0,0,0,1,2.6,0,0,0,0.0,0
0,A,Georgia,Auburn,Nate Frazier,Rusher,0,0,0.0,0,0,0,8,25.8,0,0,0,0.0,0
0,A,Georgia,Auburn,Joshua McCray,Rusher,0,0,0.0,0,0,0,7,-0.5,0,0,0,0.0,0
0,A,Georgia,Auburn,Other RB,Rusher,0,0,0.0,0,0,0,4,23.6,0,0,0,0.0,0
0,A,Georgia,Auburn,Gunner Stockton,Rusher,0,0,0.0,0,0,0,3,13.9,0,0,0,0.0,0
0,A,Georgia,Auburn,Chauncey Bowens,Rusher,0,0,0.0,0,0,0,10,47.3,1,0,0,0.0,0
0,A,Georgia,Auburn,Dwight Phillips Jr.,Rusher,0,0,0.0,0,0,0,1,0.2,0,0,0,0.0,0
0,A,Georgia,Auburn,London Humphreys,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,38.3,0
0,A,Georgia,Auburn,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.2,0
0,A,Georgia,Auburn,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,1.5,0
0,A,Georgia,Auburn,Talyn Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.9,0
0,A,Georgia,Auburn,Oscar Delp,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.7,0
0,A,Georgia,Auburn,Lawson Luckie,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,23.2,0
0,A,Georgia,Auburn,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,24.7,1
0,A,Georgia,Auburn,Sacovie White,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,29.6,0
0,A,Georgia,Auburn,Dillon Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.6,0
1,B,Georgia,Auburn,Gunner Stockton,QB,17,15,157.6,0,0,1,0,0.0,0,0,0,0.0,0
1,B,Georgia,Auburn,Gunner Stockton,Rusher,0,0,0.0,0,0,0,5,17.2,1,0,0,0.0,0
1,B,Georgia,Auburn,Chauncey Bowens,Rusher,0,0,0.0,0,0,0,12,76.5,1,0,0,0.0,0
1,B,Georgia,Auburn,Nate Frazier,Rusher,0,0,0.0,0,0,0,8,35.4,0,0,0,0.0,0
1,B,Georgia,Auburn,Dwight Phillips Jr.,Rusher,0,0,0.0,0,0,0,4,16.3,0,0,0,0.0,0
1,B,Georgia,Auburn,Joshua McCray,Rusher,0,0,0.0,0,0,0,5,26.1,1,0,0,0.0,0
1,B,Georgia,Auburn,Cash Jones,Rusher,0,0,0.0,0,0,0,1,6.6,0,0,0,0.0,0
1,B,Georgia,Auburn,Other RB,Rusher,0,0,0.0,0,0,0,1,17.9,1,0,0,0.0,0
1,B,Georgia,Auburn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,70.4,0
1,B,Georgia,Auburn,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,22.4,0
1,B,Georgia,Auburn,London Humphreys,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,16.3,0
1,B,Georgia,Auburn,Lawson Luckie,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,14.7,0
1,B,Georgia,Auburn,Talyn Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.0,0
1,B,Georgia,Auburn,Sacovie White,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,22.0,0
1,B,Georgia,Auburn,Dillon Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.7,0
1,B,Auburn,Georgia,Jackson Arnold,QB,28,17,170.8,0,0,5,0,0.0,0,0,0,0.0,0
1,B,Auburn,Georgia,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,12,55.5,1,0,0,0.0,0
1,B,Auburn,Georgia,Jackson Arnold,Rusher,0,0,0.0,0,0,0,7,21.3,0,0,0,0.0,0
1,B,Auburn,Georgia,Damari Alston,Rusher,0,0,0.0,0,0,0,10,26.8,0,0,0,0.0,0
1,B,Auburn,Georgia,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,3,8.5,0,0,0,0.0,0
1,B,Auburn,Georgia,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,19.1,0
1,B,Auburn,Georgia,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,49.7,0
1,B,Auburn,Georgia,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,73.2,0
1,B,Auburn,Georgia,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
1,B,Auburn,Georgia,Ryan Ghea,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,3.8,0
1,B,Auburn,Georgia,Preston Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,4.6,0
1,B,Auburn,Georgia,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,20.5,0
1,B,Auburn,Georgia,Perry Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
2,A,Auburn,Georgia,Jackson Arnold,QB,27,19,201.9,0,0,2,0,0.0,0,0,0,0.0,0
2,A,Auburn,Georgia,Damari Alston,Rusher,0,0,0.0,0,0,0,8,26.4,1,0,0,0.0,0
2,A,Auburn,Georgia,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,16,56.8,1,0,0,0.0,0
2,A,Auburn,Georgia,Durell Robinson,Rusher,0,0,0.0,0,0,0,1,13.7,0,0,0,0.0,0
2,A,Auburn,Georgia,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,4,26.5,0,0,0,0.0,0
2,A,Auburn,Georgia,Jackson Arnold,Rusher,0,0,0.0,0,0,0,6,15.2,0,0,0,0.0,0
2,A,Auburn,Georgia,Cam Coleman,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,45.9,0
2,A,Auburn,Georgia,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,44.6,0
2,A,Auburn,Georgia,Horatio Fields,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.8,0
2,A,Auburn,Georgia,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,32.4,0
2,A,Auburn,Georgia,Bryce Cain,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
2,A,Auburn,Georgia,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,57.2,0
2,A,Auburn,Georgia,Perry Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.0,0
2,A,Georgia,Auburn,Gunner Stockton,QB,18,15,113.2,0,0,2,0,0.0,0,0,0,0.0,0
2,A,Georgia,Auburn,Dwight Phillips Jr.,Rusher,0,0,0.0,0,0,0,3,20.4,0,0,0,0.0,0
2,A,Georgia,Auburn,Gunner Stockton,Rusher,0,0,0.0,0,0,0,6,14.5,0,0,0,0.0,0
2,A,Georgia,Auburn,Cash Jones,Rusher,0,0,0.0,0,0,0,2,-3.6,0,0,0,0.0,0
2,A,Georgia,Auburn,Chauncey Bowens,Rusher,0,0,0.0,0,0,0,6,39.3,0,0,0,0.0,0
2,A,Georgia,Auburn,Nate Frazier,Rusher,0,0,0.0,0,0,0,9,39.2,0,0,0,0.0,0
2,A,Georgia,Auburn,Joshua McCray,Rusher,0,0,0.0,0,0,0,6,41.2,1,0,0,0.0,0
2,A,Georgia,Auburn,Other RB,Rusher,0,0,0.0,0,0,0,2,20.1,1,0,0,0.0,0
2,A,Georgia,Auburn,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,23.5,0
2,A,Georgia,Auburn,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,18.3,0
2,A,Georgia,Auburn,London Humphreys,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.1,0
2,A,Georgia,Auburn,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.8,0
2,A,Georgia,Auburn,Dillon Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,19.3,0
2,A,Georgia,Auburn,Oscar Delp,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.9,0
2,A,Georgia,Auburn,Talyn Taylor,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
2,A,Georgia,Auburn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.3,0
3,B,Georgia,Auburn,Gunner Stockton,QB,23,15,146.8,1,0,1,0,0.0,0,0,0,0.0,0
3,B,Georgia,Auburn,Chauncey Bowens,Rusher,0,0,0.0,0,0,0,5,5.2,0,0,0,0.0,0
3,B,Georgia,Auburn,Nate Frazier,Rusher,0,0,0.0,0,0,0,12,29.4,0,0,0,0.0,0
3,B,Georgia,Auburn,Other RB,Rusher,0,0,0.0,0,0,0,4,2.5,0,0,0,0.0,0
3,B,Georgia,Auburn,Joshua McCray,Rusher,0,0,0.0,0,0,0,8,18.3,0,0,0,0.0,0
3,B,Georgia,Auburn,Gunner Stockton,Rusher,0,0,0.0,0,0,0,9,56.1,1,0,0,0.0,0
3,B,Georgia,Auburn,Dwight Phillips Jr.,Rusher,0,0,0.0,0,0,0,1,9.2,0,0,0,0.0,0
3,B,Georgia,Auburn,Colbie Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,15.0,0
3,B,Georgia,Auburn,Dillon Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,27.9,0
3,B,Georgia,Auburn,Zachariah Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,20.9,0
3,B,Georgia,Auburn,London Humphreys,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,18.8,0
3,B,Georgia,Auburn,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,10.4,0
3,B,Georgia,Auburn,Noah Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,10.0,0
3,B,Georgia,Auburn,Sacovie White,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,43.8,1
3,B,Georgia,Auburn,Lawson Luckie,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
3,B,Auburn,Georgia,Jackson Arnold,QB,18,15,126.0,0,0,5,0,0.0,0,0,0,0.0,0
3,B,Auburn,Georgia,Jeremiah Cobb,Rusher,0,0,0.0,0,0,0,12,48.7,0,0,0,0.0,0
3,B,Auburn,Georgia,Jackson Arnold,Rusher,0,0,0.0,0,0,0,7,38.2,0,0,0,0.0,0
3,B,Auburn,Georgia,Omar Mabson Ii,Rusher,0,0,0.0,0,0,0,4,-5.0,0,0,0,0.0,0
3,B,Auburn,Georgia,Damari Alston,Rusher,0,0,0.0,0,0,0,7,20.4,1,0,0,0.0,0
3,B,Auburn,Georgia,Brandon Frazier,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,5.4,0
3,B,Auburn,Georgia,Malcolm Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,29.5,0
3,B,Auburn,Georgia,Eric Singleton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,46.3,0
