sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Florida Atlantic,UAB,Caden Veltkamp,QB,40,30,210.1,0,1,7,0,0.0,0,0,0,0.0,0
0,A,Florida Atlantic,UAB,Gemari Sands,Rusher,0,0,0.0,0,0,0,11,41.5,0,0,0,0.0,0
0,A,Florida Atlantic,UAB,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,10,34.0,0,0,0,0.0,0
0,A,Florida Atlantic,UAB,Kaden Shields-Dutton,Rusher,0,0,0.0,0,0,0,1,2.2,0,0,0,0.0,0
0,A,Florida Atlantic,UAB,Other RB,Rusher,0,0,0.0,0,0,0,1,4.2,0,0,0,0.0,0
0,A,Florida Atlantic,UAB,Xavier Terrell,Rusher,0,0,0.0,0,0,0,9,8.0,0,0,0,0.0,0
0,A,Florida Atlantic,UAB,Michael Kirch,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,32.9,0
0,A,Florida Atlantic,UAB,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,11,12,69.9,0
0,A,Florida Atlantic,UAB,Asaad Waseem,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,20.8,0
0,A,Florida Atlantic,UAB,Dom Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,37.3,0
0,A,Florida Atlantic,UAB,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,21.0,0
0,A,Florida Atlantic,UAB,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,Florida Atlantic,UAB,Quincy Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.4,0
0,A,Florida Atlantic,UAB,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.0,0
0,A,Florida Atlantic,UAB,Sean Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.7,0
0,A,UAB,Florida Atlantic,Jalen Kitna,QB,32,22,267.4,0,0,5,0,0.0,0,0,0,0.0,0
0,A,UAB,Florida Atlantic,Jevon Jackson,Rusher,0,0,0.0,0,0,0,12,63.0,2,0,0,0.0,0
0,A,UAB,Florida Atlantic,Isaiah Jacobs,Rusher,0,0,0.0,0,0,0,11,42.1,1,0,0,0.0,0
0,A,UAB,Florida Atlantic,Solomon Beebe,Rusher,0,0,0.0,0,0,0,6,45.7,1,0,0,0.0,0
0,A,UAB,Florida Atlantic,Jalen Kitna,Rusher,0,0,0.0,0,0,0,3,8.5,0,0,0,0.0,0
0,A,UAB,Florida Atlantic,Nate Rogers,Rusher,0,0,0.0,0,0,0,8,65.9,1,0,0,0.0,0
0,A,UAB,Florida Atlantic,Other RB,Rusher,0,0,0.0,0,0,0,1,14.5,0,0,0,0.0,0
0,A,UAB,Florida Atlantic,J.C. Sivley,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,31.1,0
0,A,UAB,Florida Atlantic,Kaleb Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.0,0
0,A,UAB,Florida Atlantic,BJ Hawkins Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,21.4,0
0,A,UAB,Florida Atlantic,Corri Milliner,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,61.6,0
0,A,UAB,Florida Atlantic,Evan McCray,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,15.7,0
0,A,UAB,Florida Atlantic,Xavier Daisy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,16.4,0
0,A,UAB,Florida Atlantic,Iverson Hooks,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,76.0,0
0,A,UAB,Florida Atlantic,AJ Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,UAB,Florida Atlantic,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,39.2,0
0,A,UAB,Florida Atlantic,Elijah Lagg,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,UAB,Florida Atlantic,Jalen Kitna,QB,47,32,360.9,1,0,12,0,0.0,0,0,0,0.0,0
1,B,UAB,Florida Atlantic,Jevon Jackson,Rusher,0,0,0.0,0,0,0,23,87.8,0,0,0,0.0,0
