sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Michigan State,UCLA,Aidan Chiles,QB,30,21,176.7,0,0,9,0,0.0,0,0,0,0.0,0
0,A,Michigan State,UCLA,Brandon Tullis,Rusher,0,0,0.0,0,0,0,7,2.7,0,0,0,0.0,0
0,A,Michigan State,UCLA,Makhi Frazier,Rusher,0,0,0.0,0,0,0,11,71.2,0,0,0,0.0,0
0,A,Michigan State,UCLA,Other RB,Rusher,0,0,0.0,0,0,0,6,37.9,1,0,0,0.0,0
0,A,Michigan State,UCLA,Elijah Tau-Tolliver,Rusher,0,0,0.0,0,0,0,2,32.1,0,0,0,0.0,0
0,A,Michigan State,UCLA,Aidan Chiles,Rusher,0,0,0.0,0,0,0,3,5.6,0,0,0,0.0,0
0,A,Michigan State,UCLA,Jack Velling,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,20.7,0
0,A,Michigan State,UCLA,Omari Kelly,Receiver,0,0,0.0,0,0,0,0,0.0,0,9,10,98.1,0
0,A,Michigan State,UCLA,Jayden Savoury,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,Michigan State,UCLA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,22.0,0
0,A,Michigan State,UCLA,Chrishon Mccray,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.4,0
0,A,Michigan State,UCLA,Nick Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,11.7,0
0,A,Michigan State,UCLA,Michael Masunas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.8,0
0,A,UCLA,Michigan State,Nico Iamaleava,QB,17,13,150.2,0,0,7,0,0.0,0,0,0,0.0,0
0,A,UCLA,Michigan State,Nico Iamaleava,Rusher,0,0,0.0,0,0,0,8,44.6,1,0,0,0.0,0
0,A,UCLA,Michigan State,Jaivian Thomas,Rusher,0,0,0.0,0,0,0,9,42.2,0,0,0,0.0,0
0,A,UCLA,Michigan State,Anthony Woods,Rusher,0,0,0.0,0,0,0,4,22.4,1,0,0,0.0,0
0,A,UCLA,Michigan State,Jalen Berger,Rusher,0,0,0.0,0,0,0,4,16.8,0,0,0,0.0,0
0,A,UCLA,Michigan State,Rico Flores,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.7,0
0,A,UCLA,Michigan State,Kwazi Gilmer,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,87.1,0
