sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Minnesota,Purdue,Drake Lindsey,QB,22,13,137.8,0,0,6,0,0.0,0,0,0,0.0,0
16,A,Minnesota,Purdue,Fame Ijeboi,Rusher,0,0,0.0,0,0,0,17,92.7,1,0,0,0.0,0
16,A,Minnesota,Purdue,A.J. Turner,Rusher,0,0,0.0,0,0,0,6,42.2,1,0,0,0.0,0
16,A,Minnesota,Purdue,Cameron Davis,Rusher,0,0,0.0,0,0,0,10,66.1,1,0,0,0.0,0
16,A,Minnesota,Purdue,Darius Taylor,Rusher,0,0,0.0,0,0,0,17,92.4,1,0,0,0.0,0
16,A,Minnesota,Purdue,Lemeke Brockington,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,17.9,0
16,A,Minnesota,Purdue,Frank Bierman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
16,A,Minnesota,Purdue,Drew Biber,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,10.9,0
16,A,Minnesota,Purdue,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Minnesota,Purdue,Logan Loya,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,37.6,0
16,A,Minnesota,Purdue,Javon Tracy,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,30.8,0
16,A,Minnesota,Purdue,Jalen Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,23.1,0
16,A,Minnesota,Purdue,Jameson Geers,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,17.6,0
16,A,Purdue,Minnesota,Ryan Browne,QB,27,17,196.6,1,0,5,0,0.0,0,0,0,0.0,0
16,A,Purdue,Minnesota,Devin Mockobee,Rusher,0,0,0.0,0,0,0,12,51.8,1,0,0,0.0,0
16,A,Purdue,Minnesota,Malachi Thomas,Rusher,0,0,0.0,0,0,0,3,10.4,1,0,0,0.0,0
16,A,Purdue,Minnesota,Ryan Browne,Rusher,0,0,0.0,0,0,0,4,15.8,0,0,0,0.0,0
16,A,Purdue,Minnesota,Antonio Harris,Rusher,0,0,0.0,0,0,0,2,18.8,0,0,0,0.0,0
16,A,Purdue,Minnesota,Malachi Singleton,Rusher,0,0,0.0,0,0,0,1,1.7,0,0,0,0.0,0
16,A,Purdue,Minnesota,Corey Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.5,0
16,A,Purdue,Minnesota,E.J. Horton,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,71.2,1
16,A,Purdue,Minnesota,Michael Jackson III,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,41.5,0
16,A,Purdue,Minnesota,Jesse Watson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Purdue,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,46.1,0
16,A,Purdue,Minnesota,Arhmad Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
16,A,Purdue,Minnesota,George Burhenn,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
16,A,Purdue,Minnesota,Nitro Tuggle,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,25.3,0
16,A,Purdue,Minnesota,Christian Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.9,0
17,B,Purdue,Minnesota,Ryan Browne,QB,32,25,280.7,2,0,4,0,0.0,0,0,0,0.0,0
17,B,Purdue,Minnesota,Malachi Thomas,Rusher,0,0,0.0,0,0,0,5,31.3,2,0,0,0.0,0
17,B,Purdue,Minnesota,Ryan Browne,Rusher,0,0,0.0,0,0,0,10,28.7,0,0,0,0.0,0
17,B,Purdue,Minnesota,Devin Mockobee,Rusher,0,0,0.0,0,0,0,17,78.2,0,0,0,0.0,0
17,B,Purdue,Minnesota,Antonio Harris,Rusher,0,0,0.0,0,0,0,1,3.7,0,0,0,0.0,0
17,B,Purdue,Minnesota,Malachi Singleton,Rusher,0,0,0.0,0,0,0,1,-3.9,0,0,0,0.0,0
17,B,Purdue,Minnesota,Jaheim Merriweather,Rusher,0,0,0.0,0,0,0,1,0.1,1,0,0,0.0,0
17,B,Purdue,Minnesota,Corey Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Purdue,Minnesota,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,64.4,0
17,B,Purdue,Minnesota,Arhmad Branch,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,67.9,0
17,B,Purdue,Minnesota,Christian Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.0,0
17,B,Purdue,Minnesota,Jesse Watson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,27.1,1
17,B,Purdue,Minnesota,Nitro Tuggle,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,50.9,0
17,B,Purdue,Minnesota,E.J. Horton,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,16.4,0
