sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Oklahoma State,Houston,Zane Flores,QB,31,22,224.1,1,0,7,0,0.0,0,0,0,0.0,0
32,A,Oklahoma State,Houston,Freddie Brock,Rusher,0,0,0.0,0,0,0,3,8.4,0,0,0,0.0,0
32,A,Oklahoma State,Houston,Zane Flores,Rusher,0,0,0.0,0,0,0,3,6.2,0,0,0,0.0,0
32,A,Oklahoma State,Houston,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,4,4.5,0,0,0,0.0,0
32,A,Oklahoma State,Houston,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,7,6.4,0,0,0,0.0,0
32,A,Oklahoma State,Houston,Trenten Howland,Rusher,0,0,0.0,0,0,0,7,27.5,0,0,0,0.0,0
32,A,Oklahoma State,Houston,Hauss Hejny,Rusher,0,0,0.0,0,0,0,4,14.7,0,0,0,0.0,0
32,A,Oklahoma State,Houston,Kalib Hicks,Rusher,0,0,0.0,0,0,0,6,32.2,1,0,0,0.0,0
32,A,Oklahoma State,Houston,Cam Abshire,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,25.7,0
32,A,Oklahoma State,Houston,Sam Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Oklahoma State,Houston,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,36.7,0
32,A,Oklahoma State,Houston,Terrill Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,29.7,0
32,A,Oklahoma State,Houston,Shamar Rigby,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
32,A,Oklahoma State,Houston,Royal Capell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Oklahoma State,Houston,Christian Fitzpatrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,31.5,0
32,A,Oklahoma State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,83.5,1
32,A,Oklahoma State,Houston,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,17.1,0
32,A,Oklahoma State,Houston,Josh Ford,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Houston,Oklahoma State,Conner Weigman,QB,27,15,173.6,1,0,1,0,0.0,0,0,0,0.0,0
32,A,Houston,Oklahoma State,DJ Butler,Rusher,0,0,0.0,0,0,0,1,11.8,0,0,0,0.0,0
32,A,Houston,Oklahoma State,Dean Connors,Rusher,0,0,0.0,0,0,0,12,42.2,0,0,0,0.0,0
32,A,Houston,Oklahoma State,Conner Weigman,Rusher,0,0,0.0,0,0,0,7,30.8,1,0,0,0.0,0
32,A,Houston,Oklahoma State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,8,33.4,0,0,0,0.0,0
32,A,Houston,Oklahoma State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,4,17.9,0,0,0,0.0,0
32,A,Houston,Oklahoma State,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,22.9,1
32,A,Houston,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,7,10.9,0
32,A,Houston,Oklahoma State,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,72.7,0
32,A,Houston,Oklahoma State,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,25.5,0
32,A,Houston,Oklahoma State,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,33.9,0
32,A,Houston,Oklahoma State,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.7,0
33,B,Houston,Oklahoma State,Conner Weigman,QB,28,19,211.1,3,0,3,0,0.0,0,0,0,0.0,0
33,B,Houston,Oklahoma State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,9,47.4,0,0,0,0.0,0
33,B,Houston,Oklahoma State,Dean Connors,Rusher,0,0,0.0,0,0,0,14,70.4,1,0,0,0.0,0
33,B,Houston,Oklahoma State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,9,30.9,0,0,0,0.0,0
33,B,Houston,Oklahoma State,DJ Butler,Rusher,0,0,0.0,0,0,0,3,18.9,0,0,0,0.0,0
33,B,Houston,Oklahoma State,Conner Weigman,Rusher,0,0,0.0,0,0,0,5,14.1,0,0,0,0.0,0
33,B,Houston,Oklahoma State,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.4,1
33,B,Houston,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,43.8,1
33,B,Houston,Oklahoma State,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,36.9,0
33,B,Houston,Oklahoma State,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.4,0
33,B,Houston,Oklahoma State,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.1,0
33,B,Houston,Oklahoma State,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,6,45.2,0
33,B,Houston,Oklahoma State,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,34.3,1
33,B,Houston,Oklahoma State,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.9,0
33,B,Oklahoma State,Houston,Zane Flores,QB,32,17,155.7,0,0,4,0,0.0,0,0,0,0.0,0
33,B,Oklahoma State,Houston,Zane Flores,Rusher,0,0,0.0,0,0,0,2,11.3,0,0,0,0.0,0
33,B,Oklahoma State,Houston,Trenten Howland,Rusher,0,0,0.0,0,0,0,6,13.8,0,0,0,0.0,0
33,B,Oklahoma State,Houston,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,5,2.7,0,0,0,0.0,0
33,B,Oklahoma State,Houston,Kalib Hicks,Rusher,0,0,0.0,0,0,0,5,22.2,1,0,0,0.0,0
33,B,Oklahoma State,Houston,Freddie Brock,Rusher,0,0,0.0,0,0,0,1,4.2,0,0,0,0.0,0
33,B,Oklahoma State,Houston,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,2,9.8,0,0,0,0.0,0
33,B,Oklahoma State,Houston,Christian Fitzpatrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,25.1,0
33,B,Oklahoma State,Houston,Cam Abshire,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,2.8,0
33,B,Oklahoma State,Houston,Terrill Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.4,0
33,B,Oklahoma State,Houston,Will Monney,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.1,0
33,B,Oklahoma State,Houston,Josh Ford,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
33,B,Oklahoma State,Houston,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,9.5,0
33,B,Oklahoma State,Houston,Sam Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
33,B,Oklahoma State,Houston,Shamar Rigby,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
33,B,Oklahoma State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,55.2,0
33,B,Oklahoma State,Houston,Royal Capell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.0,0
33,B,Oklahoma State,Houston,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,18.7,0
34,A,Oklahoma State,Houston,Zane Flores,QB,24,11,66.0,0,0,5,0,0.0,0,0,0,0.0,0
34,A,Oklahoma State,Houston,Trenten Howland,Rusher,0,0,0.0,0,0,0,12,66.8,0,0,0,0.0,0
34,A,Oklahoma State,Houston,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,8,20.1,0,0,0,0.0,0
34,A,Oklahoma State,Houston,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,8,31.1,0,0,0,0.0,0
34,A,Oklahoma State,Houston,Kalib Hicks,Rusher,0,0,0.0,0,0,0,8,35.8,0,0,0,0.0,0
34,A,Oklahoma State,Houston,Freddie Brock,Rusher,0,0,0.0,0,0,0,2,-2.1,0,0,0,0.0,0
34,A,Oklahoma State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,5.6,0
34,A,Oklahoma State,Houston,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.3,0
34,A,Oklahoma State,Houston,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.3,0
34,A,Oklahoma State,Houston,Terrill Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,13.2,0
34,A,Oklahoma State,Houston,Cam Abshire,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Oklahoma State,Houston,Royal Capell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.6,0
34,A,Oklahoma State,Houston,Josh Ford,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.4,0
34,A,Oklahoma State,Houston,Christian Fitzpatrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.6,0
34,A,Oklahoma State,Houston,Shamar Rigby,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
34,A,Oklahoma State,Houston,Will Monney,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
34,A,Oklahoma State,Houston,Sam Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Houston,Oklahoma State,Conner Weigman,QB,18,13,138.8,2,0,3,0,0.0,0,0,0,0.0,0
34,A,Houston,Oklahoma State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,7,47.1,0,0,0,0.0,0
34,A,Houston,Oklahoma State,DJ Butler,Rusher,0,0,0.0,0,0,0,3,26.7,1,0,0,0.0,0
34,A,Houston,Oklahoma State,Dean Connors,Rusher,0,0,0.0,0,0,0,14,83.2,1,0,0,0.0,0
34,A,Houston,Oklahoma State,Conner Weigman,Rusher,0,0,0.0,0,0,0,5,11.2,0,0,0,0.0,0
34,A,Houston,Oklahoma State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,9,24.3,0,0,0,0.0,0
34,A,Houston,Oklahoma State,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,21.7,1
34,A,Houston,Oklahoma State,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.8,0
34,A,Houston,Oklahoma State,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.0,0
34,A,Houston,Oklahoma State,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,33.8,0
34,A,Houston,Oklahoma State,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,27.4,0
34,A,Houston,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,20.4,1
34,A,Houston,Oklahoma State,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.7,0
35,B,Houston,Oklahoma State,Conner Weigman,QB,28,18,188.4,1,0,3,0,0.0,0,0,0,0.0,0
35,B,Houston,Oklahoma State,Dean Connors,Rusher,0,0,0.0,0,0,0,15,100.1,1,0,0,0.0,0
35,B,Houston,Oklahoma State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,6,30.9,1,0,0,0.0,0
35,B,Houston,Oklahoma State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,5,21.1,0,0,0,0.0,0
35,B,Houston,Oklahoma State,Conner Weigman,Rusher,0,0,0.0,0,0,0,6,25.9,0,0,0,0.0,0
35,B,Houston,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,32.5,0
35,B,Houston,Oklahoma State,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,48.1,1
35,B,Houston,Oklahoma State,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.7,0
35,B,Houston,Oklahoma State,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,34.5,0
35,B,Houston,Oklahoma State,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,29.2,0
35,B,Houston,Oklahoma State,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,38.4,0
35,B,Houston,Oklahoma State,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
35,B,Houston,Oklahoma State,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
35,B,Oklahoma State,Houston,Zane Flores,QB,16,15,174.8,0,0,11,0,0.0,0,0,0,0.0,0
35,B,Oklahoma State,Houston,Freddie Brock,Rusher,0,0,0.0,0,0,0,3,11.5,0,0,0,0.0,0
35,B,Oklahoma State,Houston,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,7,26.2,1,0,0,0.0,0
35,B,Oklahoma State,Houston,Kalib Hicks,Rusher,0,0,0.0,0,0,0,9,43.9,0,0,0,0.0,0
35,B,Oklahoma State,Houston,Trenten Howland,Rusher,0,0,0.0,0,0,0,4,11.5,0,0,0,0.0,0
35,B,Oklahoma State,Houston,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,6,1.9,0,0,0,0.0,0
35,B,Oklahoma State,Houston,Zane Flores,Rusher,0,0,0.0,0,0,0,2,4.8,0,0,0,0.0,0
35,B,Oklahoma State,Houston,Josh Ford,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.3,0
35,B,Oklahoma State,Houston,Sam Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.6,0
35,B,Oklahoma State,Houston,Shamar Rigby,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.6,0
35,B,Oklahoma State,Houston,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.7,0
35,B,Oklahoma State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.1,0
35,B,Oklahoma State,Houston,Terrill Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,38.8,0
35,B,Oklahoma State,Houston,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.4,0
35,B,Oklahoma State,Houston,Christian Fitzpatrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,39.2,0
35,B,Oklahoma State,Houston,Cam Abshire,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Zane Flores,QB,25,14,122.1,1,0,6,0,0.0,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Zane Flores,Rusher,0,0,0.0,0,0,0,2,1.1,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,6,26.6,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Kalib Hicks,Rusher,0,0,0.0,0,0,0,4,13.7,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Trenten Howland,Rusher,0,0,0.0,0,0,0,7,18.2,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Freddie Brock,Rusher,0,0,0.0,0,0,0,3,12.4,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Hauss Hejny,Rusher,0,0,0.0,0,0,0,3,21.7,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Sam Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
36,A,Oklahoma State,Houston,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,30.8,0
36,A,Oklahoma State,Houston,Terrill Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
36,A,Oklahoma State,Houston,Josh Ford,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,21.0,1
36,A,Oklahoma State,Houston,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,25.9,0
36,A,Oklahoma State,Houston,Royal Capell,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.3,0
36,A,Oklahoma State,Houston,Shamar Rigby,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.2,0
36,A,Oklahoma State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,17.7,0
36,A,Oklahoma State,Houston,Christian Fitzpatrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
36,A,Oklahoma State,Houston,Will Monney,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
36,A,Houston,Oklahoma State,Conner Weigman,QB,24,14,175.6,1,0,3,0,0.0,0,0,0,0.0,0
36,A,Houston,Oklahoma State,Dean Connors,Rusher,0,0,0.0,0,0,0,22,96.0,1,0,0,0.0,0
36,A,Houston,Oklahoma State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,6,6.6,0,0,0,0.0,0
36,A,Houston,Oklahoma State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,8,37.4,0,0,0,0.0,0
36,A,Houston,Oklahoma State,Conner Weigman,Rusher,0,0,0.0,0,0,0,5,25.4,0,0,0,0.0,0
36,A,Houston,Oklahoma State,DJ Butler,Rusher,0,0,0.0,0,0,0,1,3.0,0,0,0,0.0,0
36,A,Houston,Oklahoma State,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.1,0
36,A,Houston,Oklahoma State,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,18.7,1
36,A,Houston,Oklahoma State,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,3.9,0
36,A,Houston,Oklahoma State,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.2,0
36,A,Houston,Oklahoma State,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,33.1,0
36,A,Houston,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,50.7,0
36,A,Houston,Oklahoma State,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,16.8,0
37,B,Houston,Oklahoma State,Conner Weigman,QB,34,23,299.5,1,0,0,0,0.0,0,0,0,0.0,0
37,B,Houston,Oklahoma State,Dean Connors,Rusher,0,0,0.0,0,0,0,23,102.5,1,0,0,0.0,0
37,B,Houston,Oklahoma State,Conner Weigman,Rusher,0,0,0.0,0,0,0,7,45.7,1,0,0,0.0,0
37,B,Houston,Oklahoma State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,6,18.7,1,0,0,0.0,0
37,B,Houston,Oklahoma State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,2,4.3,0,0,0,0.0,0
37,B,Houston,Oklahoma State,DJ Butler,Rusher,0,0,0.0,0,0,0,1,-4.0,0,0,0,0.0,0
37,B,Houston,Oklahoma State,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,90.3,0
37,B,Houston,Oklahoma State,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,25.4,0
37,B,Houston,Oklahoma State,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.7,0
37,B,Houston,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,76.5,1
37,B,Houston,Oklahoma State,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
37,B,Houston,Oklahoma State,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,51.8,0
37,B,Houston,Oklahoma State,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,30.7,0
37,B,Houston,Oklahoma State,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,17.1,0
37,B,Oklahoma State,Houston,Zane Flores,QB,31,20,244.5,1,0,3,0,0.0,0,0,0,0.0,0
37,B,Oklahoma State,Houston,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,5,20.0,0,0,0,0.0,0
37,B,Oklahoma State,Houston,Zane Flores,Rusher,0,0,0.0,0,0,0,3,25.2,1,0,0,0.0,0
37,B,Oklahoma State,Houston,Trenten Howland,Rusher,0,0,0.0,0,0,0,7,41.5,1,0,0,0.0,0
37,B,Oklahoma State,Houston,Kalib Hicks,Rusher,0,0,0.0,0,0,0,3,17.1,0,0,0,0.0,0
37,B,Oklahoma State,Houston,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,5,19.7,0,0,0,0.0,0
37,B,Oklahoma State,Houston,Hauss Hejny,Rusher,0,0,0.0,0,0,0,1,4.2,0,0,0,0.0,0
37,B,Oklahoma State,Houston,Will Monney,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.3,0
37,B,Oklahoma State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,43.8,0
37,B,Oklahoma State,Houston,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.7,0
37,B,Oklahoma State,Houston,Terrill Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,67.0,1
37,B,Oklahoma State,Houston,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.7,0
37,B,Oklahoma State,Houston,Christian Fitzpatrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,35.8,0
37,B,Oklahoma State,Houston,Sam Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,20.2,0
37,B,Oklahoma State,Houston,Royal Capell,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,41.8,0
37,B,Oklahoma State,Houston,Josh Ford,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
37,B,Oklahoma State,Houston,Shamar Rigby,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.1,0
37,B,Oklahoma State,Houston,Cam Abshire,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
38,A,Oklahoma State,Houston,Zane Flores,QB,22,15,205.5,0,0,7,0,0.0,0,0,0,0.0,0
38,A,Oklahoma State,Houston,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,5,11.4,0,0,0,0.0,0
38,A,Oklahoma State,Houston,Zane Flores,Rusher,0,0,0.0,0,0,0,5,19.3,0,0,0,0.0,0
38,A,Oklahoma State,Houston,Freddie Brock,Rusher,0,0,0.0,0,0,0,1,-3.8,0,0,0,0.0,0
38,A,Oklahoma State,Houston,Kalib Hicks,Rusher,0,0,0.0,0,0,0,4,30.9,0,0,0,0.0,0
38,A,Oklahoma State,Houston,Trenten Howland,Rusher,0,0,0.0,0,0,0,8,44.0,1,0,0,0.0,0
38,A,Oklahoma State,Houston,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,5,36.0,1,0,0,0.0,0
38,A,Oklahoma State,Houston,Hauss Hejny,Rusher,0,0,0.0,0,0,0,3,16.3,0,0,0,0.0,0
38,A,Oklahoma State,Houston,Sam Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.1,0
38,A,Oklahoma State,Houston,Royal Capell,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
38,A,Oklahoma State,Houston,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,44.8,0
38,A,Oklahoma State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
38,A,Oklahoma State,Houston,Will Monney,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,42.1,0
38,A,Oklahoma State,Houston,Terrill Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,6.4,0
38,A,Oklahoma State,Houston,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,43.8,0
