sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,USC,Michigan,Jayden Maiava,QB,28,15,245.8,1,0,0,0,0.0,0,0,0,0.0,0
0,A,USC,Michigan,Waymond Jordan,Rusher,0,0,0.0,0,0,0,17,83.2,0,0,0,0.0,0
0,A,USC,Michigan,Jayden Maiava,Rusher,0,0,0.0,0,0,0,2,8.7,0,0,0,0.0,0
0,A,USC,Michigan,Eli Sanders,Rusher,0,0,0.0,0,0,0,8,56.7,2,0,0,0.0,0
0,A,USC,Michigan,Bryan Jackson,Rusher,0,0,0.0,0,0,0,4,7.5,0,0,0,0.0,0
0,A,USC,Michigan,Husan Longstreet,Rusher,0,0,0.0,0,0,0,2,11.9,0,0,0,0.0,0
0,A,USC,Michigan,King Miller,Rusher,0,0,0.0,0,0,0,1,3.5,0,0,0,0.0,0
0,A,USC,Michigan,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,114.5,1
0,A,USC,Michigan,Ja'Kobi Lane,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,44.2,0
0,A,USC,Michigan,Jaden Richardson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,31.1,0
0,A,USC,Michigan,Makai Lemon,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,7,20.6,0
0,A,USC,Michigan,Tanook Hines,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.0,0
0,A,USC,Michigan,Lake McRee,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,27.4,0
0,A,USC,Michigan,Walker Lyons,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Michigan,USC,Bryce Underwood,QB,35,24,251.3,2,0,5,0,0.0,0,0,0,0.0,0
0,A,Michigan,USC,Bryce Underwood,Rusher,0,0,0.0,0,0,0,5,18.2,0,0,0,0.0,0
0,A,Michigan,USC,Jordan Marshall,Rusher,0,0,0.0,0,0,0,9,16.4,0,0,0,0.0,0
0,A,Michigan,USC,Justice Haynes,Rusher,0,0,0.0,0,0,0,10,48.5,0,0,0,0.0,0
0,A,Michigan,USC,Zack Marshall,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,43.6,0
0,A,Michigan,USC,Max Bredeson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.2,0
0,A,Michigan,USC,Semaj Morgan,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,62.7,0
0,A,Michigan,USC,Marlin Klein,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,8.4,0
0,A,Michigan,USC,Donaven McCulley,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,78.3,1
0,A,Michigan,USC,Hogan Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,16.6,0
0,A,Michigan,USC,Channing Goodwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,11.5,0
0,A,Michigan,USC,Fredrick Moore,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Michigan,USC,Kendrick Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,Michigan,USC,Andrew Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.9,1
1,B,Michigan,USC,Bryce Underwood,QB,21,12,139.2,1,0,5,0,0.0,0,0,0,0.0,0
1,B,Michigan,USC,Justice Haynes,Rusher,0,0,0.0,0,0,0,15,57.5,0,0,0,0.0,0
1,B,Michigan,USC,Jordan Marshall,Rusher,0,0,0.0,0,0,0,10,34.4,0,0,0,0.0,0
1,B,Michigan,USC,Bryce Underwood,Rusher,0,0,0.0,0,0,0,4,9.7,1,0,0,0.0,0
1,B,Michigan,USC,Zack Marshall,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
1,B,Michigan,USC,Channing Goodwin,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,51.3,1
1,B,Michigan,USC,Donaven McCulley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,33.4,0
1,B,Michigan,USC,Semaj Morgan,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,22.9,0
1,B,Michigan,USC,Marlin Klein,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
1,B,Michigan,USC,Hogan Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,28.7,0
1,B,Michigan,USC,Andrew Marsh,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,Michigan,USC,Kendrick Bell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.0,0
1,B,USC,Michigan,Jayden Maiava,QB,27,18,297.2,1,0,1,0,0.0,0,0,0,0.0,0
1,B,USC,Michigan,Jayden Maiava,Rusher,0,0,0.0,0,0,0,4,31.0,1,0,0,0.0,0
1,B,USC,Michigan,Bryan Jackson,Rusher,0,0,0.0,0,0,0,5,9.5,0,0,0,0.0,0
