team,opp,pts,opp_pts,plays,opp_plays
Maryland,Nebraska,17,0,69,50
Nebraska,Maryland,17,13,66,57
Maryland,Nebraska,3,26,56,69
Nebraska,Maryland,10,10,63,57
Maryland,Nebraska,20,0,60,63
Nebraska,Maryland,17,17,70,55
Maryland,Nebraska,14,28,60,63
Nebraska,Maryland,23,10,68,50
Maryland,Nebraska,6,17,56,61
Nebraska,Maryland,31,14,68,51
Maryland,Nebraska,7,12,57,65
Nebraska,Maryland,17,7,72,47
Maryland,Nebraska,14,10,60,62
Nebraska,Maryland,10,21,71,61
Maryland,Nebraska,16,14,61,69
Nebraska,Maryland,13,13,64,59
Maryland,Nebraska,13,31,63,62
Nebraska,Maryland,17,17,54,62
Maryland,Nebraska,7,31,64,62
Nebraska,Maryland,24,13,58,61
Maryland,Nebraska,7,31,57,66
Nebraska,Maryland,20,24,67,61
Maryland,Nebraska,14,31,69,55
Nebraska,Maryland,27,3,72,52
Maryland,Nebraska,13,16,54,66
Nebraska,Maryland,17,9,56,63
Maryland,Nebraska,17,20,67,60
Nebraska,Maryland,14,30,49,75
Maryland,Nebraska,13,27,62,59
Nebraska,Maryland,10,27,66,57
Maryland,Nebraska,17,9,57,69
Nebraska,Maryland,22,0,66,58
Maryland,Nebraska,24,17,63,59
Nebraska,Maryland,21,10,62,54
Maryland,Nebraska,0,34,52,71
Nebraska,Maryland,38,19,62,63
Maryland,Nebraska,10,9,58,68
Nebraska,Maryland,17,13,56,68
Maryland,Nebraska,13,7,62,58
Nebraska,Maryland,20,10,57,66
Maryland,Nebraska,14,20,60,63
Nebraska,Maryland,17,17,67,57
Maryland,Nebraska,27,17,75,51
Nebraska,Maryland,28,21,71,52
Maryland,Nebraska,3,30,74,61
Nebraska,Maryland,23,10,54,66
Maryland,Nebraska,7,10,63,55
Nebraska,Maryland,10,0,68,52
Maryland,Nebraska,0,27,59,65
Nebraska,Maryland,3,12,61,58
Maryland,Nebraska,27,10,52,68
Nebraska,Maryland,17,13,54,78
Maryland,Nebraska,6,28,64,58
Nebraska,Maryland,14,7,63,66
Maryland,Nebraska,14,31,65,58
Nebraska,Maryland,24,10,53,67
Maryland,Nebraska,10,6,59,57
Nebraska,Maryland,21,10,68,50
Maryland,Nebraska,17,24,58,67
Nebraska,Maryland,20,14,68,60
Maryland,Nebraska,3,0,63,59
Nebraska,Maryland,17,14,70,54
Maryland,Nebraska,3,7,52,68
Nebraska,Maryland,10,14,60,56
Maryland,Nebraska,6,28,63,64
Nebraska,Maryland,14,17,63,62
Maryland,Nebraska,7,24,65,68
Nebraska,Maryland,13,13,65,53
Maryland,Nebraska,21,24,58,67
Nebraska,Maryland,21,17,60,59
Maryland,Nebraska,9,7,64,63
Nebraska,Maryland,20,13,63,57
Maryland,Nebraska,21,7,72,62
Nebraska,Maryland,14,14,64,61
Maryland,Nebraska,28,3,74,45
Nebraska,Maryland,35,6,57,67
Maryland,Nebraska,6,13,61,63
Nebraska,Maryland,20,10,63,63
Maryland,Nebraska,14,27,57,63
Nebraska,Maryland,6,28,68,51
Maryland,Nebraska,23,14,63,57
Nebraska,Maryland,17,14,65,56
Maryland,Nebraska,14,21,76,51
Nebraska,Maryland,31,7,68,55
Maryland,Nebraska,38,7,64,60
Nebraska,Maryland,23,14,70,51
Maryland,Nebraska,10,38,54,70
Nebraska,Maryland,45,10,77,54
Maryland,Nebraska,14,3,75,48
Nebraska,Maryland,14,23,48,67
Maryland,Nebraska,21,21,72,56
Nebraska,Maryland,24,28,63,64
Maryland,Nebraska,7,27,60,66
Nebraska,Maryland,7,24,55,66
Maryland,Nebraska,7,42,47,77
Nebraska,Maryland,10,13,53,70
Maryland,Nebraska,20,0,76,53
Nebraska,Maryland,17,7,82,49
Maryland,Nebraska,20,24,76,51
Nebraska,Maryland,21,24,52,66
Maryland,Nebraska,28,17,62,60
Nebraska,Maryland,34,14,73,52
Maryland,Nebraska,13,10,57,68
Nebraska,Maryland,24,17,61,65
Maryland,Nebraska,3,14,66,57
Nebraska,Maryland,31,14,73,57
Maryland,Nebraska,7,30,51,73
Nebraska,Maryland,10,21,60,67
Maryland,Nebraska,27,10,72,51
Nebraska,Maryland,0,16,56,60
Maryland,Nebraska,3,13,60,60
Nebraska,Maryland,17,28,72,56
Maryland,Nebraska,20,14,72,54
Nebraska,Maryland,17,28,59,63
Maryland,Nebraska,14,13,64,58
Nebraska,Maryland,27,10,72,55
