team,opp,pts,opp_pts,plays,opp_plays
Nevada,San Diego State,15,21,72,65
San Diego State,Nevada,28,14,66,65
Nevada,San Diego State,14,7,68,68
San Diego State,Nevada,20,6,68,65
Nevada,San Diego State,3,27,61,72
San Diego State,Nevada,34,10,67,64
Nevada,San Diego State,14,48,55,80
San Diego State,Nevada,31,7,80,50
Nevada,San Diego State,13,35,65,67
San Diego State,Nevada,20,0,72,55
Nevada,San Diego State,17,21,71,70
San Diego State,Nevada,51,7,78,61
Nevada,San Diego State,23,3,62,65
San Diego State,Nevada,17,13,63,69
Nevada,San Diego State,10,38,66,73
San Diego State,Nevada,10,6,65,66
Nevada,San Diego State,17,10,69,58
San Diego State,Nevada,17,10,68,63
Nevada,San Diego State,27,17,78,61
San Diego State,Nevada,24,10,65,75
Nevada,San Diego State,17,21,76,59
San Diego State,Nevada,16,7,83,57
Nevada,San Diego State,10,42,62,70
San Diego State,Nevada,7,27,58,71
Nevada,San Diego State,17,34,71,66
San Diego State,Nevada,9,0,72,64
Nevada,San Diego State,0,24,66,74
San Diego State,Nevada,33,0,83,53
Nevada,San Diego State,20,3,76,66
San Diego State,Nevada,13,13,76,63
Nevada,San Diego State,9,14,70,71
San Diego State,Nevada,26,0,77,54
Nevada,San Diego State,16,9,64,69
San Diego State,Nevada,17,7,77,66
Nevada,San Diego State,0,21,79,61
San Diego State,Nevada,20,10,71,65
Nevada,San Diego State,10,16,67,73
San Diego State,Nevada,24,10,72,54
Nevada,San Diego State,7,34,52,80
San Diego State,Nevada,9,13,71,62
Nevada,San Diego State,24,14,70,66
San Diego State,Nevada,7,6,62,72
Nevada,San Diego State,6,16,67,65
San Diego State,Nevada,28,16,68,66
Nevada,San Diego State,3,45,67,75
San Diego State,Nevada,17,10,60,72
Nevada,San Diego State,13,23,76,63
San Diego State,Nevada,13,10,76,61
Nevada,San Diego State,35,7,76,71
San Diego State,Nevada,21,13,69,65
Nevada,San Diego State,13,24,69,67
San Diego State,Nevada,14,10,64,71
Nevada,San Diego State,19,3,76,60
San Diego State,Nevada,24,9,57,82
Nevada,San Diego State,3,31,68,66
San Diego State,Nevada,30,6,77,58
Nevada,San Diego State,7,38,66,72
San Diego State,Nevada,24,3,62,75
Nevada,San Diego State,3,35,66,73
San Diego State,Nevada,16,6,61,71
Nevada,San Diego State,0,34,62,71
San Diego State,Nevada,20,7,74,70
Nevada,San Diego State,0,13,72,62
San Diego State,Nevada,6,14,70,72
Nevada,San Diego State,7,20,62,71
San Diego State,Nevada,17,7,70,62
Nevada,San Diego State,0,33,52,76
San Diego State,Nevada,24,0,82,60
Nevada,San Diego State,13,13,63,66
San Diego State,Nevada,14,6,61,75
Nevada,San Diego State,3,10,77,53
San Diego State,Nevada,14,3,83,55
Nevada,San Diego State,14,10,70,66
San Diego State,Nevada,34,13,65,74
Nevada,San Diego State,0,44,53,85
San Diego State,Nevada,24,14,65,63
Nevada,San Diego State,0,37,58,75
San Diego State,Nevada,13,20,73,62
Nevada,San Diego State,6,31,67,72
San Diego State,Nevada,17,13,64,66
Nevada,San Diego State,7,35,73,65
San Diego State,Nevada,34,3,71,60
Nevada,San Diego State,3,41,76,71
San Diego State,Nevada,45,3,64,70
Nevada,San Diego State,7,28,63,64
San Diego State,Nevada,30,7,78,58
Nevada,San Diego State,0,31,69,70
San Diego State,Nevada,17,0,67,60
Nevada,San Diego State,6,7,66,68
San Diego State,Nevada,20,17,70,62
Nevada,San Diego State,0,31,62,71
San Diego State,Nevada,31,14,76,65
Nevada,San Diego State,3,20,60,66
San Diego State,Nevada,33,0,82,47
Nevada,San Diego State,14,14,68,62
San Diego State,Nevada,30,0,76,54
Nevada,San Diego State,6,28,57,78
San Diego State,Nevada,26,10,67,66
Nevada,San Diego State,7,23,55,75
San Diego State,Nevada,13,9,75,55
Nevada,San Diego State,7,23,70,74
San Diego State,Nevada,28,23,68,70
Nevada,San Diego State,6,26,63,77
San Diego State,Nevada,26,0,93,47
Nevada,San Diego State,0,26,56,73
San Diego State,Nevada,36,3,70,68
Nevada,San Diego State,6,27,69,72
San Diego State,Nevada,12,0,78,59
Nevada,San Diego State,24,14,70,66
San Diego State,Nevada,41,10,68,66
Nevada,San Diego State,16,38,65,62
San Diego State,Nevada,48,0,77,52
Nevada,San Diego State,13,13,68,70
San Diego State,Nevada,17,17,66,72
Nevada,San Diego State,9,14,72,68
San Diego State,Nevada,10,10,74,65
Nevada,San Diego State,14,23,60,80
San Diego State,Nevada,17,3,70,58
Nevada,San Diego State,17,31,65,72
San Diego State,Nevada,24,21,79,62
Nevada,San Diego State,13,10,72,60
San Diego State,Nevada,6,6,72,58
Nevada,San Diego State,3,24,92,58
San Diego State,Nevada,24,7,68,58
Nevada,San Diego State,13,21,62,70
San Diego State,Nevada,27,10,69,68
Nevada,San Diego State,17,38,65,64
San Diego State,Nevada,23,12,71,75
Nevada,San Diego State,17,23,68,72
San Diego State,Nevada,10,17,59,67
Nevada,San Diego State,17,16,71,69
San Diego State,Nevada,31,0,70,70
Nevada,San Diego State,0,6,79,58
San Diego State,Nevada,27,10,73,59
Nevada,San Diego State,0,36,60,77
San Diego State,Nevada,35,3,69,66
Nevada,San Diego State,3,27,72,60
San Diego State,Nevada,13,3,70,63
Nevada,San Diego State,13,3,72,68
San Diego State,Nevada,24,0,75,58
Nevada,San Diego State,7,24,64,70
San Diego State,Nevada,34,14,71,66
Nevada,San Diego State,6,13,82,58
San Diego State,Nevada,28,3,77,63
Nevada,San Diego State,13,9,68,69
San Diego State,Nevada,48,0,80,66
Nevada,San Diego State,3,28,65,61
San Diego State,Nevada,21,0,81,45
Nevada,San Diego State,7,26,74,67
San Diego State,Nevada,3,16,63,66
Nevada,San Diego State,10,35,72,64
San Diego State,Nevada,10,17,73,66
Nevada,San Diego State,7,10,72,58
San Diego State,Nevada,24,6,57,69
Nevada,San Diego State,13,17,62,69
San Diego State,Nevada,30,7,82,51
Nevada,San Diego State,9,24,71,57
San Diego State,Nevada,31,3,77,60
Nevada,San Diego State,14,27,70,71
San Diego State,Nevada,27,10,68,71
Nevada,San Diego State,6,23,72,66
San Diego State,Nevada,14,10,79,62
Nevada,San Diego State,14,35,75,60
San Diego State,Nevada,21,31,77,56
Nevada,San Diego State,10,19,59,74
San Diego State,Nevada,23,6,69,63
Nevada,San Diego State,24,24,76,61
San Diego State,Nevada,20,10,67,64
Nevada,San Diego State,31,10,71,63
San Diego State,Nevada,24,3,70,60
Nevada,San Diego State,7,13,76,58
San Diego State,Nevada,44,10,75,60
Nevada,San Diego State,14,17,67,67
San Diego State,Nevada,27,3,73,52
Nevada,San Diego State,3,3,79,55
San Diego State,Nevada,28,14,68,64
Nevada,San Diego State,3,31,68,74
San Diego State,Nevada,14,13,69,65
Nevada,San Diego State,7,13,63,67
San Diego State,Nevada,34,7,81,54
Nevada,San Diego State,24,16,73,64
San Diego State,Nevada,34,3,74,68
Nevada,San Diego State,10,14,69,75
San Diego State,Nevada,38,13,85,55
Nevada,San Diego State,24,20,72,73
San Diego State,Nevada,7,7,69,64
Nevada,San Diego State,7,34,60,87
San Diego State,Nevada,34,0,73,51
Nevada,San Diego State,0,13,58,80
San Diego State,Nevada,20,10,65,74
Nevada,San Diego State,3,10,73,63
San Diego State,Nevada,14,10,72,59
Nevada,San Diego State,14,23,64,71
San Diego State,Nevada,23,7,69,74
Nevada,San Diego State,12,37,57,77
San Diego State,Nevada,17,24,64,73
Nevada,San Diego State,10,24,69,70
San Diego State,Nevada,26,3,82,66
Nevada,San Diego State,10,27,64,74
San Diego State,Nevada,6,7,62,70
Nevada,San Diego State,14,21,76,57
San Diego State,Nevada,34,7,74,56
Nevada,San Diego State,0,20,64,67
San Diego State,Nevada,0,17,68,60
Nevada,San Diego State,3,30,59,74
San Diego State,Nevada,19,14,66,65
Nevada,San Diego State,21,17,59,79
San Diego State,Nevada,23,3,66,66
Nevada,San Diego State,24,13,64,69
San Diego State,Nevada,41,7,76,56
Nevada,San Diego State,7,20,52,76
San Diego State,Nevada,24,0,70,63
Nevada,San Diego State,13,27,70,69
San Diego State,Nevada,38,13,74,61
Nevada,San Diego State,6,41,70,64
San Diego State,Nevada,37,17,72,70
Nevada,San Diego State,3,28,57,72
San Diego State,Nevada,24,10,74,60
Nevada,San Diego State,3,15,70,64
San Diego State,Nevada,31,3,72,64
Nevada,San Diego State,16,14,68,70
San Diego State,Nevada,6,13,59,73
Nevada,San Diego State,3,26,60,70
San Diego State,Nevada,28,0,76,55
Nevada,San Diego State,13,13,65,69
San Diego State,Nevada,21,17,67,65
Nevada,San Diego State,20,21,76,57
San Diego State,Nevada,17,17,65,59
Nevada,San Diego State,20,17,61,74
San Diego State,Nevada,13,14,73,68
Nevada,San Diego State,13,34,72,66
San Diego State,Nevada,31,6,62,68
Nevada,San Diego State,9,20,86,58
San Diego State,Nevada,10,10,66,64
Nevada,San Diego State,14,16,60,61
San Diego State,Nevada,34,23,67,72
Nevada,San Diego State,7,14,66,69
San Diego State,Nevada,23,3,78,60
Nevada,San Diego State,0,20,65,68
San Diego State,Nevada,21,17,60,68
Nevada,San Diego State,17,38,67,68
San Diego State,Nevada,52,0,86,51
Nevada,San Diego State,0,14,74,67
San Diego State,Nevada,30,7,71,59
Nevada,San Diego State,3,23,64,74
San Diego State,Nevada,24,14,63,65
Nevada,San Diego State,3,31,65,73
San Diego State,Nevada,41,0,82,55
Nevada,San Diego State,17,28,73,68
San Diego State,Nevada,32,7,76,53
Nevada,San Diego State,9,0,62,66
San Diego State,Nevada,35,10,67,72
Nevada,San Diego State,21,51,63,78
San Diego State,Nevada,7,19,61,73
Nevada,San Diego State,0,20,61,67
San Diego State,Nevada,28,9,63,71
Nevada,San Diego State,24,10,66,73
San Diego State,Nevada,38,10,71,68
Nevada,San Diego State,10,7,62,72
San Diego State,Nevada,31,3,72,61
Nevada,San Diego State,3,35,62,72
San Diego State,Nevada,27,10,68,60
Nevada,San Diego State,13,14,71,67
San Diego State,Nevada,27,14,72,58
Nevada,San Diego State,24,10,64,66
San Diego State,Nevada,14,9,62,69
Nevada,San Diego State,21,14,75,57
San Diego State,Nevada,9,10,74,65
Nevada,San Diego State,27,13,79,63
San Diego State,Nevada,34,6,69,63
Nevada,San Diego State,10,30,67,70
San Diego State,Nevada,16,14,72,57
Nevada,San Diego State,0,27,60,70
San Diego State,Nevada,13,0,75,52
Nevada,San Diego State,13,35,59,76
San Diego State,Nevada,34,17,74,66
