team,opp,pts,opp_pts,plays,opp_plays
Temple,Navy,3,31,42,63
Navy,Temple,35,30,48,71
Temple,Navy,6,10,43,58
Navy,Temple,7,14,52,59
Temple,Navy,10,14,58,53
Navy,Temple,21,20,53,62
Temple,Navy,17,34,49,60
Navy,Temple,35,10,58,54
Temple,Navy,3,31,47,60
Navy,Temple,28,13,54,59
Temple,Navy,17,38,57,57
Navy,Temple,24,3,55,56
Temple,Navy,14,35,55,59
Navy,Temple,31,3,58,52
Temple,Navy,14,7,50,59
Navy,Temple,34,7,64,50
Temple,Navy,3,24,52,57
Navy,Temple,24,7,57,56
Temple,Navy,7,17,54,58
Navy,Temple,27,6,61,48
Temple,Navy,20,17,60,51
Navy,Temple,28,7,68,46
Temple,Navy,0,27,40,62
Navy,Temple,31,7,66,47
Temple,Navy,21,28,69,45
Navy,Temple,24,3,64,45
Temple,Navy,38,17,55,57
Navy,Temple,34,10,65,56
Temple,Navy,21,21,65,51
Navy,Temple,20,14,58,57
Temple,Navy,7,44,61,61
Navy,Temple,26,13,66,38
Temple,Navy,31,31,59,57
Navy,Temple,21,21,55,55
Temple,Navy,0,27,51,57
Navy,Temple,16,6,61,52
Temple,Navy,10,20,45,61
Navy,Temple,28,14,62,49
Temple,Navy,14,38,63,57
Navy,Temple,10,24,48,62
Temple,Navy,10,45,46,63
Navy,Temple,42,6,70,44
Temple,Navy,17,52,49,70
Navy,Temple,16,7,55,59
Temple,Navy,13,21,54,53
Navy,Temple,23,7,62,49
Temple,Navy,10,13,49,60
Navy,Temple,21,17,58,55
Temple,Navy,17,13,47,59
Navy,Temple,21,7,51,53
Temple,Navy,7,22,39,70
Navy,Temple,24,6,58,54
Temple,Navy,6,31,55,54
Navy,Temple,28,24,59,55
Temple,Navy,14,38,52,64
Navy,Temple,13,16,62,47
Temple,Navy,34,3,75,37
Navy,Temple,27,23,67,49
Temple,Navy,17,21,56,58
Navy,Temple,21,10,56,52
Temple,Navy,13,24,62,61
Navy,Temple,21,17,61,59
Temple,Navy,0,26,48,56
Navy,Temple,27,13,59,56
Temple,Navy,13,24,59,54
Navy,Temple,13,17,59,51
Temple,Navy,0,34,37,69
Navy,Temple,17,14,53,57
Temple,Navy,14,20,50,57
Navy,Temple,38,7,64,45
Temple,Navy,14,24,54,57
Navy,Temple,31,7,63,56
Temple,Navy,0,27,58,57
Navy,Temple,24,14,60,56
Temple,Navy,7,28,55,51
Navy,Temple,17,7,48,68
Temple,Navy,14,31,54,61
Navy,Temple,16,14,58,57
Temple,Navy,17,17,50,62
Navy,Temple,24,3,66,40
Temple,Navy,13,28,59,51
Navy,Temple,17,10,58,55
Temple,Navy,7,48,46,64
Navy,Temple,24,7,63,45
Temple,Navy,28,24,57,62
Navy,Temple,12,10,62,42
Temple,Navy,10,17,55,55
Navy,Temple,6,13,58,53
Temple,Navy,14,16,57,57
Navy,Temple,34,21,55,54
Temple,Navy,6,10,67,45
Navy,Temple,28,0,66,46
Temple,Navy,10,34,50,60
Navy,Temple,35,14,59,49
Temple,Navy,13,38,60,62
Navy,Temple,14,13,35,75
Temple,Navy,17,23,54,57
Navy,Temple,31,3,67,46
Temple,Navy,10,9,49,53
Navy,Temple,42,7,62,53
Temple,Navy,21,35,59,51
Navy,Temple,45,24,66,49
Temple,Navy,20,17,64,50
Navy,Temple,21,28,53,64
Temple,Navy,20,21,65,50
Navy,Temple,41,10,62,48
Temple,Navy,38,3,83,36
Navy,Temple,49,17,55,57
Temple,Navy,17,3,61,45
Navy,Temple,38,3,64,47
Temple,Navy,13,14,63,47
Navy,Temple,20,3,59,48
Temple,Navy,20,17,64,54
Navy,Temple,24,14,61,57
Temple,Navy,17,27,50,64
Navy,Temple,31,3,58,59
Temple,Navy,0,24,53,55
Navy,Temple,21,16,53,60
Temple,Navy,0,35,54,60
Navy,Temple,17,17,64,48
Temple,Navy,10,35,58,58
Navy,Temple,24,14,60,54
Temple,Navy,7,21,52,63
Navy,Temple,34,3,62,49
Temple,Navy,14,23,48,65
Navy,Temple,7,17,50,61
Temple,Navy,17,10,57,54
Navy,Temple,16,7,59,46
Temple,Navy,14,27,56,58
Navy,Temple,17,14,56,54
Temple,Navy,13,13,61,48
Navy,Temple,9,7,51,59
Temple,Navy,20,0,62,45
Navy,Temple,24,0,69,45
Temple,Navy,10,31,49,63
Navy,Temple,20,7,62,53
Temple,Navy,10,31,59,53
Navy,Temple,27,20,67,47
Temple,Navy,17,28,59,54
Navy,Temple,24,10,64,51
Temple,Navy,14,28,60,54
Navy,Temple,27,17,65,51
Temple,Navy,3,26,40,63
Navy,Temple,37,0,72,39
Temple,Navy,13,14,59,53
Navy,Temple,42,14,73,41
Temple,Navy,14,13,54,56
Navy,Temple,31,27,69,41
Temple,Navy,17,17,52,54
Navy,Temple,23,14,64,43
Temple,Navy,24,24,78,44
Navy,Temple,17,24,51,60
Temple,Navy,3,24,59,54
Navy,Temple,17,24,53,56
Temple,Navy,20,7,69,42
Navy,Temple,10,13,54,55
Temple,Navy,3,31,56,58
Navy,Temple,17,10,63,50
Temple,Navy,9,20,50,56
Navy,Temple,17,6,56,69
Temple,Navy,0,40,47,67
Navy,Temple,45,10,61,56
Temple,Navy,14,17,50,59
Navy,Temple,7,7,49,60
Temple,Navy,17,31,63,54
Navy,Temple,21,20,50,64
Temple,Navy,27,14,59,50
Navy,Temple,24,17,60,63
Temple,Navy,14,21,60,54
Navy,Temple,16,0,60,49
Temple,Navy,20,38,54,60
Navy,Temple,28,14,56,59
Temple,Navy,20,17,52,61
Navy,Temple,28,7,60,54
Temple,Navy,14,24,61,55
Navy,Temple,10,38,56,55
Temple,Navy,3,16,51,61
Navy,Temple,24,14,64,45
Temple,Navy,12,0,67,47
Navy,Temple,28,13,51,66
Temple,Navy,14,27,54,58
Navy,Temple,24,7,72,40
Temple,Navy,13,21,61,48
Navy,Temple,28,13,51,63
Temple,Navy,14,20,65,52
Navy,Temple,24,7,53,53
Temple,Navy,21,17,63,50
Navy,Temple,20,21,54,58
Temple,Navy,13,17,56,60
Navy,Temple,21,20,58,52
Temple,Navy,21,7,64,44
Navy,Temple,24,16,56,60
Temple,Navy,27,28,65,50
Navy,Temple,23,13,62,49
Temple,Navy,17,24,62,54
Navy,Temple,17,13,50,61
Temple,Navy,14,31,63,51
Navy,Temple,23,14,65,44
Temple,Navy,17,13,62,51
Navy,Temple,30,14,70,43
Temple,Navy,10,27,42,67
Navy,Temple,35,14,62,51
Temple,Navy,14,28,48,63
Navy,Temple,21,10,53,64
Temple,Navy,7,21,55,53
Navy,Temple,27,7,50,65
Temple,Navy,31,28,59,58
Navy,Temple,10,14,57,53
Temple,Navy,3,20,59,51
Navy,Temple,20,3,55,66
Temple,Navy,7,30,61,51
Navy,Temple,45,3,58,49
Temple,Navy,13,21,59,50
Navy,Temple,35,0,62,47
Temple,Navy,10,24,53,60
Navy,Temple,31,21,60,57
Temple,Navy,3,27,51,62
Navy,Temple,14,10,53,61
Temple,Navy,35,13,60,62
Navy,Temple,35,10,58,56
Temple,Navy,13,27,51,56
Navy,Temple,21,7,58,46
Temple,Navy,20,21,69,52
Navy,Temple,21,14,49,67
Temple,Navy,13,27,62,49
Navy,Temple,7,12,49,63
Temple,Navy,3,34,39,68
Navy,Temple,27,24,58,57
Temple,Navy,0,26,49,62
Navy,Temple,28,3,61,44
Temple,Navy,10,17,52,55
Navy,Temple,28,21,61,47
Temple,Navy,17,27,61,56
Navy,Temple,27,6,59,46
Temple,Navy,10,27,60,53
Navy,Temple,24,13,49,57
Temple,Navy,7,21,60,49
Navy,Temple,35,31,55,66
Temple,Navy,31,14,57,57
Navy,Temple,7,38,51,62
Temple,Navy,14,31,50,58
Navy,Temple,27,31,60,61
Temple,Navy,6,20,51,63
Navy,Temple,20,10,62,54
Temple,Navy,3,35,48,63
Navy,Temple,24,24,56,60
Temple,Navy,23,7,55,50
Navy,Temple,10,7,61,54
Temple,Navy,10,17,58,50
Navy,Temple,24,7,59,53
Temple,Navy,0,3,57,55
Navy,Temple,28,0,56,57
Temple,Navy,7,27,50,63
Navy,Temple,35,17,65,52
Temple,Navy,10,13,65,47
Navy,Temple,14,10,52,57
Temple,Navy,21,24,55,53
Navy,Temple,6,10,51,58
Temple,Navy,17,28,61,52
Navy,Temple,28,10,59,57
Temple,Navy,28,20,49,67
Navy,Temple,23,17,61,50
Temple,Navy,31,13,59,50
Navy,Temple,20,17,57,50
Temple,Navy,17,28,61,55
Navy,Temple,35,14,54,59
Temple,Navy,7,35,52,60
Navy,Temple,3,17,50,56
Temple,Navy,17,28,60,53
Navy,Temple,31,10,53,62
Temple,Navy,7,27,61,45
Navy,Temple,20,14,60,51
Temple,Navy,6,13,49,57
Navy,Temple,10,23,57,56
Temple,Navy,14,31,51,59
Navy,Temple,31,14,68,45
Temple,Navy,10,35,48,61
Navy,Temple,20,20,57,57
Temple,Navy,17,34,60,56
Navy,Temple,37,6,67,46
Temple,Navy,6,13,53,54
Navy,Temple,31,3,54,59
Temple,Navy,14,27,48,63
Navy,Temple,21,7,61,49
Temple,Navy,14,14,60,51
Navy,Temple,49,7,59,48
Temple,Navy,20,31,53,57
Navy,Temple,24,17,66,45
Temple,Navy,27,24,64,56
Navy,Temple,24,6,53,57
Temple,Navy,7,30,44,62
Navy,Temple,28,17,55,55
Temple,Navy,14,34,56,63
Navy,Temple,42,13,58,59
Temple,Navy,24,14,54,60
Navy,Temple,24,17,62,54
Temple,Navy,10,28,55,57
Navy,Temple,24,3,55,60
Temple,Navy,24,31,58,56
Navy,Temple,14,13,52,57
Temple,Navy,3,26,46,67
Navy,Temple,27,10,65,45
Temple,Navy,13,28,62,51
Navy,Temple,20,14,61,52
Temple,Navy,14,10,52,58
Navy,Temple,31,20,68,49
Temple,Navy,3,35,53,58
Navy,Temple,27,7,60,52
Temple,Navy,9,20,60,51
Navy,Temple,24,14,65,39
Temple,Navy,10,10,56,48
Navy,Temple,24,7,68,38
Temple,Navy,13,21,55,59
Navy,Temple,28,10,56,56
Temple,Navy,0,27,44,64
Navy,Temple,10,17,57,53
Temple,Navy,3,20,69,48
Navy,Temple,24,0,59,54
Temple,Navy,7,24,58,61
Navy,Temple,7,27,51,63
Temple,Navy,10,20,59,55
Navy,Temple,13,10,67,51
Temple,Navy,14,24,56,55
Navy,Temple,52,3,76,39
Temple,Navy,13,24,54,56
Navy,Temple,14,0,64,39
Temple,Navy,24,3,58,46
Navy,Temple,17,13,51,53
Temple,Navy,0,35,50,61
Navy,Temple,27,10,62,49
Temple,Navy,9,21,54,56
Navy,Temple,20,14,51,61
Temple,Navy,28,31,56,59
Navy,Temple,20,31,62,52
Temple,Navy,10,17,62,53
Navy,Temple,31,0,65,46
Temple,Navy,14,37,59,58
Navy,Temple,10,24,59,54
Temple,Navy,17,20,52,56
Navy,Temple,10,9,58,52
Temple,Navy,31,27,54,66
Navy,Temple,20,10,58,51
Temple,Navy,14,17,62,53
Navy,Temple,28,21,62,57
Temple,Navy,20,3,57,55
Navy,Temple,3,17,57,56
Temple,Navy,13,31,58,57
Navy,Temple,28,7,59,49
Temple,Navy,21,21,59,61
Navy,Temple,20,6,57,58
Temple,Navy,10,24,62,56
Navy,Temple,14,0,63,54
Temple,Navy,3,24,57,56
Navy,Temple,35,17,65,47
Temple,Navy,10,21,56,56
Navy,Temple,35,10,62,48
Temple,Navy,7,17,62,52
Navy,Temple,27,17,52,60
Temple,Navy,14,13,52,59
Navy,Temple,42,6,62,51
Temple,Navy,7,31,61,51
