team,opp,pts,opp_pts,plays,opp_plays
Texas,Oklahoma,24,7,61,65
Oklahoma,Texas,35,3,66,66
Texas,Oklahoma,16,21,75,52
Oklahoma,Texas,27,9,71,53
Texas,Oklahoma,10,24,67,65
Oklahoma,Texas,20,3,63,60
Texas,Oklahoma,17,7,61,67
Oklahoma,Texas,24,20,64,70
Texas,Oklahoma,6,35,66,72
Oklahoma,Texas,9,42,59,68
Texas,Oklahoma,14,10,66,57
Oklahoma,Texas,13,17,70,55
Texas,Oklahoma,17,28,66,65
Oklahoma,Texas,27,6,69,62
Texas,Oklahoma,6,21,64,59
Oklahoma,Texas,10,6,64,63
Texas,Oklahoma,24,20,69,64
Oklahoma,Texas,10,10,67,66
Texas,Oklahoma,28,14,64,69
Oklahoma,Texas,27,3,68,66
Texas,Oklahoma,23,14,77,54
Oklahoma,Texas,17,14,62,66
Texas,Oklahoma,12,14,68,61
Oklahoma,Texas,34,17,69,57
Texas,Oklahoma,3,27,65,64
Oklahoma,Texas,28,13,56,72
Texas,Oklahoma,20,13,72,62
Oklahoma,Texas,10,17,72,56
Texas,Oklahoma,10,28,61,67
Oklahoma,Texas,10,14,70,57
Texas,Oklahoma,10,14,70,58
Oklahoma,Texas,17,10,72,58
Texas,Oklahoma,10,17,60,64
Oklahoma,Texas,20,6,74,61
Texas,Oklahoma,17,24,58,81
Oklahoma,Texas,24,6,70,58
Texas,Oklahoma,24,31,61,73
Oklahoma,Texas,31,10,73,55
Texas,Oklahoma,27,21,71,56
Oklahoma,Texas,27,9,67,64
Texas,Oklahoma,21,42,57,76
Oklahoma,Texas,35,10,64,69
Texas,Oklahoma,21,3,69,61
Oklahoma,Texas,10,19,66,61
Texas,Oklahoma,6,34,53,81
Oklahoma,Texas,37,7,81,45
Texas,Oklahoma,40,13,68,54
Oklahoma,Texas,20,14,77,56
Texas,Oklahoma,27,14,63,69
Oklahoma,Texas,20,17,61,64
Texas,Oklahoma,21,24,72,65
Oklahoma,Texas,10,13,74,53
Texas,Oklahoma,24,20,78,52
Oklahoma,Texas,20,17,66,59
Texas,Oklahoma,3,28,66,61
Oklahoma,Texas,21,21,64,63
Texas,Oklahoma,21,24,65,62
Oklahoma,Texas,34,14,72,56
Texas,Oklahoma,16,20,75,63
Oklahoma,Texas,34,7,78,56
Texas,Oklahoma,14,31,70,66
Oklahoma,Texas,17,31,72,61
Texas,Oklahoma,7,20,59,76
Oklahoma,Texas,27,13,69,61
Texas,Oklahoma,38,17,69,62
