team,opp,pts,opp_pts,plays,opp_plays
Texas A&M,Florida,10,17,55,59
Florida,Texas A&M,23,3,70,51
Texas A&M,Florida,52,3,72,49
Florida,Texas A&M,17,10,67,51
Texas A&M,Florida,28,7,59,61
Florida,Texas A&M,36,7,73,47
Texas A&M,Florida,24,14,71,58
Florida,Texas A&M,17,17,64,62
Texas A&M,Florida,44,21,60,65
Florida,Texas A&M,7,27,59,66
Texas A&M,Florida,3,24,58,66
Florida,Texas A&M,10,17,66,58
Texas A&M,Florida,20,0,66,54
Florida,Texas A&M,21,14,70,51
Texas A&M,Florida,14,0,63,55
Florida,Texas A&M,3,14,56,58
Texas A&M,Florida,21,7,60,61
Florida,Texas A&M,6,30,52,61
Texas A&M,Florida,34,6,68,46
Florida,Texas A&M,38,10,62,56
Texas A&M,Florida,12,23,60,59
Florida,Texas A&M,27,17,72,47
Texas A&M,Florida,28,16,64,67
Florida,Texas A&M,16,17,69,53
Texas A&M,Florida,17,17,56,65
Florida,Texas A&M,21,21,64,58
Texas A&M,Florida,24,20,64,60
Florida,Texas A&M,17,20,70,53
Texas A&M,Florida,24,24,60,66
Florida,Texas A&M,28,14,62,57
Texas A&M,Florida,42,20,62,59
Florida,Texas A&M,14,23,66,57
Texas A&M,Florida,10,7,57,62
Florida,Texas A&M,21,21,62,55
Texas A&M,Florida,17,10,65,63
Florida,Texas A&M,7,13,61,57
Texas A&M,Florida,6,13,63,56
Florida,Texas A&M,7,16,59,57
Texas A&M,Florida,21,14,65,59
Florida,Texas A&M,3,41,50,72
Texas A&M,Florida,38,17,54,72
Florida,Texas A&M,7,6,66,51
Texas A&M,Florida,3,23,62,64
Florida,Texas A&M,20,10,68,55
Texas A&M,Florida,6,24,66,60
Florida,Texas A&M,10,17,63,61
Texas A&M,Florida,17,21,55,58
Florida,Texas A&M,31,17,71,60
Texas A&M,Florida,34,13,72,51
Florida,Texas A&M,14,28,58,61
Texas A&M,Florida,24,7,73,49
Florida,Texas A&M,17,20,67,70
Texas A&M,Florida,24,7,64,52
Florida,Texas A&M,13,17,69,57
Texas A&M,Florida,7,24,48,71
Florida,Texas A&M,7,27,63,57
Texas A&M,Florida,17,20,65,69
Florida,Texas A&M,24,10,62,73
Texas A&M,Florida,20,10,65,70
Florida,Texas A&M,17,17,69,48
Texas A&M,Florida,24,17,60,63
Florida,Texas A&M,7,42,59,63
Texas A&M,Florida,21,14,60,63
Florida,Texas A&M,27,21,52,73
Texas A&M,Florida,23,21,62,64
Florida,Texas A&M,13,27,64,64
Texas A&M,Florida,3,17,66,60
Florida,Texas A&M,0,31,56,62
Texas A&M,Florida,13,24,65,56
Florida,Texas A&M,17,27,69,55
Texas A&M,Florida,17,13,67,58
Florida,Texas A&M,10,14,61,60
Texas A&M,Florida,31,14,67,55
Florida,Texas A&M,10,10,71,48
Texas A&M,Florida,7,14,63,59
Florida,Texas A&M,14,27,58,66
Texas A&M,Florida,21,20,57,57
Florida,Texas A&M,10,19,59,58
Texas A&M,Florida,35,17,74,52
Florida,Texas A&M,24,10,63,55
Texas A&M,Florida,17,20,55,70
Florida,Texas A&M,17,10,65,57
Texas A&M,Florida,7,13,65,60
Florida,Texas A&M,10,17,64,54
Texas A&M,Florida,24,17,67,56
Florida,Texas A&M,7,23,57,73
Texas A&M,Florida,38,35,68,52
Florida,Texas A&M,13,45,60,59
Texas A&M,Florida,24,21,60,65
Florida,Texas A&M,7,28,56,62
Texas A&M,Florida,14,21,54,68
Florida,Texas A&M,24,17,69,55
Texas A&M,Florida,31,10,62,55
Florida,Texas A&M,7,13,58,62
Texas A&M,Florida,24,20,63,62
Florida,Texas A&M,24,21,68,53
Texas A&M,Florida,6,16,57,66
Florida,Texas A&M,10,14,63,58
Texas A&M,Florida,3,14,59,64
Florida,Texas A&M,28,7,66,49
Texas A&M,Florida,20,9,63,61
Florida,Texas A&M,0,20,55,61
Texas A&M,Florida,21,31,65,56
Florida,Texas A&M,17,7,54,61
Texas A&M,Florida,3,20,59,61
Florida,Texas A&M,14,34,53,70
Texas A&M,Florida,17,10,65,58
Florida,Texas A&M,35,26,61,59
Texas A&M,Florida,14,7,64,57
Florida,Texas A&M,7,35,59,61
Texas A&M,Florida,52,7,67,57
Florida,Texas A&M,7,34,60,70
Texas A&M,Florida,19,10,67,58
Florida,Texas A&M,27,24,54,67
Texas A&M,Florida,28,21,73,55
Florida,Texas A&M,17,13,74,46
Texas A&M,Florida,13,0,67,55
Florida,Texas A&M,10,37,54,74
Texas A&M,Florida,10,3,60,57
Florida,Texas A&M,45,6,70,53
Texas A&M,Florida,28,7,64,59
Florida,Texas A&M,20,0,74,46
Texas A&M,Florida,17,23,80,56
Florida,Texas A&M,27,13,62,59
Texas A&M,Florida,13,7,59,64
Florida,Texas A&M,16,6,61,64
Texas A&M,Florida,3,35,57,64
Florida,Texas A&M,14,35,56,62
Texas A&M,Florida,24,3,59,59
Florida,Texas A&M,3,31,68,53
Texas A&M,Florida,14,10,67,59
Florida,Texas A&M,17,23,56,60
Texas A&M,Florida,20,21,67,51
Florida,Texas A&M,24,7,59,64
Texas A&M,Florida,37,3,73,48
Florida,Texas A&M,13,34,61,59
Texas A&M,Florida,30,10,63,57
Florida,Texas A&M,7,23,47,64
Texas A&M,Florida,20,7,69,54
Florida,Texas A&M,24,28,57,66
Texas A&M,Florida,38,0,78,46
Florida,Texas A&M,20,21,63,56
Texas A&M,Florida,21,21,54,67
Florida,Texas A&M,16,20,60,59
Texas A&M,Florida,23,10,67,50
Florida,Texas A&M,17,27,64,64
Texas A&M,Florida,20,7,66,55
Florida,Texas A&M,3,10,59,69
Texas A&M,Florida,30,7,64,55
Florida,Texas A&M,10,12,63,65
Texas A&M,Florida,3,34,48,74
Florida,Texas A&M,20,10,57,59
Texas A&M,Florida,17,10,57,63
Florida,Texas A&M,20,17,62,57
Texas A&M,Florida,21,17,73,57
Florida,Texas A&M,14,34,64,57
Texas A&M,Florida,14,17,51,65
Florida,Texas A&M,10,17,56,64
Texas A&M,Florida,24,17,59,62
Florida,Texas A&M,7,28,60,64
Texas A&M,Florida,30,6,64,58
Florida,Texas A&M,10,16,63,56
Texas A&M,Florida,20,10,66,57
Florida,Texas A&M,20,13,69,55
Texas A&M,Florida,35,17,68,52
Florida,Texas A&M,6,20,54,63
Texas A&M,Florida,21,10,58,64
Florida,Texas A&M,0,20,57,60
Texas A&M,Florida,14,10,57,55
Florida,Texas A&M,0,45,57,65
Texas A&M,Florida,24,0,74,47
Florida,Texas A&M,7,35,54,70
Texas A&M,Florida,55,7,74,50
Florida,Texas A&M,3,13,57,66
Texas A&M,Florida,21,17,67,54
Florida,Texas A&M,7,28,63,57
Texas A&M,Florida,45,7,57,61
Florida,Texas A&M,10,28,60,60
Texas A&M,Florida,24,3,66,54
Florida,Texas A&M,10,13,52,67
Texas A&M,Florida,28,7,58,62
Florida,Texas A&M,17,20,65,61
Texas A&M,Florida,34,10,73,46
Florida,Texas A&M,13,24,65,55
Texas A&M,Florida,38,14,62,60
Florida,Texas A&M,3,27,53,63
Texas A&M,Florida,20,9,69,54
Florida,Texas A&M,21,0,62,54
Texas A&M,Florida,30,14,70,55
Florida,Texas A&M,10,34,55,66
Texas A&M,Florida,26,14,71,51
