sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Air Force,Wyoming,Liam Szarka,QB,23,18,201.6,2,0,6,0,0.0,0,0,0,0.0,0
16,A,Air Force,Wyoming,Liam Szarka,Rusher,0,0,0.0,0,0,0,12,61.0,1,0,0,0.0,0
16,A,Air Force,Wyoming,Christopher Frew,Rusher,0,0,0.0,0,0,0,7,35.0,0,0,0,0.0,0
16,A,Air Force,Wyoming,Owen Allen,Rusher,0,0,0.0,0,0,0,6,53.1,0,0,0,0.0,0
16,A,Air Force,Wyoming,Other RB,Rusher,0,0,0.0,0,0,0,8,53.7,0,0,0,0.0,0
16,A,Air Force,Wyoming,Dylan Carson,Rusher,0,0,0.0,0,0,0,4,3.0,0,0,0,0.0,0
16,A,Air Force,Wyoming,Terrence Gist,Rusher,0,0,0.0,0,0,0,6,24.4,0,0,0,0.0,0
16,A,Air Force,Wyoming,Kemper Hodges,Rusher,0,0,0.0,0,0,0,1,8.7,0,0,0,0.0,0
16,A,Air Force,Wyoming,Kaden Cloud,Rusher,0,0,0.0,0,0,0,1,3.8,0,0,0,0.0,0
16,A,Air Force,Wyoming,Tylor Latham,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Air Force,Wyoming,Cade Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,44.4,0
16,A,Air Force,Wyoming,Quin Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,81.4,0
16,A,Air Force,Wyoming,James Roberson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,3.3,0
16,A,Air Force,Wyoming,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,72.5,2
16,A,Air Force,Wyoming,Bruin Fleischmann,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Wyoming,Air Force,Kaden Anderson,QB,32,20,207.0,1,1,3,0,0.0,0,0,0,0.0,0
16,A,Wyoming,Air Force,Samuel Harris,Rusher,0,0,0.0,0,0,0,6,42.4,0,0,0,0.0,0
16,A,Wyoming,Air Force,Max White,Rusher,0,0,0.0,0,0,0,2,17.6,0,0,0,0.0,0
16,A,Wyoming,Air Force,Sam Scott,Rusher,0,0,0.0,0,0,0,11,-5.4,0,0,0,0.0,0
16,A,Wyoming,Air Force,Kaden Anderson,Rusher,0,0,0.0,0,0,0,3,-1.8,1,0,0,0.0,0
16,A,Wyoming,Air Force,Terron Kellman,Rusher,0,0,0.0,0,0,0,6,30.5,0,0,0,0.0,0
16,A,Wyoming,Air Force,Other RB,Rusher,0,0,0.0,0,0,0,3,8.8,0,0,0,0.0,0
16,A,Wyoming,Air Force,Landon Sims,Rusher,0,0,0.0,0,0,0,1,3.8,0,0,0,0.0,0
