sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Florida,Mississippi State,D.J. Lagway,QB,24,15,243.3,1,0,11,0,0.0,0,0,0,0.0,0
32,A,Florida,Mississippi State,Ja'Kobi Jackson,Rusher,0,0,0.0,0,0,0,10,30.1,0,0,0,0.0,0
32,A,Florida,Mississippi State,Jadan Baugh,Rusher,0,0,0.0,0,0,0,14,43.4,0,0,0,0.0,0
32,A,Florida,Mississippi State,D.J. Lagway,Rusher,0,0,0.0,0,0,0,10,35.6,0,0,0,0.0,0
32,A,Florida,Mississippi State,Other RB,Rusher,0,0,0.0,0,0,0,1,-0.0,0,0,0,0.0,0
32,A,Florida,Mississippi State,Duke Clark,Rusher,0,0,0.0,0,0,0,2,6.2,0,0,0,0.0,0
32,A,Florida,Mississippi State,Hayden Hansen,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,89.6,0
32,A,Florida,Mississippi State,Eugene Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,16.4,0
32,A,Florida,Mississippi State,Vernell Brown III,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,44.7,1
32,A,Florida,Mississippi State,J.Michael Sturdivant,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,51.8,0
32,A,Florida,Mississippi State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,25.5,0
32,A,Florida,Mississippi State,Tony Livingston,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,1.1,0
32,A,Florida,Mississippi State,Aidan Mizell,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.1,0
32,A,Mississippi State,Florida,Blake Shapen,QB,25,15,159.3,0,1,5,0,0.0,0,0,0,0.0,0
32,A,Mississippi State,Florida,Blake Shapen,Rusher,0,0,0.0,0,0,0,6,23.8,0,0,0,0.0,0
32,A,Mississippi State,Florida,Davon Booth,Rusher,0,0,0.0,0,0,0,8,16.6,0,0,0,0.0,0
32,A,Mississippi State,Florida,Fluff Bothwell,Rusher,0,0,0.0,0,0,0,13,52.7,1,0,0,0.0,0
32,A,Mississippi State,Florida,Johnnie Daniels,Rusher,0,0,0.0,0,0,0,1,3.5,0,0,0,0.0,0
32,A,Mississippi State,Florida,Kamario Taylor,Rusher,0,0,0.0,0,0,0,1,9.6,0,0,0,0.0,0
32,A,Mississippi State,Florida,Kolin Wilson,Rusher,0,0,0.0,0,0,0,2,13.9,0,0,0,0.0,0
32,A,Mississippi State,Florida,Brenen Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,50.5,0
32,A,Mississippi State,Florida,Anthony Evans III,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,17.1,0
32,A,Mississippi State,Florida,Markus Allen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.2,0
32,A,Mississippi State,Florida,Jordan Mosley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,49.6,0
32,A,Mississippi State,Florida,Seydou Traore,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,5.2,0
32,A,Mississippi State,Florida,Ayden Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Mississippi State,Florida,Max Reese,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,18.6,0
32,A,Mississippi State,Florida,Sanfrisco Magee,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Mississippi State,Florida,Cameron Ball,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Mississippi State,Florida,Ricky Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.0,0
33,B,Mississippi State,Florida,Blake Shapen,QB,23,14,117.2,0,0,3,0,0.0,0,0,0,0.0,0
33,B,Mississippi State,Florida,Davon Booth,Rusher,0,0,0.0,0,0,0,9,54.7,1,0,0,0.0,0
33,B,Mississippi State,Florida,Blake Shapen,Rusher,0,0,0.0,0,0,0,5,15.2,0,0,0,0.0,0
33,B,Mississippi State,Florida,Fluff Bothwell,Rusher,0,0,0.0,0,0,0,13,21.4,0,0,0,0.0,0
33,B,Mississippi State,Florida,Kamario Taylor,Rusher,0,0,0.0,0,0,0,2,10.4,0,0,0,0.0,0
33,B,Mississippi State,Florida,Johnnie Daniels,Rusher,0,0,0.0,0,0,0,1,4.0,0,0,0,0.0,0
33,B,Mississippi State,Florida,Kolin Wilson,Rusher,0,0,0.0,0,0,0,1,8.9,0,0,0,0.0,0
33,B,Mississippi State,Florida,Sanfrisco Magee,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
33,B,Mississippi State,Florida,Brenen Thompson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,0.0,0
33,B,Mississippi State,Florida,Anthony Evans III,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,65.1,0
33,B,Mississippi State,Florida,Ayden Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.3,0
33,B,Mississippi State,Florida,Max Reese,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,18.3,0
