sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,James Madison,Old Dominion,Alonza Barnett,QB,32,19,267.5,3,0,8,0,0.0,0,0,0,0.0,0
0,A,James Madison,Old Dominion,Matthew Sluka,Rusher,0,0,0.0,0,0,0,13,71.0,0,0,0,0.0,0
0,A,James Madison,Old Dominion,Wayne Knight,Rusher,0,0,0.0,0,0,0,7,38.9,0,0,0,0.0,0
0,A,James Madison,Old Dominion,Jordan Fuller,Rusher,0,0,0.0,0,0,0,10,32.8,0,0,0,0.0,0
0,A,James Madison,Old Dominion,Alonza Barnett,Rusher,0,0,0.0,0,0,0,4,25.0,0,0,0,0.0,0
0,A,James Madison,Old Dominion,Ayo Adeyi,Rusher,0,0,0.0,0,0,0,4,26.9,0,0,0,0.0,0
0,A,James Madison,Old Dominion,George Pettaway,Rusher,0,0,0.0,0,0,0,1,5.7,0,0,0,0.0,0
0,A,James Madison,Old Dominion,Nick DeGennaro,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,22.3,1
0,A,James Madison,Old Dominion,Lakota Dippre,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,20.7,0
0,A,James Madison,Old Dominion,Jaylan Sanchez,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,73.9,0
0,A,James Madison,Old Dominion,Michael Scott,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.3,0
0,A,James Madison,Old Dominion,Landon Ellis,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,63.8,1
0,A,James Madison,Old Dominion,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,58.7,1
0,A,James Madison,Old Dominion,Za'Ron Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,James Madison,Old Dominion,Braeden Wisloski,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,James Madison,Old Dominion,Logan Kyle,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.9,0
0,A,Old Dominion,James Madison,Colton Joseph,QB,34,22,172.4,1,0,6,0,0.0,0,0,0,0.0,0
0,A,Old Dominion,James Madison,Trequan Jones,Rusher,0,0,0.0,0,0,0,9,28.8,0,0,0,0.0,0
0,A,Old Dominion,James Madison,Colton Joseph,Rusher,0,0,0.0,0,0,0,5,35.8,0,0,0,0.0,0
0,A,Old Dominion,James Madison,Ke'Travion Hargrove,Rusher,0,0,0.0,0,0,0,2,18.9,0,0,0,0.0,0
0,A,Old Dominion,James Madison,Devin Roche,Rusher,0,0,0.0,0,0,0,2,-5.7,0,0,0,0.0,0
0,A,Old Dominion,James Madison,Maurki James,Rusher,0,0,0.0,0,0,0,4,20.7,0,0,0,0.0,0
0,A,Old Dominion,James Madison,Na'eem Abdul-Rahim Gladding,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,12.8,0
0,A,Old Dominion,James Madison,TJ Lott,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,45.8,0
0,A,Old Dominion,James Madison,Tre' Brown III,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
