sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Louisiana,Southern Miss,Walker Howard,QB,30,20,219.6,0,0,4,0,0.0,0,0,0,0.0,0
0,A,Louisiana,Southern Miss,Bill Davis,Rusher,0,0,0.0,0,0,0,16,42.2,1,0,0,0.0,0
0,A,Louisiana,Southern Miss,D'Wayne' Winfield,Rusher,0,0,0.0,0,0,0,2,-0.9,0,0,0,0.0,0
0,A,Louisiana,Southern Miss,Steven Blanco,Rusher,0,0,0.0,0,0,0,7,30.7,0,0,0,0.0,0
0,A,Louisiana,Southern Miss,Zylan Perry,Rusher,0,0,0.0,0,0,0,17,71.7,2,0,0,0.0,0
0,A,Louisiana,Southern Miss,Walker Howard,Rusher,0,0,0.0,0,0,0,12,83.2,0,0,0,0.0,0
0,A,Louisiana,Southern Miss,Daniel Beale,Rusher,0,0,0.0,0,0,0,1,-4.0,0,0,0,0.0,0
0,A,Louisiana,Southern Miss,Charles Robertson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,27.1,0
0,A,Louisiana,Southern Miss,Caden Jensen,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,4.0,0
0,A,Louisiana,Southern Miss,Shelton Sampson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,62.1,0
0,A,Louisiana,Southern Miss,Landon Baptiste,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,19.3,0
0,A,Louisiana,Southern Miss,Jaydon Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,23.1,0
0,A,Louisiana,Southern Miss,Kedarius Wade,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.0,0
0,A,Louisiana,Southern Miss,Rahji Dennis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,4.1,0
0,A,Louisiana,Southern Miss,Robert Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,39.8,0
