sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,New Mexico,Nevada,Jack Layne,QB,37,26,344.3,0,0,1,0,0.0,0,0,0,0.0,0
32,A,New Mexico,Nevada,Damon Bankston,Rusher,0,0,0.0,0,0,0,5,21.0,0,0,0,0.0,0
32,A,New Mexico,Nevada,Scottre Humphrey,Rusher,0,0,0.0,0,0,0,13,26.8,2,0,0,0.0,0
32,A,New Mexico,Nevada,DJ McKinney,Rusher,0,0,0.0,0,0,0,15,67.5,2,0,0,0.0,0
32,A,New Mexico,Nevada,Jack Layne,Rusher,0,0,0.0,0,0,0,1,1.2,0,0,0,0.0,0
32,A,New Mexico,Nevada,Zhaiel Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,68.4,0
32,A,New Mexico,Nevada,Shawn Miller,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,8,53.7,0
32,A,New Mexico,Nevada,Dorian Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,36.3,0
32,A,New Mexico,Nevada,Keagan Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,56.2,0
32,A,New Mexico,Nevada,Simon Mapa,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,26.2,0
32,A,New Mexico,Nevada,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,55.9,0
32,A,New Mexico,Nevada,Michael Buckley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,39.8,0
32,A,New Mexico,Nevada,Cade Keith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.8,0
32,A,Nevada,New Mexico,Chubba Purdy,QB,31,18,245.1,1,0,8,0,0.0,0,0,0,0.0,0
32,A,Nevada,New Mexico,Dominic Kelley,Rusher,0,0,0.0,0,0,0,1,3.1,0,0,0,0.0,0
32,A,Nevada,New Mexico,Ky Woods,Rusher,0,0,0.0,0,0,0,2,9.4,0,0,0,0.0,0
32,A,Nevada,New Mexico,Herschel Turner,Rusher,0,0,0.0,0,0,0,5,6.2,0,0,0,0.0,0
32,A,Nevada,New Mexico,Chubba Purdy,Rusher,0,0,0.0,0,0,0,11,1.8,0,0,0,0.0,0
32,A,Nevada,New Mexico,Ashton Hayes,Rusher,0,0,0.0,0,0,0,1,4.2,0,0,0,0.0,0
32,A,Nevada,New Mexico,Caleb Ramseur,Rusher,0,0,0.0,0,0,0,5,32.5,0,0,0,0.0,0
32,A,Nevada,New Mexico,Nate Burleson II,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,35.3,0
32,A,Nevada,New Mexico,Jett Carpenter,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,50.2,0
32,A,Nevada,New Mexico,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,12.7,0
32,A,Nevada,New Mexico,Marcus Bellon,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,7,84.6,1
32,A,Nevada,New Mexico,Nate Floyd,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,12.0,0
32,A,Nevada,New Mexico,Jordan Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,36.5,0
32,A,Nevada,New Mexico,Jace Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.8,0
32,A,Nevada,New Mexico,Dakota Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
33,B,Nevada,New Mexico,Chubba Purdy,QB,22,15,174.4,1,0,9,0,0.0,0,0,0,0.0,0
33,B,Nevada,New Mexico,Chubba Purdy,Rusher,0,0,0.0,0,0,0,9,1.2,0,0,0,0.0,0
33,B,Nevada,New Mexico,Herschel Turner,Rusher,0,0,0.0,0,0,0,9,20.5,0,0,0,0.0,0
33,B,Nevada,New Mexico,Dominic Kelley,Rusher,0,0,0.0,0,0,0,3,9.4,0,0,0,0.0,0
33,B,Nevada,New Mexico,Caleb Ramseur,Rusher,0,0,0.0,0,0,0,7,29.4,0,0,0,0.0,0
33,B,Nevada,New Mexico,AJ Bianco,Rusher,0,0,0.0,0,0,0,3,11.6,0,0,0,0.0,0
33,B,Nevada,New Mexico,Ashton Hayes,Rusher,0,0,0.0,0,0,0,1,5.1,0,0,0,0.0,0
33,B,Nevada,New Mexico,Jordan Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,76.7,1
33,B,Nevada,New Mexico,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,16.0,0
33,B,Nevada,New Mexico,Marcus Bellon,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,39.2,0
33,B,Nevada,New Mexico,Nate Floyd,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Nevada,New Mexico,Dakota Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.8,0
33,B,Nevada,New Mexico,Jace Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,28.9,0
33,B,Nevada,New Mexico,Jett Carpenter,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,9.8,0
33,B,New Mexico,Nevada,Jack Layne,QB,31,21,207.6,1,0,4,0,0.0,0,0,0,0.0,0
33,B,New Mexico,Nevada,Deshaun Buchanan,Rusher,0,0,0.0,0,0,0,2,0.5,0,0,0,0.0,0
33,B,New Mexico,Nevada,James Laubstein,Rusher,0,0,0.0,0,0,0,3,28.4,0,0,0,0.0,0
33,B,New Mexico,Nevada,Scottre Humphrey,Rusher,0,0,0.0,0,0,0,15,44.3,1,0,0,0.0,0
33,B,New Mexico,Nevada,Damon Bankston,Rusher,0,0,0.0,0,0,0,11,29.9,0,0,0,0.0,0
33,B,New Mexico,Nevada,DJ McKinney,Rusher,0,0,0.0,0,0,0,3,12.0,0,0,0,0.0,0
33,B,New Mexico,Nevada,Jack Layne,Rusher,0,0,0.0,0,0,0,1,-1.7,0,0,0,0.0,0
