sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Oklahoma State,Cincinnati,Zane Flores,QB,27,18,155.0,1,0,3,0,0.0,0,0,0,0.0,0
32,A,Oklahoma State,Cincinnati,Rodney Fields Jr.,Rusher,0,0,0.0,0,0,0,9,35.2,0,0,0,0.0,0
32,A,Oklahoma State,Cincinnati,Kalib Hicks,Rusher,0,0,0.0,0,0,0,6,38.8,0,0,0,0.0,0
32,A,Oklahoma State,Cincinnati,Sesi Vailahi,Rusher,0,0,0.0,0,0,0,2,1.6,0,0,0,0.0,0
32,A,Oklahoma State,Cincinnati,Trenten Howland,Rusher,0,0,0.0,0,0,0,9,51.2,0,0,0,0.0,0
32,A,Oklahoma State,Cincinnati,Freddie Brock,Rusher,0,0,0.0,0,0,0,5,22.0,0,0,0,0.0,0
32,A,Oklahoma State,Cincinnati,Zane Flores,Rusher,0,0,0.0,0,0,0,3,-3.9,0,0,0,0.0,0
32,A,Oklahoma State,Cincinnati,Gavin Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,3.6,1
32,A,Oklahoma State,Cincinnati,Da'Wain Lofton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Oklahoma State,Cincinnati,Christian Fitzpatrick,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,7.1,0
32,A,Oklahoma State,Cincinnati,Josh Ford,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,16.8,0
32,A,Oklahoma State,Cincinnati,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,21.2,0
32,A,Oklahoma State,Cincinnati,Terrill Davis,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,6.0,0
32,A,Oklahoma State,Cincinnati,Shamar Rigby,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,19.5,0
32,A,Oklahoma State,Cincinnati,Sam Jackson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,71.3,0
32,A,Oklahoma State,Cincinnati,Cam Abshire,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Oklahoma State,Cincinnati,Will Monney,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,9.6,0
32,A,Cincinnati,Oklahoma State,Brendan Sorsby,QB,35,23,295.0,2,0,1,0,0.0,0,0,0,0.0,0
32,A,Cincinnati,Oklahoma State,Evan Pryor,Rusher,0,0,0.0,0,0,0,7,46.0,0,0,0,0.0,0
32,A,Cincinnati,Oklahoma State,Tawee Walker,Rusher,0,0,0.0,0,0,0,11,68.9,0,0,0,0.0,0
32,A,Cincinnati,Oklahoma State,Chance Williams,Rusher,0,0,0.0,0,0,0,3,-3.3,0,0,0,0.0,0
32,A,Cincinnati,Oklahoma State,Brendan Sorsby,Rusher,0,0,0.0,0,0,0,19,75.9,1,0,0,0.0,0
32,A,Cincinnati,Oklahoma State,Manny Covey,Rusher,0,0,0.0,0,0,0,2,2.8,0,0,0,0.0,0
32,A,Cincinnati,Oklahoma State,Caleb Goodie,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,23.8,0
32,A,Cincinnati,Oklahoma State,Jeff Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,82.5,1
32,A,Cincinnati,Oklahoma State,Cyrus Allen,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,38.7,0
32,A,Cincinnati,Oklahoma State,Patrick Gurd,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Cincinnati,Oklahoma State,Noah Jennings,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,5,54.7,0
32,A,Cincinnati,Oklahoma State,Isaiah Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,49.1,1
32,A,Cincinnati,Oklahoma State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,22.5,0
32,A,Cincinnati,Oklahoma State,Joe Royer,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.7,0
32,A,Cincinnati,Oklahoma State,Gavin Grover,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.1,0
