sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,UCLA,Maryland,Nico Iamaleava,QB,30,18,134.1,0,0,4,0,0.0,0,0,0,0.0,0
32,A,UCLA,Maryland,Nico Iamaleava,Rusher,0,0,0.0,0,0,0,9,39.2,0,0,0,0.0,0
32,A,UCLA,Maryland,Jaivian Thomas,Rusher,0,0,0.0,0,0,0,7,25.0,0,0,0,0.0,0
32,A,UCLA,Maryland,Jalen Berger,Rusher,0,0,0.0,0,0,0,4,18.0,0,0,0,0.0,0
32,A,UCLA,Maryland,Anthony Woods,Rusher,0,0,0.0,0,0,0,3,1.9,0,0,0,0.0,0
32,A,UCLA,Maryland,Mikey Matthews,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,21.5,0
32,A,UCLA,Maryland,Kwazi Gilmer,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,33.5,0
32,A,UCLA,Maryland,Ezavier Staples,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,26.3,0
32,A,UCLA,Maryland,Rico Flores,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,9.3,0
32,A,UCLA,Maryland,Jaedon Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,13.1,0
32,A,UCLA,Maryland,Noah Fox-Flores,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,UCLA,Maryland,Titus Mokiao-Atimalala,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,30.4,0
32,A,UCLA,Maryland,Jack Pedersen,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Maryland,UCLA,Malik Washington,QB,26,18,257.3,2,0,2,0,0.0,0,0,0,0.0,0
32,A,Maryland,UCLA,DeJuan Williams,Rusher,0,0,0.0,0,0,0,24,86.0,2,0,0,0.0,0
32,A,Maryland,UCLA,Malik Washington,Rusher,0,0,0.0,0,0,0,3,22.1,0,0,0,0.0,0
32,A,Maryland,UCLA,Iverson Howard,Rusher,0,0,0.0,0,0,0,5,15.5,0,0,0,0.0,0
32,A,Maryland,UCLA,Nolan Ray,Rusher,0,0,0.0,0,0,0,12,51.0,0,0,0,0.0,0
32,A,Maryland,UCLA,Kaleb Webb,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.7,0
32,A,Maryland,UCLA,Ryan Manning,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,37.7,1
32,A,Maryland,UCLA,Shaleak Knotts,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,76.3,0
32,A,Maryland,UCLA,Jalil Farooq,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,78.2,1
32,A,Maryland,UCLA,AJ Szymanski,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.3,0
32,A,Maryland,UCLA,Octavian Smith Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,6.7,0
32,A,Maryland,UCLA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,19.5,0
32,A,Maryland,UCLA,Dorian Fleming,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,5.7,0
32,A,Maryland,UCLA,Leon Haughton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.0,0
33,B,Maryland,UCLA,Malik Washington,QB,34,25,255.0,0,0,5,0,0.0,0,0,0,0.0,0
33,B,Maryland,UCLA,Iverson Howard,Rusher,0,0,0.0,0,0,0,7,34.3,1,0,0,0.0,0
33,B,Maryland,UCLA,DeJuan Williams,Rusher,0,0,0.0,0,0,0,13,18.1,1,0,0,0.0,0
33,B,Maryland,UCLA,Nolan Ray,Rusher,0,0,0.0,0,0,0,9,30.3,1,0,0,0.0,0
33,B,Maryland,UCLA,Malik Washington,Rusher,0,0,0.0,0,0,0,3,20.6,0,0,0,0.0,0
33,B,Maryland,UCLA,Kaleb Webb,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,21.2,0
33,B,Maryland,UCLA,Dorian Fleming,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,36.3,0
33,B,Maryland,UCLA,Shaleak Knotts,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,37.0,0
33,B,Maryland,UCLA,Leon Haughton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.7,0
33,B,Maryland,UCLA,AJ Szymanski,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,1.0,0
33,B,Maryland,UCLA,Jalil Farooq,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,6,63.9,0
33,B,Maryland,UCLA,Octavian Smith Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,42.9,0
33,B,Maryland,UCLA,Ryan Manning,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,11.3,0
33,B,Maryland,UCLA,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,25.7,0
33,B,UCLA,Maryland,Nico Iamaleava,QB,27,21,217.6,0,0,4,0,0.0,0,0,0,0.0,0
33,B,UCLA,Maryland,Anthony Woods,Rusher,0,0,0.0,0,0,0,9,37.0,1,0,0,0.0,0
33,B,UCLA,Maryland,Nico Iamaleava,Rusher,0,0,0.0,0,0,0,8,34.3,1,0,0,0.0,0
33,B,UCLA,Maryland,Jalen Berger,Rusher,0,0,0.0,0,0,0,4,16.8,1,0,0,0.0,0
33,B,UCLA,Maryland,Jaivian Thomas,Rusher,0,0,0.0,0,0,0,4,29.7,0,0,0,0.0,0
33,B,UCLA,Maryland,Other RB,Rusher,0,0,0.0,0,0,0,1,7.1,0,0,0,0.0,0
33,B,UCLA,Maryland,Titus Mokiao-Atimalala,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,48.3,0
33,B,UCLA,Maryland,Rico Flores,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,48.9,0
33,B,UCLA,Maryland,Kwazi Gilmer,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,77.8,0
33,B,UCLA,Maryland,Noah Fox-Flores,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.1,0
33,B,UCLA,Maryland,Mikey Matthews,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,27.3,0
33,B,UCLA,Maryland,Jaedon Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,2.0,0
33,B,UCLA,Maryland,Hudson Habermehl,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,UCLA,Maryland,Nico Iamaleava,QB,25,17,173.9,0,0,10,0,0.0,0,0,0,0.0,0
34,A,UCLA,Maryland,Nico Iamaleava,Rusher,0,0,0.0,0,0,0,11,35.8,0,0,0,0.0,0
34,A,UCLA,Maryland,Anthony Woods,Rusher,0,0,0.0,0,0,0,8,31.2,0,0,0,0.0,0
34,A,UCLA,Maryland,Other RB,Rusher,0,0,0.0,0,0,0,1,6.3,0,0,0,0.0,0
34,A,UCLA,Maryland,Jalen Berger,Rusher,0,0,0.0,0,0,0,2,2.5,0,0,0,0.0,0
34,A,UCLA,Maryland,Jaivian Thomas,Rusher,0,0,0.0,0,0,0,3,7.0,1,0,0,0.0,0
