sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
16,A,Virginia,Washington State,Chandler Morris,QB,38,23,204.1,1,0,4,0,0.0,0,0,0,0.0,0
16,A,Virginia,Washington State,Xavier Brown,Rusher,0,0,0.0,0,0,0,8,59.2,1,0,0,0.0,0
16,A,Virginia,Washington State,Chandler Morris,Rusher,0,0,0.0,0,0,0,3,18.4,0,0,0,0.0,0
16,A,Virginia,Washington State,J'mari Taylor,Rusher,0,0,0.0,0,0,0,7,27.0,0,0,0,0.0,0
16,A,Virginia,Washington State,Noah Vaughn,Rusher,0,0,0.0,0,0,0,5,20.5,0,0,0,0.0,0
16,A,Virginia,Washington State,Harrison Waylee,Rusher,0,0,0.0,0,0,0,7,45.9,0,0,0,0.0,0
16,A,Virginia,Washington State,Trell Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,11,51.1,0
16,A,Virginia,Washington State,Cameron Ross,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,15.9,0
16,A,Virginia,Washington State,Jayden Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Virginia,Washington State,Kameron Courtney,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,50.1,1
16,A,Virginia,Washington State,Dakota Twitty,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,19.0,0
16,A,Virginia,Washington State,Eli Wood,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
16,A,Virginia,Washington State,John Rogers,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,35.7,0
16,A,Virginia,Washington State,Isaiah Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.3,0
16,A,Virginia,Washington State,Jahmal Edrine,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,10.7,0
16,A,Virginia,Washington State,Josiah Abdullah,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
16,A,Virginia,Washington State,Suderian Harrison,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,15.4,0
16,A,Washington State,Virginia,Zevi Eckhaus,QB,27,19,192.1,2,0,3,0,0.0,0,0,0,0.0,0
16,A,Washington State,Virginia,Angel Johnson,Rusher,0,0,0.0,0,0,0,10,32.7,0,0,0,0.0,0
16,A,Washington State,Virginia,Leo Pulalasi,Rusher,0,0,0.0,0,0,0,3,17.9,0,0,0,0.0,0
16,A,Washington State,Virginia,Zevi Eckhaus,Rusher,0,0,0.0,0,0,0,6,45.4,0,0,0,0.0,0
16,A,Washington State,Virginia,Kirby Vorhees,Rusher,0,0,0.0,0,0,0,9,33.8,0,0,0,0.0,0
16,A,Washington State,Virginia,Julian Dugger,Rusher,0,0,0.0,0,0,0,4,8.4,0,0,0,0.0,0
16,A,Washington State,Virginia,Jaxon Potter,Rusher,0,0,0.0,0,0,0,1,-2.9,0,0,0,0.0,0
16,A,Washington State,Virginia,Jeremiah Noga,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,26.5,1
16,A,Washington State,Virginia,Devin Ellison,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,28.2,1
16,A,Washington State,Virginia,Josh Meredith,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,32.2,0
16,A,Washington State,Virginia,Ademola Faleye,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,29.6,0
16,A,Washington State,Virginia,Tony Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,16.5,0
16,A,Washington State,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.9,0
16,A,Washington State,Virginia,Trey Leckner,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,12.1,0
16,A,Washington State,Virginia,Leon Neal Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.0,0
16,A,Washington State,Virginia,Carter Pabst,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Washington State,Virginia,Leyton Smithson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
16,A,Washington State,Virginia,Landon Wright,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.4,0
16,A,Washington State,Virginia,Beau Baker,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.6,0
17,B,Washington State,Virginia,Zevi Eckhaus,QB,30,19,205.5,0,0,7,0,0.0,0,0,0,0.0,0
17,B,Washington State,Virginia,Kirby Vorhees,Rusher,0,0,0.0,0,0,0,4,4.1,0,0,0,0.0,0
17,B,Washington State,Virginia,Jaxon Potter,Rusher,0,0,0.0,0,0,0,3,9.0,0,0,0,0.0,0
17,B,Washington State,Virginia,Angel Johnson,Rusher,0,0,0.0,0,0,0,8,31.7,0,0,0,0.0,0
17,B,Washington State,Virginia,Julian Dugger,Rusher,0,0,0.0,0,0,0,4,7.9,0,0,0,0.0,0
17,B,Washington State,Virginia,Zevi Eckhaus,Rusher,0,0,0.0,0,0,0,8,26.2,1,0,0,0.0,0
17,B,Washington State,Virginia,Leo Pulalasi,Rusher,0,0,0.0,0,0,0,1,6.0,0,0,0,0.0,0
17,B,Washington State,Virginia,Josh Meredith,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,32.7,0
17,B,Washington State,Virginia,Ademola Faleye,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
17,B,Washington State,Virginia,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,45.4,0
17,B,Washington State,Virginia,Trey Leckner,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
17,B,Washington State,Virginia,Tony Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
17,B,Washington State,Virginia,Landon Wright,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,21.1,0
17,B,Washington State,Virginia,Jeremiah Noga,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,30.6,0
17,B,Washington State,Virginia,Branden Ganashamoorthy,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.5,0
17,B,Washington State,Virginia,Leyton Smithson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,33.7,0
17,B,Washington State,Virginia,Carter Pabst,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.4,0
17,B,Washington State,Virginia,Devin Ellison,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Washington State,Virginia,Leon Neal Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
17,B,Virginia,Washington State,Chandler Morris,QB,34,21,250.5,3,0,1,0,0.0,0,0,0,0.0,0
17,B,Virginia,Washington State,Xavier Brown,Rusher,0,0,0.0,0,0,0,8,67.3,1,0,0,0.0,0
