team,opp,pts,opp_pts,plays,opp_plays
Ball State,Akron,17,28,69,76
Akron,Ball State,17,17,59,73
Ball State,Akron,24,21,75,69
Akron,Ball State,31,17,76,73
Ball State,Akron,17,14,70,68
Akron,Ball State,17,13,73,75
Ball State,Akron,3,24,65,71
Akron,Ball State,13,21,83,62
Ball State,Akron,10,31,72,69
Akron,Ball State,10,14,74,62
Ball State,Akron,14,30,62,75
Akron,Ball State,16,34,64,73
Ball State,Akron,19,13,76,67
Akron,Ball State,27,21,76,63
Ball State,Akron,24,7,73,60
Akron,Ball State,20,14,76,64
Ball State,Akron,13,38,69,71
Akron,Ball State,28,7,72,67
Ball State,Akron,28,13,75,62
Akron,Ball State,16,23,80,67
Ball State,Akron,27,10,75,61
Akron,Ball State,35,14,77,63
Ball State,Akron,10,35,67,69
Akron,Ball State,34,3,82,63
Ball State,Akron,17,45,64,88
Akron,Ball State,21,28,73,64
Ball State,Akron,21,31,69,67
Akron,Ball State,10,27,57,82
Ball State,Akron,10,7,75,62
Akron,Ball State,24,17,64,70
Ball State,Akron,27,21,76,68
Akron,Ball State,24,21,59,80
Ball State,Akron,17,31,71,85
Akron,Ball State,20,17,65,66
Ball State,Akron,21,23,69,79
Akron,Ball State,13,27,56,73
Ball State,Akron,27,35,72,70
Akron,Ball State,27,13,73,71
Ball State,Akron,10,48,72,72
Akron,Ball State,17,7,67,68
Ball State,Akron,7,27,69,75
Akron,Ball State,23,14,70,75
Ball State,Akron,27,21,74,53
Akron,Ball State,17,12,65,71
Ball State,Akron,17,21,76,61
Akron,Ball State,27,24,81,66
Ball State,Akron,6,24,67,71
Akron,Ball State,20,10,72,68
Ball State,Akron,17,13,75,55
Akron,Ball State,31,35,73,71
Ball State,Akron,24,10,72,61
Akron,Ball State,12,31,75,66
Ball State,Akron,7,13,63,70
Akron,Ball State,20,17,68,82
Ball State,Akron,20,14,71,70
Akron,Ball State,24,17,64,78
Ball State,Akron,17,38,72,77
Akron,Ball State,13,31,65,83
Ball State,Akron,16,45,63,81
Akron,Ball State,0,21,72,67
Ball State,Akron,7,24,66,77
Akron,Ball State,7,20,62,76
Ball State,Akron,7,49,70,72
Akron,Ball State,17,20,95,57
Ball State,Akron,10,31,69,75
Akron,Ball State,24,14,65,72
Ball State,Akron,12,20,74,66
Akron,Ball State,24,16,66,84
Ball State,Akron,28,20,75,64
Akron,Ball State,17,20,68,66
Ball State,Akron,21,28,71,74
Akron,Ball State,20,14,84,60
Ball State,Akron,17,21,71,58
Akron,Ball State,13,10,64,79
Ball State,Akron,14,37,72,74
Akron,Ball State,17,6,67,67
Ball State,Akron,21,20,76,70
Akron,Ball State,63,6,80,58
Ball State,Akron,17,28,70,64
Akron,Ball State,24,24,65,67
Ball State,Akron,23,13,77,63
Akron,Ball State,27,14,78,68
Ball State,Akron,20,24,79,68
Akron,Ball State,30,7,72,69
Ball State,Akron,16,20,85,66
Akron,Ball State,31,14,73,69
Ball State,Akron,21,12,73,56
Akron,Ball State,14,10,68,67
Ball State,Akron,21,16,67,68
Akron,Ball State,26,24,81,69
Ball State,Akron,16,24,71,65
Akron,Ball State,31,20,69,69
Ball State,Akron,7,35,66,84
Akron,Ball State,20,10,77,69
Ball State,Akron,24,17,67,71
Akron,Ball State,24,20,74,75
Ball State,Akron,14,13,68,78
Akron,Ball State,21,34,57,73
Ball State,Akron,13,20,71,71
Akron,Ball State,42,21,87,70
Ball State,Akron,20,17,76,66
Akron,Ball State,17,27,91,56
Ball State,Akron,30,17,75,78
Akron,Ball State,3,26,69,69
Ball State,Akron,21,35,83,62
Akron,Ball State,31,17,75,67
Ball State,Akron,31,28,74,77
Akron,Ball State,20,10,57,86
Ball State,Akron,7,10,61,67
Akron,Ball State,47,7,76,55
Ball State,Akron,14,38,51,87
Akron,Ball State,10,13,69,74
Ball State,Akron,21,31,77,62
Akron,Ball State,24,17,74,75
Ball State,Akron,17,22,71,72
Akron,Ball State,48,10,77,78
Ball State,Akron,20,24,83,62
Akron,Ball State,21,10,88,67
Ball State,Akron,10,37,58,86
Akron,Ball State,27,0,74,68
Ball State,Akron,10,28,78,65
Akron,Ball State,14,34,66,74
Ball State,Akron,10,21,73,66
Akron,Ball State,20,13,69,65
Ball State,Akron,14,13,68,67
Akron,Ball State,24,37,64,72
Ball State,Akron,17,13,66,65
Akron,Ball State,9,31,61,72
Ball State,Akron,23,13,76,67
Akron,Ball State,19,9,71,76
Ball State,Akron,9,9,72,53
Akron,Ball State,24,12,71,65
Ball State,Akron,21,17,68,66
Akron,Ball State,14,26,65,73
Ball State,Akron,0,21,66,72
Akron,Ball State,6,3,64,68
Ball State,Akron,41,37,74,71
Akron,Ball State,14,17,72,71
Ball State,Akron,20,10,66,66
Akron,Ball State,10,28,72,68
Ball State,Akron,14,17,68,75
Akron,Ball State,42,21,74,70
Ball State,Akron,21,45,70,77
Akron,Ball State,20,17,68,78
Ball State,Akron,17,13,82,54
Akron,Ball State,42,16,76,68
Ball State,Akron,7,30,64,79
Akron,Ball State,13,7,89,57
Ball State,Akron,19,21,82,50
Akron,Ball State,31,13,73,75
Ball State,Akron,20,14,73,70
Akron,Ball State,24,10,77,65
Ball State,Akron,24,13,71,51
Akron,Ball State,10,14,74,62
Ball State,Akron,13,24,73,68
Akron,Ball State,38,10,74,70
Ball State,Akron,17,16,57,83
Akron,Ball State,27,3,79,66
Ball State,Akron,6,17,87,61
Akron,Ball State,41,3,81,68
Ball State,Akron,20,14,67,62
Akron,Ball State,13,13,78,60
Ball State,Akron,28,17,79,62
Akron,Ball State,28,10,64,73
Ball State,Akron,10,10,62,69
Akron,Ball State,48,13,95,62
Ball State,Akron,20,17,81,51
Akron,Ball State,31,20,83,60
Ball State,Akron,20,28,73,69
Akron,Ball State,14,17,65,69
Ball State,Akron,14,13,65,73
Akron,Ball State,31,13,75,65
Ball State,Akron,14,38,70,68
Akron,Ball State,17,31,68,65
Ball State,Akron,41,7,81,60
Akron,Ball State,24,24,74,77
Ball State,Akron,13,21,80,62
Akron,Ball State,27,10,68,80
Ball State,Akron,10,13,66,84
Akron,Ball State,38,24,76,73
Ball State,Akron,3,25,68,79
Akron,Ball State,45,14,86,61
Ball State,Akron,31,17,83,56
Akron,Ball State,17,34,69,65
Ball State,Akron,20,28,67,68
Akron,Ball State,41,14,85,63
Ball State,Akron,3,16,69,74
Akron,Ball State,7,31,74,73
Ball State,Akron,13,16,81,65
Akron,Ball State,21,17,78,66
Ball State,Akron,35,21,69,62
Akron,Ball State,31,24,68,78
Ball State,Akron,31,28,66,82
Akron,Ball State,35,14,75,76
Ball State,Akron,6,31,71,70
Akron,Ball State,23,21,70,72
Ball State,Akron,20,13,73,74
Akron,Ball State,24,19,72,75
Ball State,Akron,13,13,63,71
Akron,Ball State,24,13,70,71
Ball State,Akron,28,20,70,68
Akron,Ball State,28,27,78,71
Ball State,Akron,3,10,65,74
Akron,Ball State,10,17,62,71
Ball State,Akron,35,13,72,70
Akron,Ball State,10,20,69,68
Ball State,Akron,12,27,80,60
Akron,Ball State,7,31,73,65
Ball State,Akron,31,7,76,73
Akron,Ball State,9,27,58,73
Ball State,Akron,21,20,80,74
Akron,Ball State,45,7,72,69
Ball State,Akron,13,14,81,57
Akron,Ball State,27,10,70,65
Ball State,Akron,3,24,66,69
Akron,Ball State,17,21,80,65
Ball State,Akron,3,38,73,75
Akron,Ball State,24,21,71,72
Ball State,Akron,10,10,73,63
Akron,Ball State,35,10,80,61
Ball State,Akron,31,20,73,69
Akron,Ball State,21,28,64,75
Ball State,Akron,14,21,74,72
Akron,Ball State,21,21,71,66
Ball State,Akron,13,17,81,67
Akron,Ball State,20,26,70,78
Ball State,Akron,7,27,73,74
Akron,Ball State,14,31,72,59
Ball State,Akron,38,38,73,74
Akron,Ball State,19,10,72,70
Ball State,Akron,27,23,74,65
Akron,Ball State,7,27,57,85
Ball State,Akron,17,13,71,66
Akron,Ball State,30,7,69,64
Ball State,Akron,14,24,65,72
Akron,Ball State,34,14,81,75
Ball State,Akron,23,7,73,63
Akron,Ball State,12,9,69,65
Ball State,Akron,13,37,73,76
Akron,Ball State,14,16,71,67
Ball State,Akron,17,14,60,78
Akron,Ball State,14,10,72,60
Ball State,Akron,34,0,81,50
Akron,Ball State,17,17,69,67
Ball State,Akron,10,17,77,67
Akron,Ball State,13,9,78,68
Ball State,Akron,31,21,78,74
Akron,Ball State,35,7,77,64
Ball State,Akron,13,49,76,69
Akron,Ball State,20,10,64,72
Ball State,Akron,21,20,69,64
Akron,Ball State,30,17,78,60
Ball State,Akron,28,10,72,76
Akron,Ball State,16,24,76,67
Ball State,Akron,12,7,76,60
Akron,Ball State,38,14,91,56
Ball State,Akron,6,13,76,63
Akron,Ball State,13,21,68,68
Ball State,Akron,20,20,72,67
Akron,Ball State,10,27,71,72
Ball State,Akron,17,10,79,56
Akron,Ball State,24,28,71,71
Ball State,Akron,10,10,75,58
Akron,Ball State,17,52,53,82
Ball State,Akron,20,24,81,61
Akron,Ball State,20,17,78,58
Ball State,Akron,24,30,65,68
Akron,Ball State,17,10,66,76
Ball State,Akron,34,6,74,76
Akron,Ball State,14,14,71,67
Ball State,Akron,34,17,82,61
Akron,Ball State,37,3,85,53
Ball State,Akron,27,7,78,56
Akron,Ball State,13,24,77,70
Ball State,Akron,14,21,70,74
Akron,Ball State,35,13,70,77
Ball State,Akron,28,34,66,76
Akron,Ball State,16,16,63,82
Ball State,Akron,30,17,68,66
Akron,Ball State,17,28,68,70
Ball State,Akron,7,10,71,66
Akron,Ball State,40,13,84,71
Ball State,Akron,10,34,67,64
Akron,Ball State,7,14,85,62
Ball State,Akron,19,13,73,62
Akron,Ball State,34,17,72,76
Ball State,Akron,19,23,73,64
Akron,Ball State,20,16,66,72
Ball State,Akron,27,10,66,77
Akron,Ball State,34,7,76,68
Ball State,Akron,20,24,69,73
Akron,Ball State,21,34,61,79
Ball State,Akron,23,7,79,66
Akron,Ball State,13,17,62,81
Ball State,Akron,23,21,74,63
Akron,Ball State,31,10,75,65
Ball State,Akron,20,14,69,71
Akron,Ball State,12,14,80,60
Ball State,Akron,34,13,79,71
Akron,Ball State,20,24,84,62
Ball State,Akron,20,34,76,67
Akron,Ball State,31,17,72,71
Ball State,Akron,13,28,73,72
Akron,Ball State,34,7,80,65
Ball State,Akron,17,20,72,73
Akron,Ball State,14,14,66,72
Ball State,Akron,21,24,79,63
Akron,Ball State,13,31,61,75
Ball State,Akron,14,21,65,76
Akron,Ball State,31,20,75,72
Ball State,Akron,31,23,77,59
Akron,Ball State,34,20,74,69
Ball State,Akron,28,16,73,73
Akron,Ball State,16,20,75,66
Ball State,Akron,23,7,74,74
Akron,Ball State,23,14,70,70
Ball State,Akron,17,27,71,74
Akron,Ball State,28,21,73,71
Ball State,Akron,30,48,75,73
Akron,Ball State,24,24,73,70
Ball State,Akron,31,21,77,64
Akron,Ball State,17,14,61,76
Ball State,Akron,13,30,79,62
Akron,Ball State,38,23,77,76
Ball State,Akron,7,27,68,80
Akron,Ball State,14,27,68,69
Ball State,Akron,31,6,80,65
Akron,Ball State,27,10,74,60
Ball State,Akron,14,17,79,59
Akron,Ball State,17,10,65,76
Ball State,Akron,31,34,78,71
Akron,Ball State,24,10,66,73
Ball State,Akron,48,14,84,51
Akron,Ball State,10,21,62,68
Ball State,Akron,34,9,70,83
Akron,Ball State,34,24,81,73
Ball State,Akron,17,31,71,81
Akron,Ball State,21,26,77,70
Ball State,Akron,13,24,81,58
Akron,Ball State,20,0,78,74
Ball State,Akron,6,31,66,70
Akron,Ball State,13,20,56,75
Ball State,Akron,14,24,72,66
Akron,Ball State,28,10,67,77
Ball State,Akron,37,20,71,64
Akron,Ball State,7,31,65,70
Ball State,Akron,10,24,75,77
Akron,Ball State,20,24,71,64
Ball State,Akron,13,38,62,86
Akron,Ball State,41,14,85,67
Ball State,Akron,14,23,74,67
Akron,Ball State,7,21,78,70
Ball State,Akron,13,9,66,71
Akron,Ball State,27,7,80,67
Ball State,Akron,7,31,68,75
Akron,Ball State,24,9,74,64
Ball State,Akron,24,24,66,81
Akron,Ball State,10,12,72,74
Ball State,Akron,7,34,63,75
Akron,Ball State,27,17,74,71
Ball State,Akron,16,19,67,79
Akron,Ball State,24,14,69,66
Ball State,Akron,24,23,67,68
Akron,Ball State,17,38,61,78
Ball State,Akron,7,23,73,68
Akron,Ball State,24,31,65,70
Ball State,Akron,24,13,82,65
Akron,Ball State,13,13,74,61
Ball State,Akron,10,14,64,66
Akron,Ball State,7,38,74,75
Ball State,Akron,20,17,70,68
Akron,Ball State,27,13,74,72
Ball State,Akron,10,45,58,82
Akron,Ball State,7,17,66,70
Ball State,Akron,14,33,61,81
Akron,Ball State,10,10,65,67
Ball State,Akron,24,17,76,72
Akron,Ball State,10,24,63,84
Ball State,Akron,35,20,72,71
Akron,Ball State,34,13,86,58
Ball State,Akron,21,17,70,69
Akron,Ball State,27,27,77,78
Ball State,Akron,0,27,73,70
Akron,Ball State,48,17,83,72
Ball State,Akron,27,13,74,84
Akron,Ball State,16,3,66,75
Ball State,Akron,14,17,73,66
Akron,Ball State,24,10,80,58
Ball State,Akron,24,10,73,61
Akron,Ball State,23,6,85,64
Ball State,Akron,7,13,63,82
Akron,Ball State,40,6,84,68
Ball State,Akron,17,20,83,55
Akron,Ball State,21,14,64,71
Ball State,Akron,7,27,54,84
Akron,Ball State,6,27,63,75
Ball State,Akron,24,16,68,66
Akron,Ball State,20,17,65,67
Ball State,Akron,30,12,59,75
Akron,Ball State,21,17,69,72
Ball State,Akron,3,31,53,87
Akron,Ball State,31,17,78,74
Ball State,Akron,23,13,74,54
Akron,Ball State,24,6,67,68
Ball State,Akron,17,20,83,67
Akron,Ball State,17,17,70,75
Ball State,Akron,0,30,65,72
Akron,Ball State,13,17,79,63
Ball State,Akron,17,10,73,68
Akron,Ball State,24,21,76,64
Ball State,Akron,10,6,74,64
Akron,Ball State,23,14,68,79
Ball State,Akron,23,3,76,64
Akron,Ball State,17,3,76,64
Ball State,Akron,17,13,69,72
Akron,Ball State,38,7,84,59
Ball State,Akron,10,13,64,79
Akron,Ball State,13,17,82,58
Ball State,Akron,6,13,77,67
Akron,Ball State,31,10,74,61
Ball State,Akron,17,37,71,67
Akron,Ball State,24,6,84,57
Ball State,Akron,40,17,76,71
Akron,Ball State,10,10,63,75
Ball State,Akron,38,14,81,57
Akron,Ball State,14,13,65,72
Ball State,Akron,9,31,73,64
Akron,Ball State,27,0,81,64
Ball State,Akron,6,14,69,64
Akron,Ball State,13,6,64,74
Ball State,Akron,17,21,83,64
Akron,Ball State,10,19,62,79
Ball State,Akron,17,14,66,69
Akron,Ball State,27,30,72,69
Ball State,Akron,24,19,66,82
Akron,Ball State,14,35,60,71
Ball State,Akron,24,20,65,76
Akron,Ball State,20,3,80,69
Ball State,Akron,30,24,82,63
Akron,Ball State,17,28,64,71
Ball State,Akron,24,14,64,63
Akron,Ball State,17,19,76,62
Ball State,Akron,37,24,74,70
