team,opp,pts,opp_pts,plays,opp_plays
California,North Carolina,38,13,78,49
North Carolina,California,10,14,77,61
California,North Carolina,52,20,65,68
North Carolina,California,3,9,58,68
California,North Carolina,13,10,58,76
North Carolina,California,20,7,68,63
California,North Carolina,27,20,66,65
North Carolina,California,14,17,75,51
California,North Carolina,17,14,73,60
North Carolina,California,6,23,70,64
California,North Carolina,45,7,72,54
North Carolina,California,9,17,67,52
California,North Carolina,30,7,70,49
North Carolina,California,14,21,61,67
California,North Carolina,14,17,71,64
North Carolina,California,30,7,71,58
California,North Carolina,24,21,62,72
North Carolina,California,14,27,69,60
California,North Carolina,23,3,60,71
North Carolina,California,7,10,64,63
California,North Carolina,35,10,63,65
North Carolina,California,10,21,62,65
California,North Carolina,21,21,58,69
North Carolina,California,13,13,61,68
California,North Carolina,20,10,68,63
North Carolina,California,13,17,67,70
California,North Carolina,17,20,69,67
North Carolina,California,27,28,70,59
California,North Carolina,20,10,62,64
North Carolina,California,24,31,67,64
California,North Carolina,27,13,73,62
North Carolina,California,17,10,74,56
California,North Carolina,28,24,70,64
North Carolina,California,10,42,63,67
California,North Carolina,10,16,70,72
North Carolina,California,0,28,58,72
California,North Carolina,14,6,71,62
North Carolina,California,6,27,67,65
California,North Carolina,28,12,58,70
North Carolina,California,10,31,62,72
California,North Carolina,34,10,70,51
North Carolina,California,40,24,74,60
California,North Carolina,10,6,63,70
North Carolina,California,7,35,61,73
California,North Carolina,6,13,64,70
North Carolina,California,0,24,60,67
California,North Carolina,10,34,64,68
North Carolina,California,31,28,57,76
California,North Carolina,24,21,69,59
North Carolina,California,0,30,49,72
California,North Carolina,38,7,72,59
North Carolina,California,28,28,75,55
California,North Carolina,24,10,68,61
North Carolina,California,10,30,61,67
California,North Carolina,29,7,85,45
North Carolina,California,14,17,67,62
California,North Carolina,3,23,58,64
North Carolina,California,14,24,59,76
California,North Carolina,17,20,66,62
North Carolina,California,3,31,68,69
California,North Carolina,42,3,73,63
North Carolina,California,10,14,64,68
California,North Carolina,27,17,60,76
North Carolina,California,10,24,68,63
California,North Carolina,10,13,60,74
North Carolina,California,7,24,58,70
California,North Carolina,21,7,67,56
North Carolina,California,10,3,55,80
California,North Carolina,20,20,69,69
North Carolina,California,19,17,62,73
California,North Carolina,17,19,66,64
North Carolina,California,10,17,71,64
California,North Carolina,9,20,65,64
North Carolina,California,7,20,61,71
California,North Carolina,31,21,67,58
North Carolina,California,14,17,64,65
California,North Carolina,14,27,55,74
North Carolina,California,7,20,56,67
California,North Carolina,21,24,61,73
North Carolina,California,13,29,65,65
