team,opp,pts,opp_pts,plays,opp_plays
Clemson,SMU,27,38,72,65
SMU,Clemson,14,31,65,72
Clemson,SMU,28,31,66,70
SMU,Clemson,14,20,70,71
Clemson,SMU,17,3,78,52
SMU,Clemson,7,34,67,72
Clemson,SMU,27,24,74,65
SMU,Clemson,24,21,79,61
Clemson,SMU,31,10,76,64
SMU,Clemson,37,10,77,60
Clemson,SMU,20,7,65,79
SMU,Clemson,21,45,72,73
Clemson,SMU,20,28,68,71
SMU,Clemson,17,17,69,65
Clemson,SMU,24,17,59,74
SMU,Clemson,45,27,75,73
Clemson,SMU,9,31,64,71
SMU,Clemson,31,17,62,76
Clemson,SMU,31,24,74,60
SMU,Clemson,49,28,84,60
Clemson,SMU,21,20,65,70
SMU,Clemson,23,10,76,65
Clemson,SMU,13,38,67,70
SMU,Clemson,27,14,65,76
Clemson,SMU,30,24,68,71
SMU,Clemson,24,13,60,69
Clemson,SMU,16,21,69,61
SMU,Clemson,17,10,55,81
Clemson,SMU,30,21,77,60
SMU,Clemson,24,31,57,77
Clemson,SMU,14,38,59,82
SMU,Clemson,41,21,78,68
Clemson,SMU,17,17,66,68
SMU,Clemson,30,24,59,79
Clemson,SMU,28,20,73,70
SMU,Clemson,7,17,83,61
Clemson,SMU,20,23,71,68
SMU,Clemson,21,30,68,72
Clemson,SMU,35,20,69,55
SMU,Clemson,14,24,60,71
Clemson,SMU,17,14,72,72
SMU,Clemson,3,31,56,76
Clemson,SMU,34,7,79,61
SMU,Clemson,17,24,73,69
Clemson,SMU,13,21,78,62
SMU,Clemson,38,28,75,69
Clemson,SMU,35,10,86,47
SMU,Clemson,20,14,68,77
Clemson,SMU,20,23,79,67
SMU,Clemson,30,26,77,79
Clemson,SMU,21,33,66,71
SMU,Clemson,10,31,68,72
Clemson,SMU,37,27,77,65
SMU,Clemson,27,34,83,63
Clemson,SMU,31,10,76,60
SMU,Clemson,42,31,70,77
Clemson,SMU,7,20,69,60
SMU,Clemson,28,21,74,64
Clemson,SMU,7,24,65,66
SMU,Clemson,13,20,76,63
Clemson,SMU,38,21,71,60
SMU,Clemson,16,17,74,72
Clemson,SMU,31,21,62,75
SMU,Clemson,21,24,72,69
Clemson,SMU,24,6,69,56
SMU,Clemson,3,31,57,79
Clemson,SMU,20,27,83,66
SMU,Clemson,20,13,79,60
Clemson,SMU,49,0,74,58
SMU,Clemson,3,31,64,70
Clemson,SMU,30,13,74,59
SMU,Clemson,31,21,80,59
Clemson,SMU,34,7,74,63
SMU,Clemson,17,14,79,64
Clemson,SMU,27,31,59,78
SMU,Clemson,41,24,78,74
Clemson,SMU,28,14,67,71
SMU,Clemson,3,16,58,75
Clemson,SMU,28,38,70,68
SMU,Clemson,10,27,64,72
Clemson,SMU,17,28,66,66
SMU,Clemson,0,34,67,69
Clemson,SMU,20,0,71,62
SMU,Clemson,10,31,71,75
Clemson,SMU,21,24,71,66
SMU,Clemson,24,20,69,76
Clemson,SMU,34,14,77,65
SMU,Clemson,14,10,69,68
Clemson,SMU,14,17,62,69
SMU,Clemson,13,31,69,70
Clemson,SMU,20,34,68,66
SMU,Clemson,3,38,74,69
Clemson,SMU,6,28,66,73
SMU,Clemson,24,24,77,57
Clemson,SMU,31,10,84,56
SMU,Clemson,27,31,72,64
Clemson,SMU,21,24,72,69
SMU,Clemson,38,24,61,84
Clemson,SMU,37,13,86,52
SMU,Clemson,17,10,80,60
Clemson,SMU,28,6,72,58
SMU,Clemson,0,45,51,91
Clemson,SMU,44,14,84,57
SMU,Clemson,30,10,74,68
Clemson,SMU,24,10,75,60
SMU,Clemson,13,21,58,67
Clemson,SMU,24,24,74,64
SMU,Clemson,6,45,59,74
Clemson,SMU,38,24,75,68
SMU,Clemson,13,41,72,71
Clemson,SMU,16,24,59,75
SMU,Clemson,10,35,63,82
Clemson,SMU,34,21,78,74
SMU,Clemson,17,35,48,89
Clemson,SMU,34,21,77,64
SMU,Clemson,9,22,71,77
Clemson,SMU,21,21,65,73
SMU,Clemson,35,28,70,72
Clemson,SMU,28,27,73,80
SMU,Clemson,41,3,83,56
Clemson,SMU,10,31,63,79
SMU,Clemson,34,21,70,74
Clemson,SMU,31,20,64,67
SMU,Clemson,38,17,68,69
Clemson,SMU,21,23,63,68
SMU,Clemson,35,17,76,57
Clemson,SMU,23,21,66,71
SMU,Clemson,27,28,74,64
Clemson,SMU,7,30,65,72
SMU,Clemson,20,14,71,65
Clemson,SMU,31,21,77,57
SMU,Clemson,24,42,54,79
Clemson,SMU,13,14,77,61
SMU,Clemson,24,31,82,56
Clemson,SMU,40,10,73,63
SMU,Clemson,37,34,79,67
Clemson,SMU,23,14,77,54
SMU,Clemson,20,7,81,65
Clemson,SMU,20,21,73,64
SMU,Clemson,28,17,71,77
Clemson,SMU,3,10,73,67
SMU,Clemson,27,24,66,70
Clemson,SMU,27,20,65,68
SMU,Clemson,48,13,79,63
Clemson,SMU,31,37,69,80
