team,opp,pts,opp_pts,plays,opp_plays
Miami (OH),Eastern Michigan,13,24,68,68
Eastern Michigan,Miami (OH),30,7,80,56
Miami (OH),Eastern Michigan,19,17,77,52
Eastern Michigan,Miami (OH),34,6,75,65
Miami (OH),Eastern Michigan,27,17,66,65
Eastern Michigan,Miami (OH),9,6,73,56
Miami (OH),Eastern Michigan,31,13,73,52
Eastern Michigan,Miami (OH),24,27,66,70
Miami (OH),Eastern Michigan,13,7,70,70
Eastern Michigan,Miami (OH),3,21,62,72
Miami (OH),Eastern Michigan,14,19,59,69
Eastern Michigan,Miami (OH),21,34,61,70
Miami (OH),Eastern Michigan,13,6,67,65
Eastern Michigan,Miami (OH),16,10,63,78
Miami (OH),Eastern Michigan,37,7,74,60
Eastern Michigan,Miami (OH),14,20,64,74
Miami (OH),Eastern Michigan,14,20,65,69
Eastern Michigan,Miami (OH),0,17,62,70
Miami (OH),Eastern Michigan,20,9,67,67
Eastern Michigan,Miami (OH),3,24,61,71
Miami (OH),Eastern Michigan,28,17,61,68
Eastern Michigan,Miami (OH),10,24,83,60
Miami (OH),Eastern Michigan,10,27,65,71
Eastern Michigan,Miami (OH),7,23,70,67
Miami (OH),Eastern Michigan,17,14,65,66
Eastern Michigan,Miami (OH),21,17,71,62
Miami (OH),Eastern Michigan,14,21,76,57
Eastern Michigan,Miami (OH),13,38,69,67
Miami (OH),Eastern Michigan,24,0,80,61
Eastern Michigan,Miami (OH),20,20,75,64
Miami (OH),Eastern Michigan,38,20,65,76
Eastern Michigan,Miami (OH),27,24,82,65
Miami (OH),Eastern Michigan,20,7,72,64
Eastern Michigan,Miami (OH),24,25,73,66
Miami (OH),Eastern Michigan,17,10,61,70
Eastern Michigan,Miami (OH),26,21,80,63
Miami (OH),Eastern Michigan,22,17,76,64
Eastern Michigan,Miami (OH),27,24,73,59
Miami (OH),Eastern Michigan,14,34,63,70
Eastern Michigan,Miami (OH),10,13,80,62
Miami (OH),Eastern Michigan,13,0,67,60
Eastern Michigan,Miami (OH),7,20,64,64
Miami (OH),Eastern Michigan,24,35,62,71
Eastern Michigan,Miami (OH),20,17,59,83
Miami (OH),Eastern Michigan,21,14,76,44
Eastern Michigan,Miami (OH),0,17,65,70
Miami (OH),Eastern Michigan,38,23,69,66
Eastern Michigan,Miami (OH),17,21,63,67
Miami (OH),Eastern Michigan,14,13,63,59
Eastern Michigan,Miami (OH),34,24,68,65
Miami (OH),Eastern Michigan,41,10,75,57
Eastern Michigan,Miami (OH),13,31,58,77
Miami (OH),Eastern Michigan,34,7,84,53
Eastern Michigan,Miami (OH),10,27,54,79
Miami (OH),Eastern Michigan,30,13,73,62
Eastern Michigan,Miami (OH),24,34,68,68
Miami (OH),Eastern Michigan,16,19,68,66
Eastern Michigan,Miami (OH),6,23,74,60
Miami (OH),Eastern Michigan,27,10,71,66
Eastern Michigan,Miami (OH),6,26,56,76
Miami (OH),Eastern Michigan,10,26,59,81
Eastern Michigan,Miami (OH),3,29,63,73
Miami (OH),Eastern Michigan,27,7,72,70
Eastern Michigan,Miami (OH),17,17,71,65
Miami (OH),Eastern Michigan,35,13,80,62
Eastern Michigan,Miami (OH),17,24,69,61
Miami (OH),Eastern Michigan,31,7,75,59
Eastern Michigan,Miami (OH),23,24,79,58
Miami (OH),Eastern Michigan,27,14,67,66
Eastern Michigan,Miami (OH),14,10,49,78
Miami (OH),Eastern Michigan,35,7,88,45
Eastern Michigan,Miami (OH),13,10,67,66
Miami (OH),Eastern Michigan,9,23,71,66
Eastern Michigan,Miami (OH),14,31,64,77
Miami (OH),Eastern Michigan,31,13,74,61
Eastern Michigan,Miami (OH),17,16,65,74
Miami (OH),Eastern Michigan,31,17,61,72
Eastern Michigan,Miami (OH),20,14,77,62
Miami (OH),Eastern Michigan,23,10,72,61
Eastern Michigan,Miami (OH),13,27,74,71
Miami (OH),Eastern Michigan,38,17,65,64
Eastern Michigan,Miami (OH),28,35,78,52
Miami (OH),Eastern Michigan,23,7,72,61
Eastern Michigan,Miami (OH),31,23,70,61
Miami (OH),Eastern Michigan,9,14,70,59
Eastern Michigan,Miami (OH),17,23,71,67
Miami (OH),Eastern Michigan,34,28,74,67
Eastern Michigan,Miami (OH),20,21,83,64
Miami (OH),Eastern Michigan,45,7,74,59
Eastern Michigan,Miami (OH),10,45,58,79
Miami (OH),Eastern Michigan,27,3,71,61
Eastern Michigan,Miami (OH),17,31,69,71
Miami (OH),Eastern Michigan,17,20,56,70
Eastern Michigan,Miami (OH),14,28,75,57
Miami (OH),Eastern Michigan,24,14,66,65
Eastern Michigan,Miami (OH),17,24,76,61
Miami (OH),Eastern Michigan,13,19,59,70
Eastern Michigan,Miami (OH),10,37,72,65
Miami (OH),Eastern Michigan,27,13,75,56
Eastern Michigan,Miami (OH),14,7,65,63
Miami (OH),Eastern Michigan,13,17,75,69
Eastern Michigan,Miami (OH),0,49,65,72
Miami (OH),Eastern Michigan,27,9,68,71
Eastern Michigan,Miami (OH),3,34,65,81
Miami (OH),Eastern Michigan,31,13,69,66
Eastern Michigan,Miami (OH),16,7,72,64
Miami (OH),Eastern Michigan,17,16,61,68
Eastern Michigan,Miami (OH),24,23,70,73
Miami (OH),Eastern Michigan,0,30,55,74
Eastern Michigan,Miami (OH),14,24,63,61
Miami (OH),Eastern Michigan,17,34,58,76
Eastern Michigan,Miami (OH),22,10,73,53
Miami (OH),Eastern Michigan,27,6,71,65
Eastern Michigan,Miami (OH),24,24,70,60
Miami (OH),Eastern Michigan,30,24,67,74
Eastern Michigan,Miami (OH),14,23,67,69
Miami (OH),Eastern Michigan,40,21,82,65
Eastern Michigan,Miami (OH),17,31,73,67
Miami (OH),Eastern Michigan,20,10,80,63
Eastern Michigan,Miami (OH),33,7,86,47
Miami (OH),Eastern Michigan,34,17,70,68
Eastern Michigan,Miami (OH),24,19,56,77
Miami (OH),Eastern Michigan,52,17,80,57
Eastern Michigan,Miami (OH),10,21,79,62
Miami (OH),Eastern Michigan,14,17,80,56
Eastern Michigan,Miami (OH),24,20,71,66
Miami (OH),Eastern Michigan,31,10,79,64
Eastern Michigan,Miami (OH),30,14,75,57
Miami (OH),Eastern Michigan,20,21,66,64
Eastern Michigan,Miami (OH),10,23,65,73
Miami (OH),Eastern Michigan,19,17,77,57
Eastern Michigan,Miami (OH),0,16,58,71
Miami (OH),Eastern Michigan,27,16,74,53
Eastern Michigan,Miami (OH),10,20,72,60
Miami (OH),Eastern Michigan,34,17,70,63
Eastern Michigan,Miami (OH),9,16,59,65
Miami (OH),Eastern Michigan,6,15,62,69
Eastern Michigan,Miami (OH),24,17,75,58
Miami (OH),Eastern Michigan,20,10,65,66
Eastern Michigan,Miami (OH),14,20,62,72
Miami (OH),Eastern Michigan,3,27,60,71
Eastern Michigan,Miami (OH),21,16,61,69
Miami (OH),Eastern Michigan,3,17,72,65
Eastern Michigan,Miami (OH),10,24,62,66
Miami (OH),Eastern Michigan,14,21,52,80
Eastern Michigan,Miami (OH),6,16,62,68
Miami (OH),Eastern Michigan,13,17,76,56
Eastern Michigan,Miami (OH),17,10,62,62
Miami (OH),Eastern Michigan,27,3,77,63
Eastern Michigan,Miami (OH),17,34,68,80
Miami (OH),Eastern Michigan,6,21,71,62
Eastern Michigan,Miami (OH),27,21,76,62
Miami (OH),Eastern Michigan,14,9,68,75
Eastern Michigan,Miami (OH),3,38,60,76
Miami (OH),Eastern Michigan,41,10,86,55
Eastern Michigan,Miami (OH),13,20,75,64
Miami (OH),Eastern Michigan,13,12,63,74
Eastern Michigan,Miami (OH),17,34,64,74
Miami (OH),Eastern Michigan,20,7,70,61
Eastern Michigan,Miami (OH),3,13,66,63
Miami (OH),Eastern Michigan,20,7,75,60
Eastern Michigan,Miami (OH),17,20,68,63
Miami (OH),Eastern Michigan,21,26,69,75
Eastern Michigan,Miami (OH),7,17,54,75
Miami (OH),Eastern Michigan,28,13,69,61
Eastern Michigan,Miami (OH),21,7,81,55
Miami (OH),Eastern Michigan,10,17,71,63
Eastern Michigan,Miami (OH),10,17,57,75
Miami (OH),Eastern Michigan,27,0,76,56
Eastern Michigan,Miami (OH),23,14,61,78
Miami (OH),Eastern Michigan,20,9,66,66
Eastern Michigan,Miami (OH),10,31,67,62
Miami (OH),Eastern Michigan,23,7,77,55
Eastern Michigan,Miami (OH),6,21,83,56
Miami (OH),Eastern Michigan,20,14,81,51
Eastern Michigan,Miami (OH),20,17,75,64
Miami (OH),Eastern Michigan,21,24,75,69
Eastern Michigan,Miami (OH),0,34,61,71
Miami (OH),Eastern Michigan,10,0,61,71
Eastern Michigan,Miami (OH),7,13,79,62
Miami (OH),Eastern Michigan,14,19,68,69
Eastern Michigan,Miami (OH),10,20,75,61
Miami (OH),Eastern Michigan,13,13,59,75
Eastern Michigan,Miami (OH),13,17,68,61
Miami (OH),Eastern Michigan,21,10,70,64
Eastern Michigan,Miami (OH),20,24,71,62
Miami (OH),Eastern Michigan,3,19,64,65
Eastern Michigan,Miami (OH),17,10,67,71
Miami (OH),Eastern Michigan,24,7,75,61
Eastern Michigan,Miami (OH),9,7,74,60
Miami (OH),Eastern Michigan,13,17,69,70
Eastern Michigan,Miami (OH),24,35,71,69
Miami (OH),Eastern Michigan,33,14,73,65
Eastern Michigan,Miami (OH),0,23,56,82
Miami (OH),Eastern Michigan,27,10,80,49
Eastern Michigan,Miami (OH),24,20,63,70
Miami (OH),Eastern Michigan,6,10,61,71
Eastern Michigan,Miami (OH),17,34,65,65
Miami (OH),Eastern Michigan,34,7,72,58
Eastern Michigan,Miami (OH),10,34,56,79
Miami (OH),Eastern Michigan,17,9,71,61
Eastern Michigan,Miami (OH),24,17,60,74
Miami (OH),Eastern Michigan,28,10,70,62
Eastern Michigan,Miami (OH),3,21,68,74
Miami (OH),Eastern Michigan,21,34,52,79
Eastern Michigan,Miami (OH),14,6,58,76
Miami (OH),Eastern Michigan,13,3,58,76
Eastern Michigan,Miami (OH),10,36,57,76
Miami (OH),Eastern Michigan,10,34,59,65
Eastern Michigan,Miami (OH),13,21,78,63
Miami (OH),Eastern Michigan,31,13,69,66
Eastern Michigan,Miami (OH),14,14,57,79
Miami (OH),Eastern Michigan,17,3,72,59
Eastern Michigan,Miami (OH),10,14,62,60
Miami (OH),Eastern Michigan,10,48,66,72
Eastern Michigan,Miami (OH),24,17,67,70
