team,opp,pts,opp_pts,plays,opp_plays
Syracuse,Pittsburgh,17,30,87,70
Pittsburgh,Syracuse,34,21,81,85
Syracuse,Pittsburgh,28,31,73,93
Pittsburgh,Syracuse,42,24,93,68
Syracuse,Pittsburgh,14,34,68,83
Pittsburgh,Syracuse,38,20,73,80
Syracuse,Pittsburgh,23,31,75,74
Pittsburgh,Syracuse,24,10,79,72
Syracuse,Pittsburgh,31,52,70,89
Pittsburgh,Syracuse,31,27,77,84
Syracuse,Pittsburgh,3,28,73,83
Pittsburgh,Syracuse,40,20,75,82
Syracuse,Pittsburgh,13,24,83,85
Pittsburgh,Syracuse,41,30,90,66
Syracuse,Pittsburgh,3,30,78,81
Pittsburgh,Syracuse,24,35,95,72
Syracuse,Pittsburgh,30,31,81,74
Pittsburgh,Syracuse,55,24,90,78
Syracuse,Pittsburgh,21,21,79,81
Pittsburgh,Syracuse,37,24,84,79
Syracuse,Pittsburgh,13,56,77,81
Pittsburgh,Syracuse,26,41,90,73
Syracuse,Pittsburgh,20,59,77,83
Pittsburgh,Syracuse,26,13,81,80
Syracuse,Pittsburgh,28,31,88,73
Pittsburgh,Syracuse,28,15,76,82
Syracuse,Pittsburgh,10,48,68,88
Pittsburgh,Syracuse,13,10,77,84
Syracuse,Pittsburgh,6,20,72,78
Pittsburgh,Syracuse,10,17,83,80
Syracuse,Pittsburgh,34,34,74,88
Pittsburgh,Syracuse,21,33,76,88
Syracuse,Pittsburgh,17,38,74,80
Pittsburgh,Syracuse,38,21,80,76
Syracuse,Pittsburgh,27,27,79,81
Pittsburgh,Syracuse,16,26,75,82
Syracuse,Pittsburgh,17,17,76,84
Pittsburgh,Syracuse,45,14,91,73
Syracuse,Pittsburgh,38,7,90,68
Pittsburgh,Syracuse,49,13,84,78
Syracuse,Pittsburgh,13,34,86,72
Pittsburgh,Syracuse,22,26,82,81
Syracuse,Pittsburgh,34,20,85,74
Pittsburgh,Syracuse,28,31,86,74
Syracuse,Pittsburgh,10,44,71,87
Pittsburgh,Syracuse,49,24,98,68
Syracuse,Pittsburgh,20,10,81,79
Pittsburgh,Syracuse,17,31,81,80
Syracuse,Pittsburgh,13,21,84,76
Pittsburgh,Syracuse,17,38,89,78
Syracuse,Pittsburgh,21,17,71,85
Pittsburgh,Syracuse,24,14,78,74
Syracuse,Pittsburgh,27,41,79,82
Pittsburgh,Syracuse,28,28,83,76
Syracuse,Pittsburgh,7,30,76,83
Pittsburgh,Syracuse,58,0,98,57
Syracuse,Pittsburgh,20,13,77,82
Pittsburgh,Syracuse,38,24,78,91
Syracuse,Pittsburgh,12,38,81,84
Pittsburgh,Syracuse,21,45,79,83
Syracuse,Pittsburgh,6,48,69,92
Pittsburgh,Syracuse,52,9,77,91
Syracuse,Pittsburgh,10,52,73,92
Pittsburgh,Syracuse,24,42,73,94
Syracuse,Pittsburgh,6,30,83,73
Pittsburgh,Syracuse,23,31,77,82
Syracuse,Pittsburgh,17,24,89,72
Pittsburgh,Syracuse,30,20,76,78
Syracuse,Pittsburgh,17,23,75,80
Pittsburgh,Syracuse,55,14,96,59
