team,opp,pts,opp_pts,plays,opp_plays
UL Monroe,Troy,10,16,57,60
Troy,UL Monroe,28,10,61,55
UL Monroe,Troy,13,16,59,61
Troy,UL Monroe,7,3,59,57
UL Monroe,Troy,10,17,72,44
Troy,UL Monroe,44,3,74,54
UL Monroe,Troy,17,21,51,68
Troy,UL Monroe,21,24,62,62
UL Monroe,Troy,14,17,73,58
Troy,UL Monroe,21,24,58,62
UL Monroe,Troy,14,35,60,65
Troy,UL Monroe,17,16,61,62
UL Monroe,Troy,7,20,49,64
Troy,UL Monroe,10,35,59,64
UL Monroe,Troy,6,13,58,60
Troy,UL Monroe,7,31,60,61
UL Monroe,Troy,3,17,51,66
Troy,UL Monroe,24,3,71,46
UL Monroe,Troy,0,20,71,56
Troy,UL Monroe,44,3,67,54
UL Monroe,Troy,10,27,58,61
Troy,UL Monroe,14,10,66,64
UL Monroe,Troy,27,10,63,59
Troy,UL Monroe,21,21,62,60
UL Monroe,Troy,10,28,68,57
Troy,UL Monroe,24,7,72,56
UL Monroe,Troy,7,34,59,63
Troy,UL Monroe,26,7,65,50
UL Monroe,Troy,7,17,66,58
Troy,UL Monroe,48,3,68,58
UL Monroe,Troy,0,10,56,63
Troy,UL Monroe,17,17,60,63
UL Monroe,Troy,20,7,65,59
Troy,UL Monroe,33,6,71,53
UL Monroe,Troy,7,21,64,58
Troy,UL Monroe,20,7,68,56
UL Monroe,Troy,27,13,59,61
Troy,UL Monroe,27,20,66,51
UL Monroe,Troy,21,13,59,67
Troy,UL Monroe,24,17,62,62
UL Monroe,Troy,17,14,60,50
Troy,UL Monroe,23,17,68,52
UL Monroe,Troy,10,17,58,70
Troy,UL Monroe,13,17,67,58
UL Monroe,Troy,14,24,54,70
Troy,UL Monroe,13,10,64,60
UL Monroe,Troy,9,17,60,63
Troy,UL Monroe,6,10,65,58
UL Monroe,Troy,10,31,53,70
Troy,UL Monroe,17,14,64,61
UL Monroe,Troy,17,17,65,55
Troy,UL Monroe,3,13,69,57
UL Monroe,Troy,26,3,68,47
Troy,UL Monroe,13,0,73,50
UL Monroe,Troy,0,40,45,76
Troy,UL Monroe,20,17,63,65
UL Monroe,Troy,27,28,63,60
Troy,UL Monroe,20,7,62,63
UL Monroe,Troy,10,13,58,63
Troy,UL Monroe,31,7,60,53
UL Monroe,Troy,7,23,62,58
Troy,UL Monroe,24,13,69,55
UL Monroe,Troy,13,24,57,61
Troy,UL Monroe,30,7,68,55
UL Monroe,Troy,28,10,58,56
Troy,UL Monroe,27,17,65,56
UL Monroe,Troy,7,26,56,65
Troy,UL Monroe,17,7,56,66
UL Monroe,Troy,10,37,53,73
Troy,UL Monroe,20,7,66,56
UL Monroe,Troy,10,21,57,65
Troy,UL Monroe,17,10,57,58
UL Monroe,Troy,9,10,60,61
Troy,UL Monroe,20,7,63,52
UL Monroe,Troy,6,23,62,59
Troy,UL Monroe,24,3,61,58
UL Monroe,Troy,14,40,46,71
Troy,UL Monroe,28,10,56,62
UL Monroe,Troy,10,24,72,51
Troy,UL Monroe,3,13,57,68
UL Monroe,Troy,17,13,65,49
Troy,UL Monroe,6,17,61,57
UL Monroe,Troy,13,13,63,59
Troy,UL Monroe,34,7,68,51
UL Monroe,Troy,38,14,75,47
Troy,UL Monroe,45,0,75,45
UL Monroe,Troy,21,24,74,54
