team,opp,pts,opp_pts,plays,opp_plays
Vanderbilt,LSU,14,10,66,60
LSU,Vanderbilt,3,23,63,56
Vanderbilt,LSU,13,35,51,72
LSU,Vanderbilt,28,0,65,54
Vanderbilt,LSU,38,14,63,58
LSU,Vanderbilt,17,17,62,59
Vanderbilt,LSU,10,14,60,55
LSU,Vanderbilt,6,17,54,65
Vanderbilt,LSU,14,24,58,62
LSU,Vanderbilt,17,24,51,64
Vanderbilt,LSU,10,14,61,57
LSU,Vanderbilt,24,24,69,54
Vanderbilt,LSU,7,13,60,54
LSU,Vanderbilt,6,17,66,53
Vanderbilt,LSU,0,31,42,68
LSU,Vanderbilt,13,38,60,65
Vanderbilt,LSU,13,0,62,51
LSU,Vanderbilt,23,10,65,62
Vanderbilt,LSU,17,17,56,59
LSU,Vanderbilt,27,17,67,55
Vanderbilt,LSU,24,13,61,58
LSU,Vanderbilt,17,24,65,58
Vanderbilt,LSU,6,34,57,66
LSU,Vanderbilt,17,10,65,56
Vanderbilt,LSU,20,28,67,58
LSU,Vanderbilt,14,21,55,64
Vanderbilt,LSU,14,10,56,63
LSU,Vanderbilt,13,0,65,52
Vanderbilt,LSU,27,13,62,55
LSU,Vanderbilt,24,0,65,53
Vanderbilt,LSU,14,38,56,68
LSU,Vanderbilt,17,10,68,47
Vanderbilt,LSU,28,21,67,55
LSU,Vanderbilt,21,24,58,64
Vanderbilt,LSU,13,35,60,60
LSU,Vanderbilt,24,10,64,59
Vanderbilt,LSU,10,14,66,54
LSU,Vanderbilt,27,7,69,52
Vanderbilt,LSU,10,45,43,73
LSU,Vanderbilt,3,17,59,68
Vanderbilt,LSU,7,19,48,72
LSU,Vanderbilt,21,10,55,62
Vanderbilt,LSU,10,21,70,49
LSU,Vanderbilt,27,17,63,55
Vanderbilt,LSU,20,35,66,55
LSU,Vanderbilt,17,14,56,64
Vanderbilt,LSU,7,19,59,64
LSU,Vanderbilt,20,17,62,59
Vanderbilt,LSU,17,45,59,60
LSU,Vanderbilt,27,14,68,53
Vanderbilt,LSU,21,3,66,53
LSU,Vanderbilt,17,6,57,56
Vanderbilt,LSU,17,14,65,55
LSU,Vanderbilt,14,20,58,58
Vanderbilt,LSU,24,41,64,63
LSU,Vanderbilt,14,17,62,56
Vanderbilt,LSU,17,41,62,63
LSU,Vanderbilt,28,31,68,55
Vanderbilt,LSU,28,31,56,69
LSU,Vanderbilt,27,6,59,62
Vanderbilt,LSU,14,24,65,62
LSU,Vanderbilt,13,7,57,59
Vanderbilt,LSU,20,24,57,64
LSU,Vanderbilt,10,7,50,58
Vanderbilt,LSU,13,28,56,65
LSU,Vanderbilt,41,6,72,50
Vanderbilt,LSU,14,17,61,53
LSU,Vanderbilt,24,3,53,63
Vanderbilt,LSU,17,42,58,62
LSU,Vanderbilt,24,14,65,52
Vanderbilt,LSU,24,6,67,46
LSU,Vanderbilt,28,21,66,54
Vanderbilt,LSU,7,34,55,71
LSU,Vanderbilt,31,17,72,55
Vanderbilt,LSU,7,14,66,59
LSU,Vanderbilt,31,21,64,61
Vanderbilt,LSU,7,23,56,58
LSU,Vanderbilt,27,10,68,49
Vanderbilt,LSU,14,24,68,55
LSU,Vanderbilt,10,17,52,65
Vanderbilt,LSU,20,14,59,64
LSU,Vanderbilt,38,7,68,53
Vanderbilt,LSU,21,24,73,53
LSU,Vanderbilt,10,0,61,53
Vanderbilt,LSU,20,0,69,45
LSU,Vanderbilt,10,7,55,62
Vanderbilt,LSU,13,3,64,52
LSU,Vanderbilt,13,27,67,62
Vanderbilt,LSU,17,28,51,69
LSU,Vanderbilt,14,38,58,67
Vanderbilt,LSU,28,13,58,69
LSU,Vanderbilt,20,26,64,53
Vanderbilt,LSU,3,24,59,59
LSU,Vanderbilt,27,10,67,50
Vanderbilt,LSU,24,34,63,58
LSU,Vanderbilt,16,38,67,58
Vanderbilt,LSU,21,38,64,63
LSU,Vanderbilt,24,17,66,54
Vanderbilt,LSU,13,17,59,58
LSU,Vanderbilt,20,3,64,58
Vanderbilt,LSU,14,24,55,62
LSU,Vanderbilt,24,20,68,55
Vanderbilt,LSU,20,23,55,70
LSU,Vanderbilt,17,10,65,58
Vanderbilt,LSU,17,21,65,54
LSU,Vanderbilt,28,24,61,59
Vanderbilt,LSU,14,20,69,52
LSU,Vanderbilt,14,21,53,65
Vanderbilt,LSU,10,23,52,71
LSU,Vanderbilt,9,3,62,54
Vanderbilt,LSU,21,20,55,67
LSU,Vanderbilt,13,12,54,67
Vanderbilt,LSU,10,38,60,69
LSU,Vanderbilt,7,10,50,67
Vanderbilt,LSU,28,30,68,66
LSU,Vanderbilt,21,28,66,54
Vanderbilt,LSU,10,27,51,64
LSU,Vanderbilt,20,14,63,58
Vanderbilt,LSU,31,13,64,59
LSU,Vanderbilt,0,7,45,66
Vanderbilt,LSU,34,24,69,55
LSU,Vanderbilt,28,24,55,66
Vanderbilt,LSU,17,9,64,61
LSU,Vanderbilt,38,13,56,68
Vanderbilt,LSU,10,20,55,61
LSU,Vanderbilt,20,7,70,49
Vanderbilt,LSU,17,17,50,68
LSU,Vanderbilt,30,7,61,65
Vanderbilt,LSU,17,27,51,71
LSU,Vanderbilt,17,17,59,62
Vanderbilt,LSU,26,10,69,50
LSU,Vanderbilt,21,16,61,64
Vanderbilt,LSU,10,14,74,50
LSU,Vanderbilt,27,13,63,55
Vanderbilt,LSU,7,20,57,61
LSU,Vanderbilt,14,17,57,65
Vanderbilt,LSU,24,20,64,52
LSU,Vanderbilt,17,14,66,55
Vanderbilt,LSU,13,13,53,60
LSU,Vanderbilt,17,14,68,51
Vanderbilt,LSU,7,17,62,55
LSU,Vanderbilt,20,10,72,46
Vanderbilt,LSU,17,21,66,62
LSU,Vanderbilt,27,17,61,50
Vanderbilt,LSU,14,31,50,73
LSU,Vanderbilt,10,27,56,62
Vanderbilt,LSU,6,17,62,58
LSU,Vanderbilt,14,21,61,62
Vanderbilt,LSU,10,20,47,61
LSU,Vanderbilt,24,9,61,63
Vanderbilt,LSU,26,14,75,49
LSU,Vanderbilt,20,17,68,57
Vanderbilt,LSU,10,38,58,62
LSU,Vanderbilt,13,0,59,52
Vanderbilt,LSU,38,38,67,61
LSU,Vanderbilt,38,0,76,49
Vanderbilt,LSU,14,24,68,52
LSU,Vanderbilt,20,14,64,55
Vanderbilt,LSU,6,31,64,56
LSU,Vanderbilt,49,21,66,58
Vanderbilt,LSU,13,14,69,52
LSU,Vanderbilt,10,14,63,54
Vanderbilt,LSU,3,17,59,63
LSU,Vanderbilt,24,24,68,58
Vanderbilt,LSU,17,13,56,57
LSU,Vanderbilt,10,13,59,60
Vanderbilt,LSU,24,17,67,63
LSU,Vanderbilt,21,7,55,60
Vanderbilt,LSU,13,7,57,70
LSU,Vanderbilt,10,7,55,69
Vanderbilt,LSU,20,24,64,59
LSU,Vanderbilt,20,21,63,56
Vanderbilt,LSU,14,20,64,53
LSU,Vanderbilt,30,10,62,56
Vanderbilt,LSU,7,35,50,67
LSU,Vanderbilt,34,7,68,55
Vanderbilt,LSU,17,12,70,56
LSU,Vanderbilt,24,14,49,73
Vanderbilt,LSU,10,14,53,67
LSU,Vanderbilt,21,14,54,69
Vanderbilt,LSU,28,21,57,75
LSU,Vanderbilt,29,7,69,54
Vanderbilt,LSU,28,17,63,69
LSU,Vanderbilt,14,30,58,67
Vanderbilt,LSU,34,7,63,61
LSU,Vanderbilt,3,27,57,66
Vanderbilt,LSU,45,6,72,57
LSU,Vanderbilt,17,7,66,57
Vanderbilt,LSU,14,27,62,61
LSU,Vanderbilt,16,14,63,61
Vanderbilt,LSU,10,17,56,58
LSU,Vanderbilt,14,38,62,61
Vanderbilt,LSU,14,23,57,62
LSU,Vanderbilt,14,17,57,58
Vanderbilt,LSU,10,31,53,66
LSU,Vanderbilt,17,17,61,56
Vanderbilt,LSU,3,14,56,60
LSU,Vanderbilt,24,24,60,56
Vanderbilt,LSU,17,10,59,62
LSU,Vanderbilt,14,3,63,53
Vanderbilt,LSU,10,21,69,55
LSU,Vanderbilt,17,7,58,59
Vanderbilt,LSU,6,14,73,50
LSU,Vanderbilt,7,13,60,57
Vanderbilt,LSU,17,17,66,50
LSU,Vanderbilt,31,17,64,54
Vanderbilt,LSU,14,35,64,60
LSU,Vanderbilt,45,0,64,56
Vanderbilt,LSU,17,20,59,65
LSU,Vanderbilt,34,13,65,58
Vanderbilt,LSU,16,38,62,60
LSU,Vanderbilt,13,10,62,57
Vanderbilt,LSU,21,7,71,49
LSU,Vanderbilt,20,10,68,55
Vanderbilt,LSU,13,27,63,62
LSU,Vanderbilt,31,14,71,55
Vanderbilt,LSU,14,31,69,58
LSU,Vanderbilt,20,30,70,62
Vanderbilt,LSU,6,38,54,66
LSU,Vanderbilt,3,27,48,66
Vanderbilt,LSU,14,24,55,74
LSU,Vanderbilt,27,10,61,64
Vanderbilt,LSU,17,20,67,50
LSU,Vanderbilt,20,14,65,56
Vanderbilt,LSU,24,10,66,50
LSU,Vanderbilt,27,7,63,60
Vanderbilt,LSU,31,7,62,53
LSU,Vanderbilt,27,17,62,59
Vanderbilt,LSU,20,14,64,54
LSU,Vanderbilt,21,10,72,50
Vanderbilt,LSU,14,31,60,67
LSU,Vanderbilt,17,31,60,59
Vanderbilt,LSU,31,21,74,46
LSU,Vanderbilt,30,6,64,56
Vanderbilt,LSU,16,28,72,49
LSU,Vanderbilt,27,7,66,47
Vanderbilt,LSU,10,20,60,62
LSU,Vanderbilt,20,31,64,62
Vanderbilt,LSU,24,14,57,62
LSU,Vanderbilt,7,31,54,64
Vanderbilt,LSU,35,31,60,60
LSU,Vanderbilt,27,21,67,57
Vanderbilt,LSU,10,30,45,80
LSU,Vanderbilt,23,3,73,44
Vanderbilt,LSU,17,10,54,72
LSU,Vanderbilt,20,14,59,55
Vanderbilt,LSU,14,20,47,72
LSU,Vanderbilt,27,7,64,57
Vanderbilt,LSU,14,34,51,67
LSU,Vanderbilt,20,17,63,57
Vanderbilt,LSU,3,20,54,67
LSU,Vanderbilt,20,10,72,53
Vanderbilt,LSU,21,7,61,65
LSU,Vanderbilt,10,20,65,60
Vanderbilt,LSU,20,6,62,56
LSU,Vanderbilt,17,21,65,63
Vanderbilt,LSU,14,36,52,67
LSU,Vanderbilt,0,24,64,59
Vanderbilt,LSU,24,17,56,64
LSU,Vanderbilt,41,7,68,59
