sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Arizona State,Houston,Sam Leavitt,QB,27,22,266.4,1,0,1,0,0.0,0,0,0,0.0,0
32,A,Arizona State,Houston,Demarius Robinson,Rusher,0,0,0.0,0,0,0,6,35.3,1,0,0,0.0,0
32,A,Arizona State,Houston,Raleek Brown,Rusher,0,0,0.0,0,0,0,16,82.1,0,0,0,0.0,0
32,A,Arizona State,Houston,Kanye Udoh,Rusher,0,0,0.0,0,0,0,8,34.6,1,0,0,0.0,0
32,A,Arizona State,Houston,Kyson Brown,Rusher,0,0,0.0,0,0,0,6,30.9,1,0,0,0.0,0
32,A,Arizona State,Houston,Sam Leavitt,Rusher,0,0,0.0,0,0,0,6,17.4,0,0,0,0.0,0
32,A,Arizona State,Houston,Jeff Sims,Rusher,0,0,0.0,0,0,0,1,13.0,0,0,0,0.0,0
32,A,Arizona State,Houston,Chamon Metayer,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,45.8,0
32,A,Arizona State,Houston,Jordyn Tyson,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,9,86.0,0
32,A,Arizona State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,87.8,0
32,A,Arizona State,Houston,Cameron Harpole,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.4,0
32,A,Arizona State,Houston,Derek Eusebio,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,3.6,0
32,A,Arizona State,Houston,Malik McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.6,0
32,A,Arizona State,Houston,Khamari Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.0,0
32,A,Arizona State,Houston,Jaren Hamilton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.2,1
32,A,Houston,Arizona State,Conner Weigman,QB,34,15,213.9,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Houston,Arizona State,Conner Weigman,Rusher,0,0,0.0,0,0,0,4,25.9,0,0,0,0.0,0
32,A,Houston,Arizona State,Dean Connors,Rusher,0,0,0.0,0,0,0,14,39.0,0,0,0,0.0,0
32,A,Houston,Arizona State,DJ Butler,Rusher,0,0,0.0,0,0,0,2,14.9,0,0,0,0.0,0
32,A,Houston,Arizona State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,3,20.6,1,0,0,0.0,0
32,A,Houston,Arizona State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,2,5.5,0,0,0,0.0,0
32,A,Houston,Arizona State,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,7,8.5,0
32,A,Houston,Arizona State,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,0.0,0
32,A,Houston,Arizona State,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
32,A,Houston,Arizona State,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,39.3,0
32,A,Houston,Arizona State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,119.7,0
32,A,Houston,Arizona State,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,4,0.0,0
32,A,Houston,Arizona State,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,0.0,0
32,A,Houston,Arizona State,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,46.4,0
33,B,Houston,Arizona State,Conner Weigman,QB,41,23,179.5,0,1,5,0,0.0,0,0,0,0.0,0
33,B,Houston,Arizona State,DJ Butler,Rusher,0,0,0.0,0,0,0,3,27.6,0,0,0,0.0,0
33,B,Houston,Arizona State,Dean Connors,Rusher,0,0,0.0,0,0,0,8,9.2,0,0,0,0.0,0
33,B,Houston,Arizona State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,4,7.1,0,0,0,0.0,0
33,B,Houston,Arizona State,Stacy Sneed,Rusher,0,0,0.0,0,0,0,2,8.2,0,0,0,0.0,0
33,B,Houston,Arizona State,Conner Weigman,Rusher,0,0,0.0,0,0,0,4,-0.2,0,0,0,0.0,0
33,B,Houston,Arizona State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,9,14.3,0
33,B,Houston,Arizona State,Stephon Johnson Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,10,33.3,0
33,B,Houston,Arizona State,Harvey Broussard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,37.6,0
33,B,Houston,Arizona State,Tanner Koziol,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,17.4,0
33,B,Houston,Arizona State,Amare Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,46.1,0
33,B,Houston,Arizona State,Luke Mcgary,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Houston,Arizona State,Koby Young,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,25.4,0
33,B,Houston,Arizona State,Mekhi Mews,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,5.3,0
33,B,Arizona State,Houston,Sam Leavitt,QB,19,14,165.5,1,0,3,0,0.0,0,0,0,0.0,0
33,B,Arizona State,Houston,Raleek Brown,Rusher,0,0,0.0,0,0,0,14,86.7,1,0,0,0.0,0
33,B,Arizona State,Houston,Kanye Udoh,Rusher,0,0,0.0,0,0,0,5,23.7,0,0,0,0.0,0
33,B,Arizona State,Houston,Sam Leavitt,Rusher,0,0,0.0,0,0,0,13,34.5,0,0,0,0.0,0
33,B,Arizona State,Houston,Kyson Brown,Rusher,0,0,0.0,0,0,0,4,0.1,0,0,0,0.0,0
33,B,Arizona State,Houston,Demarius Robinson,Rusher,0,0,0.0,0,0,0,1,-2.9,0,0,0,0.0,0
33,B,Arizona State,Houston,Chamon Metayer,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,5.9,0
33,B,Arizona State,Houston,Jordyn Tyson,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,88.8,1
33,B,Arizona State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,48.6,0
33,B,Arizona State,Houston,Khamari Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.1,0
33,B,Arizona State,Houston,Jaren Hamilton,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
33,B,Arizona State,Houston,Malik McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
34,A,Arizona State,Houston,Sam Leavitt,QB,19,14,98.6,0,0,4,0,0.0,0,0,0,0.0,0
34,A,Arizona State,Houston,Kyson Brown,Rusher,0,0,0.0,0,0,0,3,20.3,0,0,0,0.0,0
34,A,Arizona State,Houston,Raleek Brown,Rusher,0,0,0.0,0,0,0,9,55.8,1,0,0,0.0,0
34,A,Arizona State,Houston,Kanye Udoh,Rusher,0,0,0.0,0,0,0,11,40.3,0,0,0,0.0,0
34,A,Arizona State,Houston,Sam Leavitt,Rusher,0,0,0.0,0,0,0,6,35.6,0,0,0,0.0,0
34,A,Arizona State,Houston,Demarius Robinson,Rusher,0,0,0.0,0,0,0,3,22.0,0,0,0,0.0,0
34,A,Arizona State,Houston,Jeff Sims,Rusher,0,0,0.0,0,0,0,2,16.8,0,0,0,0.0,0
34,A,Arizona State,Houston,Jordyn Tyson,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,9,47.4,0
34,A,Arizona State,Houston,Chamon Metayer,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
34,A,Arizona State,Houston,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,20.8,0
34,A,Arizona State,Houston,Malik McClain,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.1,0
34,A,Arizona State,Houston,Khamari Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.2,0
34,A,Arizona State,Houston,Derek Eusebio,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Houston,Arizona State,Conner Weigman,QB,24,20,234.1,0,0,4,0,0.0,0,0,0,0.0,0
34,A,Houston,Arizona State,J'Marion Burnette,Rusher,0,0,0.0,0,0,0,10,22.6,0,0,0,0.0,0
34,A,Houston,Arizona State,Dean Connors,Rusher,0,0,0.0,0,0,0,12,66.6,1,0,0,0.0,0
34,A,Houston,Arizona State,DJ Butler,Rusher,0,0,0.0,0,0,0,2,2.8,0,0,0,0.0,0
