sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Cincinnati,Baylor,Brendan Sorsby,QB,26,17,258.3,3,0,5,0,0.0,0,0,0,0.0,0
32,A,Cincinnati,Baylor,Tawee Walker,Rusher,0,0,0.0,0,0,0,15,67.2,1,0,0,0.0,0
32,A,Cincinnati,Baylor,Brendan Sorsby,Rusher,0,0,0.0,0,0,0,13,54.0,0,0,0,0.0,0
32,A,Cincinnati,Baylor,Manny Covey,Rusher,0,0,0.0,0,0,0,1,12.0,0,0,0,0.0,0
32,A,Cincinnati,Baylor,Evan Pryor,Rusher,0,0,0.0,0,0,0,7,17.1,0,0,0,0.0,0
32,A,Cincinnati,Baylor,Chance Williams,Rusher,0,0,0.0,0,0,0,1,-4.2,0,0,0,0.0,0
32,A,Cincinnati,Baylor,Noah Jennings,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,60.5,0
32,A,Cincinnati,Baylor,Cyrus Allen,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,50.2,1
32,A,Cincinnati,Baylor,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,57.0,0
32,A,Cincinnati,Baylor,Caleb Goodie,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,4.6,0
32,A,Cincinnati,Baylor,Isaiah Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,42.1,1
32,A,Cincinnati,Baylor,Jeff Caldwell,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,26.5,1
32,A,Cincinnati,Baylor,Joe Royer,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.3,0
32,A,Cincinnati,Baylor,Patrick Gurd,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Baylor,Cincinnati,Sawyer Robertson,QB,31,26,328.8,1,0,5,0,0.0,0,0,0,0.0,0
32,A,Baylor,Cincinnati,Bryson Washington,Rusher,0,0,0.0,0,0,0,19,110.5,2,0,0,0.0,0
32,A,Baylor,Cincinnati,Sawyer Robertson,Rusher,0,0,0.0,0,0,0,1,3.5,0,0,0,0.0,0
32,A,Baylor,Cincinnati,Caden Knighten,Rusher,0,0,0.0,0,0,0,9,32.2,1,0,0,0.0,0
32,A,Baylor,Cincinnati,Michael Turner,Rusher,0,0,0.0,0,0,0,5,25.6,0,0,0,0.0,0
32,A,Baylor,Cincinnati,Joseph Dodds,Rusher,0,0,0.0,0,0,0,3,23.9,0,0,0,0.0,0
32,A,Baylor,Cincinnati,Michael Trigg,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,70.6,1
32,A,Baylor,Cincinnati,Matthew Klopfenstein,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.2,0
32,A,Baylor,Cincinnati,Kobe Prentice,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.4,0
32,A,Baylor,Cincinnati,Louis Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,19.5,0
32,A,Baylor,Cincinnati,Josh Cameron,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,83.9,0
32,A,Baylor,Cincinnati,Kelsey Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,30.2,0
32,A,Baylor,Cincinnati,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,69.7,0
32,A,Baylor,Cincinnati,Ashtyn Hawkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.4,0
33,B,Baylor,Cincinnati,Sawyer Robertson,QB,31,20,146.3,1,0,4,0,0.0,0,0,0,0.0,0
33,B,Baylor,Cincinnati,Bryson Washington,Rusher,0,0,0.0,0,0,0,14,52.8,1,0,0,0.0,0
