sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Georgia State,South Alabama,Christian Veilleux,QB,27,15,201.2,0,0,1,0,0.0,0,0,0,0.0,0
32,A,Georgia State,South Alabama,Rashad Amos,Rusher,0,0,0.0,0,0,0,17,108.5,1,0,0,0.0,0
32,A,Georgia State,South Alabama,Jordan Simmons,Rusher,0,0,0.0,0,0,0,10,7.2,0,0,0,0.0,0
32,A,Georgia State,South Alabama,Djay Braswell,Rusher,0,0,0.0,0,0,0,6,27.6,1,0,0,0.0,0
32,A,Georgia State,South Alabama,Christian Veilleux,Rusher,0,0,0.0,0,0,0,4,34.8,0,0,0,0.0,0
32,A,Georgia State,South Alabama,Branson Robinson,Rusher,0,0,0.0,0,0,0,4,21.7,2,0,0,0.0,0
32,A,Georgia State,South Alabama,Ted Hurst,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,36.5,0
32,A,Georgia State,South Alabama,Kyle Washington,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Georgia State,South Alabama,Javon Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.1,0
32,A,Georgia State,South Alabama,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,77.1,0
32,A,Georgia State,South Alabama,Grant Hollier,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.6,0
32,A,Georgia State,South Alabama,Leo Blackburn,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,31.0,0
32,A,Georgia State,South Alabama,Camden Overton,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
32,A,South Alabama,Georgia State,Bishop Davenport,QB,32,22,171.4,1,0,7,0,0.0,0,0,0,0.0,0
32,A,South Alabama,Georgia State,Keenan Phillips,Rusher,0,0,0.0,0,0,0,5,-13.8,0,0,0,0.0,0
32,A,South Alabama,Georgia State,Kentrel Bullock,Rusher,0,0,0.0,0,0,0,7,27.3,0,0,0,0.0,0
32,A,South Alabama,Georgia State,Bishop Davenport,Rusher,0,0,0.0,0,0,0,11,66.8,0,0,0,0.0,0
32,A,South Alabama,Georgia State,Trae'von Dunbar,Rusher,0,0,0.0,0,0,0,3,21.8,0,0,0,0.0,0
32,A,South Alabama,Georgia State,PJ Martin,Rusher,0,0,0.0,0,0,0,5,21.1,0,0,0,0.0,0
32,A,South Alabama,Georgia State,Devin Voisin,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,10,49.1,0
32,A,South Alabama,Georgia State,Miller McCrumby,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,13.5,0
32,A,South Alabama,Georgia State,Anthony Eager,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,22.1,1
32,A,South Alabama,Georgia State,Jeremy Scott,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,47.7,0
32,A,South Alabama,Georgia State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,4.3,0
32,A,South Alabama,Georgia State,Brendan Jenkins,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,27.1,0
32,A,South Alabama,Georgia State,Rod Gibbs,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,7.5,0
32,A,South Alabama,Georgia State,Jeremiah Jones-Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,South Alabama,Georgia State,Micah Woods,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
33,B,South Alabama,Georgia State,Bishop Davenport,QB,34,18,137.8,0,0,7,0,0.0,0,0,0,0.0,0
