sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Kent State,Bowling Green,CJ Montes,QB,27,17,226.2,2,0,5,0,0.0,0,0,0,0.0,0
32,A,Kent State,Bowling Green,Cade Wolford,Rusher,0,0,0.0,0,0,0,3,26.4,1,0,0,0.0,0
32,A,Kent State,Bowling Green,Jahzae Kimbrough,Rusher,0,0,0.0,0,0,0,8,32.0,0,0,0,0.0,0
32,A,Kent State,Bowling Green,Dru Deshields,Rusher,0,0,0.0,0,0,0,7,51.9,1,0,0,0.0,0
32,A,Kent State,Bowling Green,Gavin Garcia,Rusher,0,0,0.0,0,0,0,9,30.0,1,0,0,0.0,0
32,A,Kent State,Bowling Green,Donovan Delaney,Rusher,0,0,0.0,0,0,0,5,14.3,0,0,0,0.0,0
32,A,Kent State,Bowling Green,CJ Montes,Rusher,0,0,0.0,0,0,0,1,5.6,0,0,0,0.0,0
32,A,Kent State,Bowling Green,Hunter Hopperton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,26.6,0
32,A,Kent State,Bowling Green,Ardell Banks,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,26.5,0
32,A,Kent State,Bowling Green,Wayne Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,27.3,0
32,A,Kent State,Bowling Green,Sebastian Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,20.2,0
32,A,Kent State,Bowling Green,Terik Mulder,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,29.4,0
32,A,Kent State,Bowling Green,Christian Berry,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,37.3,1
32,A,Kent State,Bowling Green,Jay Jay Etheridge,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,4.9,0
32,A,Kent State,Bowling Green,Dashawn Martin,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Kent State,Bowling Green,Da'Realyst Clark,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,7.6,0
32,A,Kent State,Bowling Green,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,46.3,1
32,A,Bowling Green,Kent State,Drew Pyne,QB,30,20,199.1,0,0,7,0,0.0,0,0,0,0.0,0
32,A,Bowling Green,Kent State,Cameron Pettaway,Rusher,0,0,0.0,0,0,0,4,16.4,1,0,0,0.0,0
32,A,Bowling Green,Kent State,Nakai Amachree,Rusher,0,0,0.0,0,0,0,3,1.2,0,0,0,0.0,0
32,A,Bowling Green,Kent State,Chris McMillian,Rusher,0,0,0.0,0,0,0,4,22.5,1,0,0,0.0,0
32,A,Bowling Green,Kent State,Kaderris Roberts,Rusher,0,0,0.0,0,0,0,3,8.0,0,0,0,0.0,0
32,A,Bowling Green,Kent State,Drew Pyne,Rusher,0,0,0.0,0,0,0,2,10.5,0,0,0,0.0,0
32,A,Bowling Green,Kent State,Leo Kemp,Rusher,0,0,0.0,0,0,0,1,1.1,0,0,0,0.0,0
32,A,Bowling Green,Kent State,Mar'Kel Porter,Rusher,0,0,0.0,0,0,0,2,-4.5,0,0,0,0.0,0
32,A,Bowling Green,Kent State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,93.1,0
32,A,Bowling Green,Kent State,Allen Middleton,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,13.7,0
32,A,Bowling Green,Kent State,Finn Hogan,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,17.8,0
32,A,Bowling Green,Kent State,Reis Stocksdale,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,5.9,0
32,A,Bowling Green,Kent State,Jyrin Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Bowling Green,Kent State,RJ Garcia II,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,11.2,0
32,A,Bowling Green,Kent State,Winn Sharp,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.1,0
32,A,Bowling Green,Kent State,Brennan Ridley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,12.8,0
32,A,Bowling Green,Kent State,Jacob Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,1.1,0
32,A,Bowling Green,Kent State,Blane Cleaver,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,26.5,0
33,B,Bowling Green,Kent State,Drew Pyne,QB,24,14,195.9,0,0,2,0,0.0,0,0,0,0.0,0
33,B,Bowling Green,Kent State,Lucian Anderson III,Rusher,0,0,0.0,0,0,0,2,0.1,0,0,0,0.0,0
33,B,Bowling Green,Kent State,Kaderris Roberts,Rusher,0,0,0.0,0,0,0,10,18.3,0,0,0,0.0,0
33,B,Bowling Green,Kent State,Nakai Amachree,Rusher,0,0,0.0,0,0,0,2,2.2,0,0,0,0.0,0
33,B,Bowling Green,Kent State,Chris McMillian,Rusher,0,0,0.0,0,0,0,7,10.8,0,0,0,0.0,0
33,B,Bowling Green,Kent State,Cameron Pettaway,Rusher,0,0,0.0,0,0,0,7,24.3,0,0,0,0.0,0
33,B,Bowling Green,Kent State,Mar'Kel Porter,Rusher,0,0,0.0,0,0,0,3,33.1,1,0,0,0.0,0
33,B,Bowling Green,Kent State,Leo Kemp,Rusher,0,0,0.0,0,0,0,2,1.6,0,0,0,0.0,0
33,B,Bowling Green,Kent State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,84.6,0
33,B,Bowling Green,Kent State,Jacob Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.7,0
33,B,Bowling Green,Kent State,RJ Garcia II,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,18.6,0
