sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,LSU,Texas A&M,Garrett Nussmeier,QB,26,18,177.6,0,0,4,0,0.0,0,0,0,0.0,0
0,A,LSU,Texas A&M,Caden Durham,Rusher,0,0,0.0,0,0,0,12,35.6,0,0,0,0.0,0
0,A,LSU,Texas A&M,Ju'Juan Johnson,Rusher,0,0,0.0,0,0,0,4,29.8,1,0,0,0.0,0
0,A,LSU,Texas A&M,Harlem Berry,Rusher,0,0,0.0,0,0,0,6,3.1,0,0,0,0.0,0
0,A,LSU,Texas A&M,Kaleb Jackson,Rusher,0,0,0.0,0,0,0,1,3.1,0,0,0,0.0,0
0,A,LSU,Texas A&M,Other RB,Rusher,0,0,0.0,0,0,0,3,13.2,0,0,0,0.0,0
0,A,LSU,Texas A&M,Barion Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,58.4,0
0,A,LSU,Texas A&M,Nic Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.9,0
0,A,LSU,Texas A&M,Aaron Anderson,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,59.7,0
0,A,LSU,Texas A&M,Trey'Dez Green,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,LSU,Texas A&M,Bauer Sharp,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,22.9,0
0,A,LSU,Texas A&M,Chris Hilton Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.6,0
0,A,LSU,Texas A&M,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,18.1,0
0,A,LSU,Texas A&M,Zavion Thomas,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,LSU,Texas A&M,Kyle Parker,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
0,A,Texas A&M,LSU,Marcel Reed,QB,23,16,234.7,1,0,4,0,0.0,0,0,0,0.0,0
0,A,Texas A&M,LSU,Le'Veon Moss,Rusher,0,0,0.0,0,0,0,15,55.7,0,0,0,0.0,0
0,A,Texas A&M,LSU,Marcel Reed,Rusher,0,0,0.0,0,0,0,6,12.5,0,0,0,0.0,0
0,A,Texas A&M,LSU,Amari Daniels,Rusher,0,0,0.0,0,0,0,4,14.3,0,0,0,0.0,0
0,A,Texas A&M,LSU,E.J. Smith,Rusher,0,0,0.0,0,0,0,2,11.5,1,0,0,0.0,0
0,A,Texas A&M,LSU,Rueben Owens,Rusher,0,0,0.0,0,0,0,5,17.3,1,0,0,0.0,0
0,A,Texas A&M,LSU,Miles O'Neill,Rusher,0,0,0.0,0,0,0,1,8.4,0,0,0,0.0,0
0,A,Texas A&M,LSU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,12.0,0
0,A,Texas A&M,LSU,Mario Craver,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,84.4,0
0,A,Texas A&M,LSU,Terry Bussey,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,38.9,0
0,A,Texas A&M,LSU,Kevin Concepcion,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,59.7,0
0,A,Texas A&M,LSU,Theo Melin Ohrstrom,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.3,0
0,A,Texas A&M,LSU,Amari Niblack,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,21.3,1
1,B,Texas A&M,LSU,Marcel Reed,QB,18,15,197.5,1,0,3,0,0.0,0,0,0,0.0,0
1,B,Texas A&M,LSU,Le'Veon Moss,Rusher,0,0,0.0,0,0,0,14,42.3,0,0,0,0.0,0
1,B,Texas A&M,LSU,Jamarion Morrow,Rusher,0,0,0.0,0,0,0,3,17.8,0,0,0,0.0,0
1,B,Texas A&M,LSU,Marcel Reed,Rusher,0,0,0.0,0,0,0,6,18.5,1,0,0,0.0,0
1,B,Texas A&M,LSU,Rueben Owens,Rusher,0,0,0.0,0,0,0,2,2.8,0,0,0,0.0,0
1,B,Texas A&M,LSU,Miles O'Neill,Rusher,0,0,0.0,0,0,0,4,-2.8,0,0,0,0.0,0
1,B,Texas A&M,LSU,Amari Daniels,Rusher,0,0,0.0,0,0,0,4,7.6,0,0,0,0.0,0
1,B,Texas A&M,LSU,E.J. Smith,Rusher,0,0,0.0,0,0,0,1,12.3,0,0,0,0.0,0
1,B,Texas A&M,LSU,Mario Craver,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,56.3,0
1,B,Texas A&M,LSU,Kevin Concepcion,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,37.7,1
1,B,Texas A&M,LSU,Ashton Bethel-Roman,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,50.3,0
