sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Miami (OH),Western Michigan,Dequan Finn,QB,35,19,144.0,0,0,7,0,0.0,0,0,0,0.0,0
32,A,Miami (OH),Western Michigan,Kenny Tracy,Rusher,0,0,0.0,0,0,0,14,19.0,0,0,0,0.0,0
32,A,Miami (OH),Western Michigan,Jordan Brunson,Rusher,0,0,0.0,0,0,0,1,0.9,0,0,0,0.0,0
32,A,Miami (OH),Western Michigan,Dequan Finn,Rusher,0,0,0.0,0,0,0,5,20.2,0,0,0,0.0,0
32,A,Miami (OH),Western Michigan,Henry Hesson,Rusher,0,0,0.0,0,0,0,1,1.5,0,0,0,0.0,0
32,A,Miami (OH),Western Michigan,D'Shawntae Jones,Rusher,0,0,0.0,0,0,0,1,14.4,1,0,0,0.0,0
32,A,Miami (OH),Western Michigan,Cole Weaver,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,10.0,0
32,A,Miami (OH),Western Michigan,Keith Reynolds,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,33.0,0
32,A,Miami (OH),Western Michigan,Kamryn Perry,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,9,16.4,0
32,A,Miami (OH),Western Michigan,Deion Colzie,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,22.6,0
32,A,Miami (OH),Western Michigan,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,51.5,0
32,A,Miami (OH),Western Michigan,Lynel Billups-Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,1.4,0
32,A,Miami (OH),Western Michigan,Braylon Isom,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,6.5,0
32,A,Miami (OH),Western Michigan,Brian Shane,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Miami (OH),Western Michigan,Brady Simmons,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,2.6,0
32,A,Western Michigan,Miami (OH),Broc Lowry,QB,26,13,143.1,1,0,7,0,0.0,0,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Brady Jones,QB,5,2,18.6,1,0,1,0,0.0,0,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Broc Lowry,Rusher,0,0,0.0,0,0,0,9,25.9,0,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Jalen Buckley,Rusher,0,0,0.0,0,0,0,10,24.8,0,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Devin Miles,Rusher,0,0,0.0,0,0,0,1,15.6,0,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Cole Cabana,Rusher,0,0,0.0,0,0,0,3,17.2,0,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Ofa Mataele,Rusher,0,0,0.0,0,0,0,8,73.0,1,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Brady Jones,Rusher,0,0,0.0,0,0,0,1,16.1,0,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,26.4,0
32,A,Western Michigan,Miami (OH),Christian Leary,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,Western Michigan,Miami (OH),Tailique Williams,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,7,57.0,1
32,A,Western Michigan,Miami (OH),Aveion Chenault,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,16.7,0
32,A,Western Michigan,Miami (OH),Blake Bosma,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,39.3,0
