sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,Navy,Florida Atlantic,Blake Horvath,QB,28,20,253.5,2,0,1,0,0.0,0,0,0,0.0,0
0,A,Navy,Florida Atlantic,Blake Horvath,Rusher,0,0,0.0,0,0,0,14,55.1,0,0,0,0.0,0
0,A,Navy,Florida Atlantic,Alex Tecza,Rusher,0,0,0.0,0,0,0,8,56.7,2,0,0,0.0,0
0,A,Navy,Florida Atlantic,Other RB,Rusher,0,0,0.0,0,0,0,6,58.3,1,0,0,0.0,0
0,A,Navy,Florida Atlantic,Braxton Woodson,Rusher,0,0,0.0,0,0,0,5,11.1,0,0,0,0.0,0
0,A,Navy,Florida Atlantic,Jackson Gutierrez,Rusher,0,0,0.0,0,0,0,2,0.5,0,0,0,0.0,0
0,A,Navy,Florida Atlantic,Shane Reynolds,Rusher,0,0,0.0,0,0,0,1,8.5,0,0,0,0.0,0
0,A,Navy,Florida Atlantic,Eli Heidenreich,Receiver,0,0,0.0,0,0,0,0,0.0,0,10,13,113.5,0
0,A,Navy,Florida Atlantic,Joshua Guerin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,24.9,1
0,A,Navy,Florida Atlantic,Brandon Chatman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,14.3,0
0,A,Navy,Florida Atlantic,Luke Hutchison,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,Navy,Florida Atlantic,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,47.0,0
0,A,Navy,Florida Atlantic,Nathan Kent,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,22.9,1
0,A,Navy,Florida Atlantic,Charles Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,6.7,0
0,A,Navy,Florida Atlantic,Cody Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,24.2,0
0,A,Florida Atlantic,Navy,Caden Veltkamp,QB,34,20,198.6,1,1,9,0,0.0,0,0,0,0.0,0
0,A,Florida Atlantic,Navy,Xavier Terrell,Rusher,0,0,0.0,0,0,0,9,39.4,0,0,0,0.0,0
0,A,Florida Atlantic,Navy,Gemari Sands,Rusher,0,0,0.0,0,0,0,8,50.9,1,0,0,0.0,0
0,A,Florida Atlantic,Navy,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,14,80.2,0,0,0,0.0,0
0,A,Florida Atlantic,Navy,Kaden Shields-Dutton,Rusher,0,0,0.0,0,0,0,1,-0.8,0,0,0,0.0,0
0,A,Florida Atlantic,Navy,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,4,17.5,1
0,A,Florida Atlantic,Navy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,45.3,0
0,A,Florida Atlantic,Navy,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,8,25.7,0
0,A,Florida Atlantic,Navy,Dom Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,33.4,0
0,A,Florida Atlantic,Navy,Michael Kirch,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,29.9,0
0,A,Florida Atlantic,Navy,Sean Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,9.1,0
0,A,Florida Atlantic,Navy,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
0,A,Florida Atlantic,Navy,Jabari Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Florida Atlantic,Navy,Asaad Waseem,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,37.7,0
0,A,Florida Atlantic,Navy,Quincy Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
1,B,Florida Atlantic,Navy,Caden Veltkamp,QB,23,17,226.6,1,0,9,0,0.0,0,0,0,0.0,0
1,B,Florida Atlantic,Navy,Xavier Terrell,Rusher,0,0,0.0,0,0,0,13,51.3,0,0,0,0.0,0
1,B,Florida Atlantic,Navy,Gemari Sands,Rusher,0,0,0.0,0,0,0,12,31.8,0,0,0,0.0,0
1,B,Florida Atlantic,Navy,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,3,-3.1,0,0,0,0.0,0
1,B,Florida Atlantic,Navy,Kaden Shields-Dutton,Rusher,0,0,0.0,0,0,0,1,-3.1,0,0,0,0.0,0
1,B,Florida Atlantic,Navy,Dom Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,25.5,0
1,B,Florida Atlantic,Navy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,59.0,0
1,B,Florida Atlantic,Navy,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,64.9,0
1,B,Florida Atlantic,Navy,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.1,0
1,B,Florida Atlantic,Navy,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,59.2,1
1,B,Florida Atlantic,Navy,Jabari Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
1,B,Navy,Florida Atlantic,Blake Horvath,QB,24,17,202.1,1,0,1,0,0.0,0,0,0,0.0,0
1,B,Navy,Florida Atlantic,Jackson Gutierrez,Rusher,0,0,0.0,0,0,0,2,4.2,0,0,0,0.0,0
1,B,Navy,Florida Atlantic,Other RB,Rusher,0,0,0.0,0,0,0,13,69.7,1,0,0,0.0,0
1,B,Navy,Florida Atlantic,Alex Tecza,Rusher,0,0,0.0,0,0,0,10,34.0,0,0,0,0.0,0
1,B,Navy,Florida Atlantic,Blake Horvath,Rusher,0,0,0.0,0,0,0,8,34.5,0,0,0,0.0,0
1,B,Navy,Florida Atlantic,Braxton Woodson,Rusher,0,0,0.0,0,0,0,4,14.5,0,0,0,0.0,0
1,B,Navy,Florida Atlantic,Shane Reynolds,Rusher,0,0,0.0,0,0,0,2,22.4,1,0,0,0.0,0
1,B,Navy,Florida Atlantic,Joshua Guerin,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,21.8,0
1,B,Navy,Florida Atlantic,Luke Hutchison,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,15.7,0
1,B,Navy,Florida Atlantic,Eli Heidenreich,Receiver,0,0,0.0,0,0,0,0,0.0,0,8,11,133.2,1
1,B,Navy,Florida Atlantic,Nathan Kent,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,17.9,0
1,B,Navy,Florida Atlantic,Cody Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,13.5,0
1,B,Navy,Florida Atlantic,Brandon Chatman,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
2,A,Navy,Florida Atlantic,Blake Horvath,QB,28,19,193.4,0,0,4,0,0.0,0,0,0,0.0,0
2,A,Navy,Florida Atlantic,Blake Horvath,Rusher,0,0,0.0,0,0,0,7,20.1,1,0,0,0.0,0
2,A,Navy,Florida Atlantic,Other RB,Rusher,0,0,0.0,0,0,0,5,19.5,0,0,0,0.0,0
2,A,Navy,Florida Atlantic,Alex Tecza,Rusher,0,0,0.0,0,0,0,15,66.3,1,0,0,0.0,0
2,A,Navy,Florida Atlantic,Braxton Woodson,Rusher,0,0,0.0,0,0,0,3,26.1,1,0,0,0.0,0
2,A,Navy,Florida Atlantic,Jackson Gutierrez,Rusher,0,0,0.0,0,0,0,5,17.2,0,0,0,0.0,0
2,A,Navy,Florida Atlantic,Shane Reynolds,Rusher,0,0,0.0,0,0,0,1,11.5,0,0,0,0.0,0
2,A,Navy,Florida Atlantic,Joshua Guerin,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,39.5,0
2,A,Navy,Florida Atlantic,Cody Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,45.8,0
2,A,Navy,Florida Atlantic,Luke Hutchison,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,21.2,0
2,A,Navy,Florida Atlantic,Brandon Chatman,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,4.4,0
2,A,Navy,Florida Atlantic,Nathan Kent,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,35.1,0
2,A,Navy,Florida Atlantic,Eli Heidenreich,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,47.5,0
2,A,Florida Atlantic,Navy,Caden Veltkamp,QB,23,14,115.6,1,0,12,0,0.0,0,0,0,0.0,0
2,A,Florida Atlantic,Navy,Gemari Sands,Rusher,0,0,0.0,0,0,0,8,36.8,0,0,0,0.0,0
2,A,Florida Atlantic,Navy,Xavier Terrell,Rusher,0,0,0.0,0,0,0,14,35.5,0,0,0,0.0,0
2,A,Florida Atlantic,Navy,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,8,43.8,0,0,0,0.0,0
2,A,Florida Atlantic,Navy,Other RB,Rusher,0,0,0.0,0,0,0,1,0.3,0,0,0,0.0,0
2,A,Florida Atlantic,Navy,Kaden Shields-Dutton,Rusher,0,0,0.0,0,0,0,2,12.4,0,0,0,0.0,0
2,A,Florida Atlantic,Navy,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,63.3,1
2,A,Florida Atlantic,Navy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,0.0,0
2,A,Florida Atlantic,Navy,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,5.8,0
2,A,Florida Atlantic,Navy,Quincy Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,6.1,0
2,A,Florida Atlantic,Navy,Sean Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,11.2,0
2,A,Florida Atlantic,Navy,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,13.6,0
2,A,Florida Atlantic,Navy,Michael Kirch,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
2,A,Florida Atlantic,Navy,Jabari Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.6,0
2,A,Florida Atlantic,Navy,Dom Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
2,A,Florida Atlantic,Navy,Asaad Waseem,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
3,B,Florida Atlantic,Navy,Caden Veltkamp,QB,26,15,189.6,0,0,3,0,0.0,0,0,0,0.0,0
3,B,Florida Atlantic,Navy,Caden Veltkamp,Rusher,0,0,0.0,0,0,0,7,53.3,0,0,0,0.0,0
3,B,Florida Atlantic,Navy,Gemari Sands,Rusher,0,0,0.0,0,0,0,7,12.2,0,0,0,0.0,0
3,B,Florida Atlantic,Navy,Xavier Terrell,Rusher,0,0,0.0,0,0,0,10,26.2,0,0,0,0.0,0
3,B,Florida Atlantic,Navy,Other RB,Rusher,0,0,0.0,0,0,0,1,-0.9,0,0,0,0.0,0
3,B,Florida Atlantic,Navy,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,43.7,0
3,B,Florida Atlantic,Navy,Easton Messer,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,6,62.5,0
3,B,Florida Atlantic,Navy,Asaad Waseem,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,25.1,0
3,B,Florida Atlantic,Navy,Martavious Collins,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.3,0
3,B,Florida Atlantic,Navy,Jabari Smith,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,17.0,0
3,B,Florida Atlantic,Navy,Dom Henry,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,15.3,0
3,B,Florida Atlantic,Navy,Jayshon Platt,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,16.8,0
3,B,Florida Atlantic,Navy,Sean Wilson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
3,B,Navy,Florida Atlantic,Blake Horvath,QB,30,23,329.3,2,0,3,0,0.0,0,0,0,0.0,0
3,B,Navy,Florida Atlantic,Blake Horvath,Rusher,0,0,0.0,0,0,0,15,82.5,2,0,0,0.0,0
3,B,Navy,Florida Atlantic,Alex Tecza,Rusher,0,0,0.0,0,0,0,10,46.6,0,0,0,0.0,0
3,B,Navy,Florida Atlantic,Other RB,Rusher,0,0,0.0,0,0,0,10,33.4,0,0,0,0.0,0
3,B,Navy,Florida Atlantic,Jackson Gutierrez,Rusher,0,0,0.0,0,0,0,3,35.1,1,0,0,0.0,0
3,B,Navy,Florida Atlantic,Braxton Woodson,Rusher,0,0,0.0,0,0,0,2,16.0,0,0,0,0.0,0
3,B,Navy,Florida Atlantic,Luke Hutchison,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,83.9,0
3,B,Navy,Florida Atlantic,Cody Howard,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,29.4,1
