sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
0,A,New Mexico State,Missouri State,Logan Fife,QB,33,25,291.2,1,0,9,0,0.0,0,0,0,0.0,0
0,A,New Mexico State,Missouri State,Logan Fife,Rusher,0,0,0.0,0,0,0,4,4.5,0,0,0,0.0,0
0,A,New Mexico State,Missouri State,Kadarius Calloway,Rusher,0,0,0.0,0,0,0,12,33.3,0,0,0,0.0,0
0,A,New Mexico State,Missouri State,Isaiah Rudison,Rusher,0,0,0.0,0,0,0,4,6.7,0,0,0,0.0,0
0,A,New Mexico State,Missouri State,Dijon Stanley,Rusher,0,0,0.0,0,0,0,7,17.6,0,0,0,0.0,0
0,A,New Mexico State,Missouri State,Other RB,Rusher,0,0,0.0,0,0,0,1,11.0,0,0,0,0.0,0
0,A,New Mexico State,Missouri State,Larenzo McMillan,Rusher,0,0,0.0,0,0,0,2,25.2,1,0,0,0.0,0
0,A,New Mexico State,Missouri State,Donovan Faupel,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,8,69.4,0
0,A,New Mexico State,Missouri State,Gavin Harris,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,47.6,0
0,A,New Mexico State,Missouri State,Glynn Johnson Jr,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,56.7,0
0,A,New Mexico State,Missouri State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,6,9,92.9,1
0,A,New Mexico State,Missouri State,Jackson Owens,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.2,0
0,A,New Mexico State,Missouri State,Lukas Ungar,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.0,0
0,A,New Mexico State,Missouri State,Brodrick Malone,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
0,A,New Mexico State,Missouri State,Shawn Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,16.4,0
0,A,New Mexico State,Missouri State,Adam Parks,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
0,A,Missouri State,New Mexico State,Jacob Clark,QB,37,29,403.9,4,0,2,0,0.0,0,0,0,0.0,0
0,A,Missouri State,New Mexico State,Jacob Clark,Rusher,0,0,0.0,0,0,0,5,-0.8,0,0,0,0.0,0
0,A,Missouri State,New Mexico State,Shomari Lawrence,Rusher,0,0,0.0,0,0,0,14,22.6,1,0,0,0.0,0
0,A,Missouri State,New Mexico State,Deuce Bailey,Rusher,0,0,0.0,0,0,0,6,29.0,0,0,0,0.0,0
0,A,Missouri State,New Mexico State,Ramone Green Jr.,Rusher,0,0,0.0,0,0,0,5,10.0,0,0,0,0.0,0
0,A,Missouri State,New Mexico State,Dillon Hipp,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,27.9,0
0,A,Missouri State,New Mexico State,Makai Cope,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,40.1,0
0,A,Missouri State,New Mexico State,Jmariyae Robinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,48.7,0
0,A,Missouri State,New Mexico State,Tristian Gardner,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,37.3,1
0,A,Missouri State,New Mexico State,Alred Luke,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,92.9,1
0,A,Missouri State,New Mexico State,Ronnel Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,9.1,0
0,A,Missouri State,New Mexico State,James BlackStrain,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,56.9,0
0,A,Missouri State,New Mexico State,Brendon McQueen,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,16.1,0
0,A,Missouri State,New Mexico State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,50.6,1
0,A,Missouri State,New Mexico State,Hayden Hagler,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,24.2,1
1,B,Missouri State,New Mexico State,Jacob Clark,QB,39,21,246.2,1,0,4,0,0.0,0,0,0,0.0,0
1,B,Missouri State,New Mexico State,Shomari Lawrence,Rusher,0,0,0.0,0,0,0,18,63.2,1,0,0,0.0,0
1,B,Missouri State,New Mexico State,Deuce Bailey,Rusher,0,0,0.0,0,0,0,4,23.3,0,0,0,0.0,0
1,B,Missouri State,New Mexico State,Ramone Green Jr.,Rusher,0,0,0.0,0,0,0,8,38.9,0,0,0,0.0,0
1,B,Missouri State,New Mexico State,Jacob Clark,Rusher,0,0,0.0,0,0,0,3,9.4,0,0,0,0.0,0
1,B,Missouri State,New Mexico State,Reggie Branch,Rusher,0,0,0.0,0,0,0,1,3.7,0,0,0,0.0,0
1,B,Missouri State,New Mexico State,Alred Luke,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,36.3,1
1,B,Missouri State,New Mexico State,Jeron Askren,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,20.3,0
1,B,Missouri State,New Mexico State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,51.4,0
