sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Wake Forest,SMU,Robby Ashford,QB,28,21,234.3,2,0,13,0,0.0,0,0,0,0.0,0
32,A,Wake Forest,SMU,Demond Claiborne,Rusher,0,0,0.0,0,0,0,9,22.4,0,0,0,0.0,0
32,A,Wake Forest,SMU,JaMario Clements,Rusher,0,0,0.0,0,0,0,10,15.7,0,0,0,0.0,0
32,A,Wake Forest,SMU,Robby Ashford,Rusher,0,0,0.0,0,0,0,12,51.9,0,0,0,0.0,0
32,A,Wake Forest,SMU,Ty Clark III,Rusher,0,0,0.0,0,0,0,5,11.8,0,0,0,0.0,0
32,A,Wake Forest,SMU,Chevy Brenson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Wake Forest,SMU,Chris Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,6,47.2,0
32,A,Wake Forest,SMU,Micah Mays Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,26.9,0
32,A,Wake Forest,SMU,Eni Falayi,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,44.9,1
32,A,Wake Forest,SMU,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,48.2,1
32,A,Wake Forest,SMU,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.3,0
32,A,Wake Forest,SMU,Kamrean Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,28.8,0
32,A,Wake Forest,SMU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,28.1,0
32,A,Wake Forest,SMU,Sawyer Racanelli,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
32,A,SMU,Wake Forest,Kevin Jennings,QB,25,17,156.5,2,0,6,0,0.0,0,0,0,0.0,0
32,A,SMU,Wake Forest,Chris Johnson Jr.,Rusher,0,0,0.0,0,0,0,12,76.6,1,0,0,0.0,0
32,A,SMU,Wake Forest,Kevin Jennings,Rusher,0,0,0.0,0,0,0,11,48.5,0,0,0,0.0,0
32,A,SMU,Wake Forest,TJ Harden,Rusher,0,0,0.0,0,0,0,14,67.0,1,0,0,0.0,0
32,A,SMU,Wake Forest,Dramekco Green,Rusher,0,0,0.0,0,0,0,3,-1.5,0,0,0,0.0,0
32,A,SMU,Wake Forest,Matthew Hibner,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,0.0,0
32,A,SMU,Wake Forest,Jalen Cooper,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,39.3,0
32,A,SMU,Wake Forest,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,36.0,1
32,A,SMU,Wake Forest,Yamir Knight,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,28.7,0
32,A,SMU,Wake Forest,Carterrious Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.1,0
32,A,SMU,Wake Forest,Romello Brinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,1.3,0
32,A,SMU,Wake Forest,R.J. Maryland,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,2.2,0
32,A,SMU,Wake Forest,Dylan Goffney,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,21.0,1
32,A,SMU,Wake Forest,Jordan Hudson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,17.0,0
33,B,SMU,Wake Forest,Kevin Jennings,QB,28,20,203.5,1,0,7,0,0.0,0,0,0,0.0,0
33,B,SMU,Wake Forest,TJ Harden,Rusher,0,0,0.0,0,0,0,14,38.0,0,0,0,0.0,0
33,B,SMU,Wake Forest,Chris Johnson Jr.,Rusher,0,0,0.0,0,0,0,8,42.6,1,0,0,0.0,0
33,B,SMU,Wake Forest,Kevin Jennings,Rusher,0,0,0.0,0,0,0,9,53.3,1,0,0,0.0,0
33,B,SMU,Wake Forest,Dramekco Green,Rusher,0,0,0.0,0,0,0,3,16.4,0,0,0,0.0,0
33,B,SMU,Wake Forest,Derrick McFall,Rusher,0,0,0.0,0,0,0,2,19.6,0,0,0,0.0,0
33,B,SMU,Wake Forest,R.J. Maryland,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,28.2,0
33,B,SMU,Wake Forest,Romello Brinson,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,7,14.6,0
33,B,SMU,Wake Forest,Yamir Knight,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,35.1,0
33,B,SMU,Wake Forest,Jalen Cooper,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,26.9,1
33,B,SMU,Wake Forest,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,5,37.3,0
33,B,SMU,Wake Forest,Carterrious Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,29.9,0
33,B,SMU,Wake Forest,Dylan Goffney,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,13.4,0
33,B,SMU,Wake Forest,Matthew Hibner,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,9.4,0
33,B,SMU,Wake Forest,Link Rhodes,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0
33,B,SMU,Wake Forest,Jordan Hudson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,8.6,0
33,B,Wake Forest,SMU,Robby Ashford,QB,39,15,131.2,0,0,5,0,0.0,0,0,0,0.0,0
33,B,Wake Forest,SMU,Robby Ashford,Rusher,0,0,0.0,0,0,0,10,49.0,1,0,0,0.0,0
33,B,Wake Forest,SMU,JaMario Clements,Rusher,0,0,0.0,0,0,0,4,22.6,0,0,0,0.0,0
33,B,Wake Forest,SMU,Demond Claiborne,Rusher,0,0,0.0,0,0,0,10,52.1,0,0,0,0.0,0
33,B,Wake Forest,SMU,Ty Clark III,Rusher,0,0,0.0,0,0,0,6,20.0,0,0,0,0.0,0
33,B,Wake Forest,SMU,Chris Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,11,36.4,0
33,B,Wake Forest,SMU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,16.5,0
33,B,Wake Forest,SMU,Micah Mays Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,12.5,0
33,B,Wake Forest,SMU,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,13.4,0
33,B,Wake Forest,SMU,Kamrean Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,17.5,0
33,B,Wake Forest,SMU,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,4,24.5,0
33,B,Wake Forest,SMU,Sawyer Racanelli,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
33,B,Wake Forest,SMU,Eni Falayi,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
33,B,Wake Forest,SMU,Jeremiah Melvin,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,10.5,0
34,A,Wake Forest,SMU,Robby Ashford,QB,29,15,132.3,0,0,9,0,0.0,0,0,0,0.0,0
34,A,Wake Forest,SMU,Robby Ashford,Rusher,0,0,0.0,0,0,0,12,61.9,1,0,0,0.0,0
34,A,Wake Forest,SMU,Demond Claiborne,Rusher,0,0,0.0,0,0,0,10,46.7,0,0,0,0.0,0
34,A,Wake Forest,SMU,Ty Clark III,Rusher,0,0,0.0,0,0,0,6,16.2,0,0,0,0.0,0
34,A,Wake Forest,SMU,Deshawn Purdie,Rusher,0,0,0.0,0,0,0,2,-2.2,0,0,0,0.0,0
34,A,Wake Forest,SMU,JaMario Clements,Rusher,0,0,0.0,0,0,0,7,22.8,0,0,0,0.0,0
34,A,Wake Forest,SMU,Kamrean Johnson,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,2,0.0,0
34,A,Wake Forest,SMU,Chris Barnes,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,28.8,0
34,A,Wake Forest,SMU,Sterling Berkhalter,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,32.9,0
34,A,Wake Forest,SMU,Micah Mays Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,21.9,0
34,A,Wake Forest,SMU,Carlos Hernandez,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,27.4,0
34,A,Wake Forest,SMU,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.3,0
34,A,Wake Forest,SMU,Jeremiah Melvin,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
