sim,start,team,opp,player,role,pass_att,pass_comp,pass_yds,pass_td,INT,sacks,rush_att,rush_yds,rush_td,rec,tgt,rec_yds,rec_td
32,A,Washington State,Toledo,Zevi Eckhaus,QB,32,25,234.1,1,0,5,0,0.0,0,0,0,0.0,0
32,A,Washington State,Toledo,Angel Johnson,Rusher,0,0,0.0,0,0,0,7,19.9,0,0,0,0.0,0
32,A,Washington State,Toledo,Leo Pulalasi,Rusher,0,0,0.0,0,0,0,2,0.1,0,0,0,0.0,0
32,A,Washington State,Toledo,Zevi Eckhaus,Rusher,0,0,0.0,0,0,0,3,20.0,0,0,0,0.0,0
32,A,Washington State,Toledo,Kirby Vorhees,Rusher,0,0,0.0,0,0,0,4,16.5,1,0,0,0.0,0
32,A,Washington State,Toledo,Julian Dugger,Rusher,0,0,0.0,0,0,0,1,1.1,0,0,0,0.0,0
32,A,Washington State,Toledo,Jaxon Potter,Rusher,0,0,0.0,0,0,0,1,0.1,0,0,0,0.0,0
32,A,Washington State,Toledo,Trey Leckner,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,5.3,0
32,A,Washington State,Toledo,Tony Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,63.9,0
32,A,Washington State,Toledo,Jeremiah Noga,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,4,16.2,0
32,A,Washington State,Toledo,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,15.5,0
32,A,Washington State,Toledo,Josh Meredith,Receiver,0,0,0.0,0,0,0,0,0.0,0,7,8,79.9,0
32,A,Washington State,Toledo,Carter Pabst,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Washington State,Toledo,Landon Wright,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,8.9,0
32,A,Washington State,Toledo,Devin Ellison,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,14.1,1
32,A,Washington State,Toledo,Leon Neal Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
32,A,Washington State,Toledo,Beau Baker,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,30.3,0
32,A,Washington State,Toledo,Ademola Faleye,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
32,A,Toledo,Washington State,Tucker Gleason,QB,34,19,252.2,1,0,2,0,0.0,0,0,0,0.0,0
32,A,Toledo,Washington State,Connor Walendzak,Rusher,0,0,0.0,0,0,0,7,14.8,0,0,0,0.0,0
32,A,Toledo,Washington State,DeaMonte Trayanum,Rusher,0,0,0.0,0,0,0,12,57.8,0,0,0,0.0,0
32,A,Toledo,Washington State,Tucker Gleason,Rusher,0,0,0.0,0,0,0,8,60.0,1,0,0,0.0,0
32,A,Toledo,Washington State,Kenji Christian,Rusher,0,0,0.0,0,0,0,5,4.1,0,0,0,0.0,0
32,A,Toledo,Washington State,Eric Holley,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,11.6,0
32,A,Toledo,Washington State,Junior Vandeross,Receiver,0,0,0.0,0,0,0,0,0.0,0,5,9,45.2,0
32,A,Toledo,Washington State,Javon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,18.2,0
32,A,Toledo,Washington State,Trayvon Rudolph,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,46.8,0
32,A,Toledo,Washington State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,46.1,0
32,A,Toledo,Washington State,Terrell Crosby Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,5,4.2,0
32,A,Toledo,Washington State,Jacob Petersen,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,7,54.4,0
32,A,Toledo,Washington State,CC Ezirim,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,14.4,1
32,A,Toledo,Washington State,Connor Jones,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,11.2,0
33,B,Toledo,Washington State,Tucker Gleason,QB,33,20,178.9,0,0,2,0,0.0,0,0,0,0.0,0
33,B,Toledo,Washington State,Kenji Christian,Rusher,0,0,0.0,0,0,0,5,20.4,0,0,0,0.0,0
33,B,Toledo,Washington State,Tucker Gleason,Rusher,0,0,0.0,0,0,0,2,16.6,0,0,0,0.0,0
33,B,Toledo,Washington State,DeaMonte Trayanum,Rusher,0,0,0.0,0,0,0,16,68.0,1,0,0,0.0,0
33,B,Toledo,Washington State,Connor Walendzak,Rusher,0,0,0.0,0,0,0,4,7.0,0,0,0,0.0,0
33,B,Toledo,Washington State,Terrell Crosby Jr.,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,0
33,B,Toledo,Washington State,Connor Jones,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,10.2,0
33,B,Toledo,Washington State,Junior Vandeross,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,8,41.5,0
33,B,Toledo,Washington State,Jacob Petersen,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,5,25.8,0
33,B,Toledo,Washington State,Javon Brown,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,27.6,0
33,B,Toledo,Washington State,Trayvon Rudolph,Receiver,0,0,0.0,0,0,0,0,0.0,0,4,6,41.0,0
33,B,Toledo,Washington State,Eric Holley,Receiver,0,0,0.0,0,0,0,0,0.0,0,3,3,11.3,0
33,B,Toledo,Washington State,Other WR,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,21.6,0
33,B,Toledo,Washington State,CC Ezirim,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,1,0.0,0
33,B,Washington State,Toledo,Zevi Eckhaus,QB,26,13,196.5,1,0,9,0,0.0,0,0,0,0.0,0
33,B,Washington State,Toledo,Kirby Vorhees,Rusher,0,0,0.0,0,0,0,10,33.1,0,0,0,0.0,0
33,B,Washington State,Toledo,Jaxon Potter,Rusher,0,0,0.0,0,0,0,2,1.3,0,0,0,0.0,0
33,B,Washington State,Toledo,Zevi Eckhaus,Rusher,0,0,0.0,0,0,0,4,14.2,0,0,0,0.0,0
33,B,Washington State,Toledo,Angel Johnson,Rusher,0,0,0.0,0,0,0,6,38.9,0,0,0,0.0,0
33,B,Washington State,Toledo,Julian Dugger,Rusher,0,0,0.0,0,0,0,1,3.3,0,0,0,0.0,0
33,B,Washington State,Toledo,Carter Pabst,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,3,42.6,0
33,B,Washington State,Toledo,Leyton Smithson,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,2,3.6,0
33,B,Washington State,Toledo,Jeremiah Noga,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,5,24.2,0
33,B,Washington State,Toledo,Landon Wright,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,40.4,1
33,B,Washington State,Toledo,Tony Freeman,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,18.0,0
33,B,Washington State,Toledo,Branden Ganashamoorthy,Receiver,0,0,0.0,0,0,0,0,0.0,0,1,3,10.8,0
33,B,Washington State,Toledo,Devin Ellison,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,4,25.1,0
33,B,Washington State,Toledo,Josh Meredith,Receiver,0,0,0.0,0,0,0,0,0.0,0,2,2,32.0,0
33,B,Washington State,Toledo,Trey Leckner,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
33,B,Washington State,Toledo,Ademola Faleye,Receiver,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,0
34,A,Washington State,Toledo,Zevi Eckhaus,QB,27,17,134.1,0,0,4,0,0.0,0,0,0,0.0,0
34,A,Washington State,Toledo,Julian Dugger,Rusher,0,0,0.0,0,0,0,2,-1.6,0,0,0,0.0,0
34,A,Washington State,Toledo,Angel Johnson,Rusher,0,0,0.0,0,0,0,12,36.7,0,0,0,0.0,0
34,A,Washington State,Toledo,Zevi Eckhaus,Rusher,0,0,0.0,0,0,0,6,24.9,0,0,0,0.0,0
