team,opp,pts,opp_pts,plays,opp_plays
LSU,Texas A&M,13,24,56,60
Texas A&M,LSU,23,17,55,60
LSU,Texas A&M,31,14,65,55
Texas A&M,LSU,17,10,60,58
LSU,Texas A&M,10,21,55,63
Texas A&M,LSU,13,27,63,56
LSU,Texas A&M,36,7,67,56
Texas A&M,LSU,7,10,62,51
LSU,Texas A&M,14,7,61,57
Texas A&M,LSU,7,7,57,56
LSU,Texas A&M,7,24,54,71
Texas A&M,LSU,21,20,69,56
LSU,Texas A&M,20,31,65,60
Texas A&M,LSU,24,24,55,67
LSU,Texas A&M,13,21,59,58
Texas A&M,LSU,10,13,59,62
LSU,Texas A&M,23,21,57,63
Texas A&M,LSU,14,6,55,64
LSU,Texas A&M,10,30,53,66
Texas A&M,LSU,23,21,71,62
LSU,Texas A&M,28,14,64,59
Texas A&M,LSU,10,7,65,50
LSU,Texas A&M,21,24,70,52
Texas A&M,LSU,17,23,57,58
LSU,Texas A&M,13,6,59,63
Texas A&M,LSU,38,21,62,69
LSU,Texas A&M,7,28,58,60
Texas A&M,LSU,17,7,82,42
LSU,Texas A&M,21,17,59,55
Texas A&M,LSU,10,21,62,55
LSU,Texas A&M,21,28,63,59
Texas A&M,LSU,14,17,67,56
LSU,Texas A&M,24,3,67,53
Texas A&M,LSU,21,44,60,57
LSU,Texas A&M,28,17,61,64
Texas A&M,LSU,13,14,72,50
LSU,Texas A&M,14,17,56,61
Texas A&M,LSU,3,27,58,62
LSU,Texas A&M,17,7,66,49
Texas A&M,LSU,31,14,61,57
LSU,Texas A&M,20,27,66,58
Texas A&M,LSU,38,28,68,56
LSU,Texas A&M,14,12,58,60
Texas A&M,LSU,14,17,48,72
LSU,Texas A&M,10,6,61,56
Texas A&M,LSU,14,13,54,66
LSU,Texas A&M,10,14,64,52
Texas A&M,LSU,35,38,71,56
LSU,Texas A&M,20,21,49,77
Texas A&M,LSU,28,24,59,62
LSU,Texas A&M,24,17,71,49
Texas A&M,LSU,38,20,68,61
LSU,Texas A&M,38,13,67,55
Texas A&M,LSU,20,3,60,59
LSU,Texas A&M,10,17,53,65
Texas A&M,LSU,21,6,55,62
LSU,Texas A&M,10,17,65,59
Texas A&M,LSU,17,20,65,64
LSU,Texas A&M,21,20,73,59
Texas A&M,LSU,21,16,68,59
LSU,Texas A&M,21,28,63,58
Texas A&M,LSU,21,31,55,62
LSU,Texas A&M,31,14,67,62
Texas A&M,LSU,17,16,53,58
LSU,Texas A&M,21,21,58,59
Texas A&M,LSU,14,0,73,45
LSU,Texas A&M,21,28,68,60
Texas A&M,LSU,3,35,55,64
LSU,Texas A&M,27,17,69,54
Texas A&M,LSU,0,16,58,55
LSU,Texas A&M,24,31,59,64
Texas A&M,LSU,20,28,63,60
LSU,Texas A&M,20,13,61,64
Texas A&M,LSU,31,27,58,62
LSU,Texas A&M,17,10,60,69
Texas A&M,LSU,35,7,62,57
LSU,Texas A&M,17,21,61,58
Texas A&M,LSU,13,13,50,64
LSU,Texas A&M,17,17,57,56
Texas A&M,LSU,10,17,54,60
LSU,Texas A&M,7,24,51,62
Texas A&M,LSU,16,0,65,56
LSU,Texas A&M,30,14,65,55
Texas A&M,LSU,14,3,63,52
LSU,Texas A&M,7,14,56,68
Texas A&M,LSU,17,13,61,54
LSU,Texas A&M,14,27,53,72
Texas A&M,LSU,24,16,68,54
LSU,Texas A&M,20,6,53,69
Texas A&M,LSU,24,13,61,65
LSU,Texas A&M,17,14,57,59
Texas A&M,LSU,37,24,64,62
LSU,Texas A&M,14,14,67,47
Texas A&M,LSU,24,16,64,61
LSU,Texas A&M,23,21,72,53
Texas A&M,LSU,13,17,57,59
LSU,Texas A&M,17,21,62,56
Texas A&M,LSU,24,14,65,62
LSU,Texas A&M,7,26,51,73
Texas A&M,LSU,21,16,54,68
LSU,Texas A&M,17,20,64,64
Texas A&M,LSU,13,20,57,54
LSU,Texas A&M,7,28,60,66
Texas A&M,LSU,24,13,70,46
LSU,Texas A&M,10,42,60,60
Texas A&M,LSU,17,17,59,58
LSU,Texas A&M,14,17,63,60
Texas A&M,LSU,14,17,66,56
LSU,Texas A&M,16,20,68,59
Texas A&M,LSU,42,21,67,57
LSU,Texas A&M,17,17,56,63
Texas A&M,LSU,14,17,64,54
LSU,Texas A&M,13,21,56,68
Texas A&M,LSU,21,24,58,56
LSU,Texas A&M,28,20,65,63
Texas A&M,LSU,17,10,66,51
