team,opp,pts,opp_pts,plays,opp_plays
Miami,Stanford,48,0,67,53
Stanford,Miami,0,27,56,64
Miami,Stanford,28,13,64,63
Stanford,Miami,3,23,58,59
Miami,Stanford,55,0,66,54
Stanford,Miami,7,51,50,73
Miami,Stanford,44,7,78,46
Stanford,Miami,7,34,62,66
Miami,Stanford,30,10,64,61
Stanford,Miami,3,37,55,71
Miami,Stanford,49,16,71,60
Stanford,Miami,3,42,50,66
Miami,Stanford,21,0,66,64
Stanford,Miami,7,34,48,67
Miami,Stanford,28,3,61,57
Stanford,Miami,0,31,55,61
Miami,Stanford,48,17,74,51
Stanford,Miami,7,27,57,68
Miami,Stanford,24,14,65,61
Stanford,Miami,0,31,59,62
Miami,Stanford,34,0,63,55
Stanford,Miami,17,20,70,53
Miami,Stanford,24,7,78,44
Stanford,Miami,14,42,61,64
Miami,Stanford,28,14,68,49
Stanford,Miami,3,45,65,57
Miami,Stanford,41,14,65,62
Stanford,Miami,7,23,57,65
Miami,Stanford,13,21,68,58
Stanford,Miami,10,34,56,66
Miami,Stanford,38,0,73,46
Stanford,Miami,0,34,45,79
Miami,Stanford,52,7,76,55
Stanford,Miami,0,45,55,64
Miami,Stanford,31,10,76,52
Stanford,Miami,14,42,65,55
Miami,Stanford,49,3,70,54
Stanford,Miami,0,49,55,70
Miami,Stanford,21,14,64,58
Stanford,Miami,3,41,58,67
Miami,Stanford,34,7,63,55
Stanford,Miami,6,24,57,63
Miami,Stanford,27,0,60,59
Stanford,Miami,3,17,68,60
Miami,Stanford,37,0,76,56
Stanford,Miami,14,14,56,67
Miami,Stanford,28,14,64,59
Stanford,Miami,6,34,66,55
Miami,Stanford,17,3,65,59
Stanford,Miami,10,35,57,65
Miami,Stanford,56,13,59,69
Stanford,Miami,17,45,66,69
Miami,Stanford,49,7,72,53
Stanford,Miami,3,41,49,80
Miami,Stanford,20,3,65,56
Stanford,Miami,10,31,61,73
Miami,Stanford,45,0,69,48
Stanford,Miami,10,35,55,66
Miami,Stanford,31,21,69,58
Stanford,Miami,13,17,72,48
Miami,Stanford,31,3,56,65
Stanford,Miami,0,31,68,58
Miami,Stanford,16,7,61,57
Stanford,Miami,14,38,57,62
Miami,Stanford,24,7,73,49
Stanford,Miami,3,28,63,57
Miami,Stanford,38,3,65,62
Stanford,Miami,7,27,57,67
Miami,Stanford,24,20,55,73
Stanford,Miami,3,38,59,63
Miami,Stanford,35,7,60,62
Stanford,Miami,10,37,54,68
Miami,Stanford,37,0,70,49
Stanford,Miami,0,23,59,59
Miami,Stanford,45,13,65,60
Stanford,Miami,14,21,61,62
Miami,Stanford,52,0,70,50
Stanford,Miami,7,35,49,69
Miami,Stanford,52,0,70,55
Stanford,Miami,14,23,58,66
Miami,Stanford,45,0,69,65
Stanford,Miami,0,34,47,67
Miami,Stanford,34,10,67,51
Stanford,Miami,16,27,56,64
Miami,Stanford,31,10,57,71
Stanford,Miami,0,45,47,77
Miami,Stanford,17,21,66,66
Stanford,Miami,3,30,61,65
Miami,Stanford,37,14,71,57
Stanford,Miami,0,52,52,69
Miami,Stanford,31,16,64,64
Stanford,Miami,0,23,57,64
Miami,Stanford,35,23,65,65
Stanford,Miami,0,31,51,65
Miami,Stanford,28,10,67,54
Stanford,Miami,17,28,56,65
Miami,Stanford,14,21,63,56
Stanford,Miami,7,26,66,53
Miami,Stanford,31,10,59,67
Stanford,Miami,7,38,61,59
Miami,Stanford,38,7,68,63
Stanford,Miami,0,23,56,64
Miami,Stanford,42,0,71,45
Stanford,Miami,6,45,55,72
Miami,Stanford,34,3,70,45
Stanford,Miami,14,42,54,65
Miami,Stanford,24,10,61,61
Stanford,Miami,10,31,65,59
Miami,Stanford,34,3,71,47
Stanford,Miami,24,38,68,58
Miami,Stanford,35,7,69,54
Stanford,Miami,0,27,56,65
Miami,Stanford,33,17,72,49
Stanford,Miami,7,14,70,61
Miami,Stanford,42,10,72,51
Stanford,Miami,7,35,62,62
Miami,Stanford,29,24,62,58
Stanford,Miami,3,27,50,67
Miami,Stanford,41,3,65,58
Stanford,Miami,17,31,66,61
Miami,Stanford,38,0,74,48
Stanford,Miami,13,34,62,58
Miami,Stanford,13,10,64,62
Stanford,Miami,6,52,52,73
