team,opp,pts,opp_pts,plays,opp_plays
Nevada,Boise State,3,24,51,67
Boise State,Nevada,31,14,69,56
Nevada,Boise State,13,21,68,52
Boise State,Nevada,51,10,69,68
Nevada,Boise State,10,44,61,65
Boise State,Nevada,24,3,71,52
Nevada,Boise State,10,34,62,63
Boise State,Nevada,30,10,62,67
Nevada,Boise State,3,27,50,69
Boise State,Nevada,52,10,65,67
Nevada,Boise State,17,33,71,62
Boise State,Nevada,20,13,62,65
Nevada,Boise State,10,14,59,72
Boise State,Nevada,31,0,77,46
Nevada,Boise State,10,19,62,62
Boise State,Nevada,41,3,75,56
Nevada,Boise State,14,37,55,72
Boise State,Nevada,31,20,63,62
Nevada,Boise State,0,37,48,78
Boise State,Nevada,31,9,66,62
Nevada,Boise State,0,35,59,67
Boise State,Nevada,35,7,62,63
Nevada,Boise State,24,17,71,55
Boise State,Nevada,41,10,65,68
Nevada,Boise State,6,35,48,72
Boise State,Nevada,38,16,59,69
Nevada,Boise State,14,31,67,64
Boise State,Nevada,49,0,71,48
Nevada,Boise State,14,31,64,59
Boise State,Nevada,31,3,77,46
Nevada,Boise State,24,27,71,56
Boise State,Nevada,31,14,62,61
Nevada,Boise State,0,35,51,71
Boise State,Nevada,48,6,72,58
Nevada,Boise State,31,31,62,63
Boise State,Nevada,27,6,61,69
Nevada,Boise State,10,34,59,66
Boise State,Nevada,37,10,70,62
Nevada,Boise State,7,14,60,62
Boise State,Nevada,41,7,65,63
Nevada,Boise State,10,28,71,60
Boise State,Nevada,42,20,67,66
Nevada,Boise State,10,49,51,73
Boise State,Nevada,38,21,59,71
Nevada,Boise State,13,14,64,63
Boise State,Nevada,24,20,60,70
Nevada,Boise State,0,45,54,67
Boise State,Nevada,14,7,57,66
Nevada,Boise State,13,20,64,58
Boise State,Nevada,27,3,70,59
Nevada,Boise State,13,13,63,59
Boise State,Nevada,35,3,62,64
Nevada,Boise State,14,45,65,61
Boise State,Nevada,20,0,64,59
Nevada,Boise State,0,49,59,64
Boise State,Nevada,20,13,59,66
Nevada,Boise State,20,34,64,67
Boise State,Nevada,42,17,71,67
Nevada,Boise State,10,21,64,67
Boise State,Nevada,44,7,71,58
Nevada,Boise State,17,45,65,63
Boise State,Nevada,38,6,69,60
Nevada,Boise State,17,34,58,64
Boise State,Nevada,17,20,62,69
Nevada,Boise State,9,34,62,67
Boise State,Nevada,31,17,61,62
Nevada,Boise State,6,24,64,61
Boise State,Nevada,27,0,64,61
Nevada,Boise State,10,31,60,66
Boise State,Nevada,31,10,58,77
Nevada,Boise State,3,49,56,70
Boise State,Nevada,45,0,78,54
Nevada,Boise State,3,28,56,67
Boise State,Nevada,38,14,70,48
Nevada,Boise State,10,34,56,67
Boise State,Nevada,35,10,69,73
Nevada,Boise State,10,45,61,66
Boise State,Nevada,37,7,75,48
Nevada,Boise State,13,44,59,74
Boise State,Nevada,34,3,67,60
Nevada,Boise State,7,41,66,62
Boise State,Nevada,24,3,70,57
Nevada,Boise State,21,35,69,60
Boise State,Nevada,30,6,71,53
Nevada,Boise State,14,35,65,59
Boise State,Nevada,27,14,63,65
Nevada,Boise State,10,49,59,65
Boise State,Nevada,48,3,81,51
Nevada,Boise State,0,34,47,73
Boise State,Nevada,42,3,69,52
Nevada,Boise State,17,34,69,60
Boise State,Nevada,24,7,60,70
Nevada,Boise State,3,30,45,74
Boise State,Nevada,31,10,67,62
Nevada,Boise State,13,21,71,61
Boise State,Nevada,45,20,63,63
Nevada,Boise State,14,45,67,63
Boise State,Nevada,38,0,73,47
Nevada,Boise State,10,17,57,72
Boise State,Nevada,31,14,72,58
Nevada,Boise State,7,37,67,61
Boise State,Nevada,35,14,58,69
Nevada,Boise State,6,31,65,56
Boise State,Nevada,28,6,61,66
Nevada,Boise State,14,42,66,59
Boise State,Nevada,34,10,68,65
Nevada,Boise State,14,24,56,65
Boise State,Nevada,40,14,69,60
Nevada,Boise State,10,45,62,63
Boise State,Nevada,38,17,64,64
Nevada,Boise State,7,44,60,71
Boise State,Nevada,31,3,57,65
Nevada,Boise State,3,27,54,69
Boise State,Nevada,34,0,65,53
Nevada,Boise State,10,28,61,60
Boise State,Nevada,31,10,71,52
Nevada,Boise State,24,17,58,75
Boise State,Nevada,30,21,70,57
Nevada,Boise State,6,23,71,58
Boise State,Nevada,31,3,77,53
Nevada,Boise State,23,45,66,63
Boise State,Nevada,34,7,70,58
Nevada,Boise State,17,31,68,63
Boise State,Nevada,17,10,58,74
Nevada,Boise State,7,45,67,62
Boise State,Nevada,27,0,65,60
Nevada,Boise State,0,28,51,70
Boise State,Nevada,41,10,79,52
Nevada,Boise State,12,45,64,72
Boise State,Nevada,28,17,69,64
Nevada,Boise State,7,30,53,70
Boise State,Nevada,27,16,62,60
Nevada,Boise State,0,41,49,79
Boise State,Nevada,34,3,75,46
Nevada,Boise State,6,6,79,50
Boise State,Nevada,27,0,68,58
Nevada,Boise State,10,13,71,48
Boise State,Nevada,28,13,68,61
Nevada,Boise State,9,27,66,60
Boise State,Nevada,34,3,60,65
Nevada,Boise State,7,31,53,67
Boise State,Nevada,20,7,62,64
Nevada,Boise State,14,38,56,74
Boise State,Nevada,45,10,72,58
Nevada,Boise State,10,41,67,59
Boise State,Nevada,38,13,61,64
Nevada,Boise State,7,34,62,61
Boise State,Nevada,31,14,70,57
Nevada,Boise State,16,31,62,60
Boise State,Nevada,35,9,79,44
Nevada,Boise State,0,14,61,53
Boise State,Nevada,41,14,68,53
Nevada,Boise State,3,10,57,63
Boise State,Nevada,40,3,78,49
Nevada,Boise State,21,34,68,57
Boise State,Nevada,28,13,56,69
Nevada,Boise State,7,44,64,65
Boise State,Nevada,24,7,63,59
Nevada,Boise State,0,24,63,56
Boise State,Nevada,37,3,64,64
Nevada,Boise State,14,20,69,59
Boise State,Nevada,24,14,71,60
Nevada,Boise State,10,24,61,64
Boise State,Nevada,41,13,64,61
Nevada,Boise State,3,34,58,68
Boise State,Nevada,28,10,71,55
Nevada,Boise State,3,34,59,69
Boise State,Nevada,52,3,78,50
Nevada,Boise State,10,35,72,52
Boise State,Nevada,31,7,75,43
Nevada,Boise State,17,26,64,68
Boise State,Nevada,35,7,66,59
Nevada,Boise State,0,56,47,80
Boise State,Nevada,40,14,68,58
Nevada,Boise State,0,41,54,69
Boise State,Nevada,17,10,63,65
Nevada,Boise State,0,45,46,70
Boise State,Nevada,37,7,66,58
Nevada,Boise State,3,38,51,75
Boise State,Nevada,35,7,71,52
Nevada,Boise State,3,31,53,72
Boise State,Nevada,38,7,77,51
Nevada,Boise State,10,45,60,69
Boise State,Nevada,31,0,64,56
Nevada,Boise State,10,49,59,69
Boise State,Nevada,24,13,69,61
Nevada,Boise State,0,17,70,60
Boise State,Nevada,44,10,68,54
Nevada,Boise State,10,38,60,67
Boise State,Nevada,38,3,73,57
Nevada,Boise State,24,21,67,56
Boise State,Nevada,27,24,57,70
Nevada,Boise State,14,42,52,71
Boise State,Nevada,45,0,69,51
Nevada,Boise State,7,38,47,69
Boise State,Nevada,37,3,63,66
Nevada,Boise State,7,17,69,57
