team,opp,pts,opp_pts,plays,opp_plays
Southern Miss,UL Monroe,24,6,72,66
UL Monroe,Southern Miss,7,31,61,69
Southern Miss,UL Monroe,14,10,64,68
UL Monroe,Southern Miss,24,3,75,59
Southern Miss,UL Monroe,14,14,68,64
UL Monroe,Southern Miss,23,7,67,62
Southern Miss,UL Monroe,31,7,76,54
UL Monroe,Southern Miss,10,24,65,65
Southern Miss,UL Monroe,17,7,69,59
UL Monroe,Southern Miss,21,20,67,64
Southern Miss,UL Monroe,20,17,63,76
UL Monroe,Southern Miss,14,10,59,67
Southern Miss,UL Monroe,28,0,73,51
UL Monroe,Southern Miss,14,17,69,58
Southern Miss,UL Monroe,16,27,62,63
UL Monroe,Southern Miss,0,28,59,69
Southern Miss,UL Monroe,13,6,57,65
UL Monroe,Southern Miss,38,0,82,47
Southern Miss,UL Monroe,17,20,73,64
UL Monroe,Southern Miss,21,10,63,66
Southern Miss,UL Monroe,27,7,71,70
UL Monroe,Southern Miss,13,24,67,69
Southern Miss,UL Monroe,9,14,77,58
UL Monroe,Southern Miss,7,24,71,61
Southern Miss,UL Monroe,36,10,81,48
UL Monroe,Southern Miss,24,52,69,63
Southern Miss,UL Monroe,21,7,77,53
UL Monroe,Southern Miss,14,49,53,72
Southern Miss,UL Monroe,27,17,68,63
UL Monroe,Southern Miss,21,24,70,71
Southern Miss,UL Monroe,21,14,82,49
UL Monroe,Southern Miss,20,0,60,66
Southern Miss,UL Monroe,33,3,80,54
UL Monroe,Southern Miss,14,45,63,66
Southern Miss,UL Monroe,48,17,73,60
UL Monroe,Southern Miss,24,17,69,64
Southern Miss,UL Monroe,17,13,63,70
UL Monroe,Southern Miss,10,28,62,61
Southern Miss,UL Monroe,13,20,67,61
UL Monroe,Southern Miss,13,27,64,72
Southern Miss,UL Monroe,45,10,73,60
UL Monroe,Southern Miss,20,31,72,60
Southern Miss,UL Monroe,14,13,63,70
UL Monroe,Southern Miss,10,16,76,63
Southern Miss,UL Monroe,20,10,70,58
UL Monroe,Southern Miss,13,13,70,56
Southern Miss,UL Monroe,14,14,80,57
UL Monroe,Southern Miss,17,10,66,62
Southern Miss,UL Monroe,24,13,71,61
UL Monroe,Southern Miss,24,10,77,53
Southern Miss,UL Monroe,45,14,73,55
UL Monroe,Southern Miss,10,20,67,70
Southern Miss,UL Monroe,17,24,83,63
UL Monroe,Southern Miss,23,16,64,68
Southern Miss,UL Monroe,10,24,58,70
UL Monroe,Southern Miss,3,38,65,61
Southern Miss,UL Monroe,13,7,65,58
UL Monroe,Southern Miss,7,27,57,79
Southern Miss,UL Monroe,24,3,67,67
UL Monroe,Southern Miss,0,14,64,63
Southern Miss,UL Monroe,27,21,68,61
UL Monroe,Southern Miss,13,10,68,67
Southern Miss,UL Monroe,31,10,71,64
UL Monroe,Southern Miss,0,33,61,72
Southern Miss,UL Monroe,20,20,74,67
UL Monroe,Southern Miss,20,14,71,61
Southern Miss,UL Monroe,34,10,72,59
UL Monroe,Southern Miss,7,28,61,73
Southern Miss,UL Monroe,23,6,59,76
UL Monroe,Southern Miss,7,16,56,72
Southern Miss,UL Monroe,24,24,70,65
UL Monroe,Southern Miss,24,37,62,71
Southern Miss,UL Monroe,7,20,61,65
UL Monroe,Southern Miss,13,17,65,72
Southern Miss,UL Monroe,31,3,89,52
UL Monroe,Southern Miss,7,34,50,86
Southern Miss,UL Monroe,21,0,68,52
UL Monroe,Southern Miss,17,41,57,71
Southern Miss,UL Monroe,23,6,67,60
UL Monroe,Southern Miss,6,6,70,54
Southern Miss,UL Monroe,7,14,75,63
UL Monroe,Southern Miss,6,27,59,77
Southern Miss,UL Monroe,24,10,73,66
UL Monroe,Southern Miss,14,20,71,63
Southern Miss,UL Monroe,10,13,72,57
UL Monroe,Southern Miss,7,21,65,62
Southern Miss,UL Monroe,16,13,61,70
UL Monroe,Southern Miss,7,15,67,61
Southern Miss,UL Monroe,31,0,78,55
