team,opp,pts,opp_pts,plays,opp_plays
Vanderbilt,Missouri,10,24,50,58
Missouri,Vanderbilt,28,34,52,60
Vanderbilt,Missouri,3,37,57,59
Missouri,Vanderbilt,35,10,67,48
Vanderbilt,Missouri,14,31,53,56
Missouri,Vanderbilt,22,14,66,52
Vanderbilt,Missouri,24,10,56,60
Missouri,Vanderbilt,16,6,54,58
Vanderbilt,Missouri,10,28,56,64
Missouri,Vanderbilt,34,24,64,55
Vanderbilt,Missouri,28,20,57,53
Missouri,Vanderbilt,14,30,49,64
Vanderbilt,Missouri,10,37,56,64
Missouri,Vanderbilt,34,6,62,52
Vanderbilt,Missouri,0,0,50,56
Missouri,Vanderbilt,20,21,62,53
Vanderbilt,Missouri,7,3,57,60
Missouri,Vanderbilt,14,21,44,69
Vanderbilt,Missouri,10,24,47,70
Missouri,Vanderbilt,31,6,65,45
Vanderbilt,Missouri,14,13,54,55
Missouri,Vanderbilt,31,7,60,63
Vanderbilt,Missouri,20,17,60,59
Missouri,Vanderbilt,17,23,61,64
Vanderbilt,Missouri,42,10,68,48
Missouri,Vanderbilt,31,7,62,52
Vanderbilt,Missouri,27,20,61,54
Missouri,Vanderbilt,31,10,63,57
Vanderbilt,Missouri,27,10,52,55
Missouri,Vanderbilt,21,28,55,62
Vanderbilt,Missouri,17,35,59,59
Missouri,Vanderbilt,17,7,56,59
Vanderbilt,Missouri,31,21,63,55
Missouri,Vanderbilt,24,7,70,43
Vanderbilt,Missouri,21,24,58,54
Missouri,Vanderbilt,24,21,70,49
Vanderbilt,Missouri,14,21,56,60
Missouri,Vanderbilt,45,7,73,45
Vanderbilt,Missouri,6,24,51,61
Missouri,Vanderbilt,21,24,60,55
Vanderbilt,Missouri,14,24,57,55
Missouri,Vanderbilt,28,10,56,57
Vanderbilt,Missouri,14,10,58,56
Missouri,Vanderbilt,28,10,62,57
Vanderbilt,Missouri,7,35,51,63
Missouri,Vanderbilt,20,30,62,60
Vanderbilt,Missouri,24,38,57,60
Missouri,Vanderbilt,38,6,59,53
Vanderbilt,Missouri,7,23,50,60
Missouri,Vanderbilt,17,20,53,60
Vanderbilt,Missouri,6,10,63,45
Missouri,Vanderbilt,14,17,50,72
Vanderbilt,Missouri,17,20,57,60
Missouri,Vanderbilt,24,31,62,59
Vanderbilt,Missouri,20,27,47,67
Missouri,Vanderbilt,24,10,63,57
Vanderbilt,Missouri,21,17,61,51
Missouri,Vanderbilt,24,7,64,54
Vanderbilt,Missouri,31,42,60,64
Missouri,Vanderbilt,21,17,56,62
Vanderbilt,Missouri,20,20,55,60
Missouri,Vanderbilt,34,10,66,54
Vanderbilt,Missouri,7,31,56,65
Missouri,Vanderbilt,35,17,61,54
Vanderbilt,Missouri,21,21,54,59
Missouri,Vanderbilt,17,17,56,62
Vanderbilt,Missouri,35,28,58,56
Missouri,Vanderbilt,10,14,54,59
Vanderbilt,Missouri,31,28,62,58
Missouri,Vanderbilt,34,13,68,45
Vanderbilt,Missouri,38,7,65,55
Missouri,Vanderbilt,24,13,61,53
Vanderbilt,Missouri,24,7,64,45
Missouri,Vanderbilt,21,17,51,60
Vanderbilt,Missouri,24,20,55,56
Missouri,Vanderbilt,28,0,65,53
Vanderbilt,Missouri,10,16,56,68
Missouri,Vanderbilt,13,13,64,56
Vanderbilt,Missouri,24,20,49,70
Missouri,Vanderbilt,23,3,64,46
Vanderbilt,Missouri,6,24,60,56
Missouri,Vanderbilt,7,31,47,67
Vanderbilt,Missouri,20,20,60,59
Missouri,Vanderbilt,17,35,56,55
Vanderbilt,Missouri,17,10,57,55
Missouri,Vanderbilt,13,7,56,52
Vanderbilt,Missouri,24,7,61,51
Missouri,Vanderbilt,9,16,49,58
Vanderbilt,Missouri,6,31,56,59
Missouri,Vanderbilt,7,17,54,57
Vanderbilt,Missouri,7,28,49,71
Missouri,Vanderbilt,14,17,59,51
Vanderbilt,Missouri,10,31,57,53
Missouri,Vanderbilt,13,27,56,58
Vanderbilt,Missouri,14,28,53,63
Missouri,Vanderbilt,30,7,66,53
Vanderbilt,Missouri,21,14,60,54
Missouri,Vanderbilt,14,28,63,53
Vanderbilt,Missouri,21,14,60,52
Missouri,Vanderbilt,21,31,54,59
Vanderbilt,Missouri,7,23,52,66
Missouri,Vanderbilt,24,14,61,54
Vanderbilt,Missouri,17,20,63,54
Missouri,Vanderbilt,20,0,58,57
Vanderbilt,Missouri,19,10,58,54
Missouri,Vanderbilt,10,0,70,44
Vanderbilt,Missouri,6,24,58,53
Missouri,Vanderbilt,20,19,48,68
Vanderbilt,Missouri,21,20,55,73
Missouri,Vanderbilt,14,27,52,64
Vanderbilt,Missouri,10,14,63,54
Missouri,Vanderbilt,21,24,69,50
Vanderbilt,Missouri,17,31,55,59
Missouri,Vanderbilt,31,17,69,44
Vanderbilt,Missouri,17,20,73,50
Missouri,Vanderbilt,20,24,60,58
Vanderbilt,Missouri,16,14,53,64
Missouri,Vanderbilt,27,7,74,51
Vanderbilt,Missouri,10,31,46,63
Missouri,Vanderbilt,10,20,46,59
Vanderbilt,Missouri,13,28,63,56
Missouri,Vanderbilt,17,23,52,67
Vanderbilt,Missouri,24,27,68,57
Missouri,Vanderbilt,24,0,65,39
Vanderbilt,Missouri,0,45,51,64
Missouri,Vanderbilt,10,24,59,60
Vanderbilt,Missouri,17,14,64,52
Missouri,Vanderbilt,23,17,58,57
Vanderbilt,Missouri,21,24,66,53
Missouri,Vanderbilt,14,3,58,56
Vanderbilt,Missouri,17,21,62,54
Missouri,Vanderbilt,23,17,62,54
Vanderbilt,Missouri,21,17,57,59
Missouri,Vanderbilt,0,17,59,53
