team,opp,pts,opp_pts,plays,opp_plays
Wake Forest,SMU,14,34,77,71
SMU,Wake Forest,27,16,71,74
Wake Forest,SMU,7,38,75,70
SMU,Wake Forest,10,19,66,86
Wake Forest,SMU,27,30,84,69
SMU,Wake Forest,49,3,80,58
Wake Forest,SMU,24,23,74,85
SMU,Wake Forest,34,3,90,52
Wake Forest,SMU,10,23,73,71
SMU,Wake Forest,16,33,70,79
Wake Forest,SMU,31,14,78,65
SMU,Wake Forest,17,30,67,78
Wake Forest,SMU,3,14,75,69
SMU,Wake Forest,31,3,79,62
Wake Forest,SMU,16,28,76,70
SMU,Wake Forest,13,27,78,64
Wake Forest,SMU,3,27,59,77
SMU,Wake Forest,27,10,84,68
Wake Forest,SMU,13,20,67,76
SMU,Wake Forest,19,34,81,68
Wake Forest,SMU,13,37,68,75
SMU,Wake Forest,20,27,72,77
Wake Forest,SMU,45,21,83,59
SMU,Wake Forest,10,24,71,69
Wake Forest,SMU,38,38,84,70
SMU,Wake Forest,30,17,82,73
Wake Forest,SMU,17,27,77,69
SMU,Wake Forest,21,24,75,75
Wake Forest,SMU,42,14,74,70
SMU,Wake Forest,44,21,82,71
Wake Forest,SMU,13,35,74,69
SMU,Wake Forest,13,14,76,62
Wake Forest,SMU,7,55,71,76
SMU,Wake Forest,21,7,72,77
Wake Forest,SMU,28,27,68,80
SMU,Wake Forest,23,14,71,74
Wake Forest,SMU,37,27,76,78
SMU,Wake Forest,27,0,81,53
Wake Forest,SMU,28,9,76,70
SMU,Wake Forest,35,13,70,76
Wake Forest,SMU,10,27,76,64
SMU,Wake Forest,35,10,79,65
Wake Forest,SMU,37,13,84,63
SMU,Wake Forest,24,17,66,85
Wake Forest,SMU,17,45,74,73
SMU,Wake Forest,30,14,75,64
Wake Forest,SMU,21,21,67,72
SMU,Wake Forest,31,10,67,75
Wake Forest,SMU,20,28,73,71
SMU,Wake Forest,49,17,79,65
Wake Forest,SMU,34,10,80,69
SMU,Wake Forest,27,13,70,76
Wake Forest,SMU,27,3,88,67
SMU,Wake Forest,20,14,68,69
Wake Forest,SMU,0,38,76,72
SMU,Wake Forest,31,14,72,64
Wake Forest,SMU,27,17,76,67
SMU,Wake Forest,35,17,88,53
Wake Forest,SMU,21,10,71,78
SMU,Wake Forest,38,10,81,74
Wake Forest,SMU,41,24,79,72
SMU,Wake Forest,27,20,80,69
Wake Forest,SMU,10,31,58,82
SMU,Wake Forest,34,17,72,86
Wake Forest,SMU,24,38,73,69
SMU,Wake Forest,24,27,77,78
Wake Forest,SMU,24,17,82,70
SMU,Wake Forest,28,20,73,74
Wake Forest,SMU,44,13,84,64
SMU,Wake Forest,28,14,72,71
Wake Forest,SMU,10,45,66,78
SMU,Wake Forest,35,24,77,73
Wake Forest,SMU,17,38,75,70
SMU,Wake Forest,28,10,75,69
Wake Forest,SMU,3,28,73,70
SMU,Wake Forest,24,31,70,76
Wake Forest,SMU,6,38,58,88
SMU,Wake Forest,17,7,67,66
Wake Forest,SMU,27,24,79,71
SMU,Wake Forest,34,24,73,79
Wake Forest,SMU,7,24,66,75
SMU,Wake Forest,23,16,66,74
Wake Forest,SMU,12,45,72,73
SMU,Wake Forest,10,24,79,74
Wake Forest,SMU,14,20,74,74
SMU,Wake Forest,10,28,64,76
Wake Forest,SMU,20,24,75,74
SMU,Wake Forest,31,17,74,68
Wake Forest,SMU,51,27,86,64
SMU,Wake Forest,34,21,76,75
Wake Forest,SMU,16,21,83,62
SMU,Wake Forest,20,17,72,75
Wake Forest,SMU,21,34,76,68
SMU,Wake Forest,24,7,62,81
Wake Forest,SMU,13,16,69,67
SMU,Wake Forest,22,3,85,60
Wake Forest,SMU,21,30,62,77
SMU,Wake Forest,23,20,74,76
Wake Forest,SMU,27,19,74,74
SMU,Wake Forest,21,24,74,67
Wake Forest,SMU,31,31,70,75
SMU,Wake Forest,41,14,81,56
Wake Forest,SMU,27,28,84,72
SMU,Wake Forest,31,28,74,71
Wake Forest,SMU,10,37,64,77
SMU,Wake Forest,17,0,79,65
Wake Forest,SMU,19,3,75,67
SMU,Wake Forest,20,17,78,71
Wake Forest,SMU,14,13,69,73
SMU,Wake Forest,23,27,73,71
Wake Forest,SMU,24,34,73,76
SMU,Wake Forest,14,33,70,82
Wake Forest,SMU,21,27,77,70
SMU,Wake Forest,10,24,85,66
Wake Forest,SMU,20,17,75,72
SMU,Wake Forest,17,27,80,71
Wake Forest,SMU,34,34,73,75
SMU,Wake Forest,24,17,72,70
Wake Forest,SMU,27,13,83,65
SMU,Wake Forest,24,14,82,58
Wake Forest,SMU,17,23,69,77
SMU,Wake Forest,37,24,83,66
Wake Forest,SMU,31,10,82,62
SMU,Wake Forest,48,14,83,60
Wake Forest,SMU,20,21,68,66
SMU,Wake Forest,37,21,72,69
Wake Forest,SMU,16,38,78,75
SMU,Wake Forest,20,24,67,81
